"Sr.No","State","District","Year","Month","Date","Value"
"1","Andaman and Nicobar Islands","Andaman",2004,"January",2004-01-01,59.1
"2","Andaman and Nicobar Islands","Nicobar",2004,"January",2004-01-01,25.5
"3","Andaman and Nicobar Islands","Andaman",2004,"February",2004-02-01,109
"4","Andaman and Nicobar Islands","Nicobar",2004,"February",2004-02-01,113.4
"5","Andaman and Nicobar Islands","Andaman",2004,"March",2004-03-01,26
"6","Andaman and Nicobar Islands","Nicobar",2004,"March",2004-03-01,93.5
"7","Andaman and Nicobar Islands","Andaman",2004,"April",2004-04-01,30.2
"8","Andaman and Nicobar Islands","Nicobar",2004,"April",2004-04-01,83.4
"9","Andaman and Nicobar Islands","Andaman",2004,"May",2004-05-01,546.8
"10","Andaman and Nicobar Islands","Nicobar",2004,"May",2004-05-01,390.9
"11","Andaman and Nicobar Islands","Andaman",2004,"June",2004-06-01,456.6
"12","Andaman and Nicobar Islands","Nicobar",2004,"June",2004-06-01,324.9
"13","Andaman and Nicobar Islands","Andaman",2004,"July",2004-07-01,313.9
"14","Andaman and Nicobar Islands","Nicobar",2004,"July",2004-07-01,293.7
"15","Andaman and Nicobar Islands","Andaman",2004,"August",2004-08-01,336.1
"16","Andaman and Nicobar Islands","Nicobar",2004,"August",2004-08-01,206.2
"17","Andaman and Nicobar Islands","Andaman",2004,"September",2004-09-01,270.8
"18","Andaman and Nicobar Islands","Nicobar",2004,"September",2004-09-01,323.6
"19","Andaman and Nicobar Islands","Andaman",2004,"October",2004-10-01,239
"20","Andaman and Nicobar Islands","Nicobar",2004,"October",2004-10-01,207.8
"21","Andaman and Nicobar Islands","Andaman",2004,"November",2004-11-01,177.3
"22","Andaman and Nicobar Islands","Nicobar",2004,"November",2004-11-01,164.7
"23","Andaman and Nicobar Islands","Andaman",2004,"December",2004-12-01,2.2
"24","Andaman and Nicobar Islands","Nicobar",2004,"December",2004-12-01,102.5
"25","Andaman and Nicobar Islands","Andaman",2005,"January",2005-01-01,2.7
"26","Andaman and Nicobar Islands","Nicobar",2005,"January",2005-01-01,75.5
"27","Andaman and Nicobar Islands","Andaman",2005,"February",2005-02-01,0
"28","Andaman and Nicobar Islands","Nicobar",2005,"February",2005-02-01,0
"29","Andaman and Nicobar Islands","Andaman",2005,"March",2005-03-01,3.6
"30","Andaman and Nicobar Islands","Nicobar",2005,"March",2005-03-01,83.6
"31","Andaman and Nicobar Islands","Andaman",2005,"April",2005-04-01,36.7
"32","Andaman and Nicobar Islands","Nicobar",2005,"April",2005-04-01,66.8
"33","Andaman and Nicobar Islands","Andaman",2005,"May",2005-05-01,220
"34","Andaman and Nicobar Islands","Nicobar",2005,"May",2005-05-01,262.8
"35","Andaman and Nicobar Islands","Andaman",2005,"June",2005-06-01,482.7
"36","Andaman and Nicobar Islands","Nicobar",2005,"June",2005-06-01,430.1
"37","Andaman and Nicobar Islands","Andaman",2005,"July",2005-07-01,400.5
"38","Andaman and Nicobar Islands","Nicobar",2005,"July",2005-07-01,166.9
"39","Andaman and Nicobar Islands","Andaman",2005,"August",2005-08-01,337.6
"40","Andaman and Nicobar Islands","Nicobar",2005,"August",2005-08-01,174.2
"41","Andaman and Nicobar Islands","Andaman",2005,"September",2005-09-01,506.4
"42","Andaman and Nicobar Islands","Nicobar",2005,"September",2005-09-01,183.9
"43","Andaman and Nicobar Islands","Andaman",2005,"October",2005-10-01,329.2
"44","Andaman and Nicobar Islands","Nicobar",2005,"October",2005-10-01,226
"45","Andaman and Nicobar Islands","Andaman",2005,"November",2005-11-01,296.6
"46","Andaman and Nicobar Islands","Nicobar",2005,"November",2005-11-01,323.4
"47","Andaman and Nicobar Islands","Andaman",2005,"December",2005-12-01,215.8
"48","Andaman and Nicobar Islands","Nicobar",2005,"December",2005-12-01,528.3
"49","Andaman and Nicobar Islands","Andaman",2006,"January",2006-01-01,6.9
"50","Andaman and Nicobar Islands","Nicobar",2006,"January",2006-01-01,49.4
"51","Andaman and Nicobar Islands","Andaman",2006,"February",2006-02-01,0.4
"52","Andaman and Nicobar Islands","Nicobar",2006,"February",2006-02-01,61.6
"53","Andaman and Nicobar Islands","Andaman",2006,"March",2006-03-01,14
"54","Andaman and Nicobar Islands","Nicobar",2006,"March",2006-03-01,169.2
"55","Andaman and Nicobar Islands","Andaman",2006,"April",2006-04-01,133.6
"56","Andaman and Nicobar Islands","Nicobar",2006,"April",2006-04-01,305.5
"57","Andaman and Nicobar Islands","Andaman",2006,"May",2006-05-01,336.1
"58","Andaman and Nicobar Islands","Nicobar",2006,"May",2006-05-01,364.7
"59","Andaman and Nicobar Islands","Andaman",2006,"June",2006-06-01,374.1
"60","Andaman and Nicobar Islands","Nicobar",2006,"June",2006-06-01,344.3
"61","Andaman and Nicobar Islands","Andaman",2006,"July",2006-07-01,200.5
"62","Andaman and Nicobar Islands","Nicobar",2006,"July",2006-07-01,141.4
"63","Andaman and Nicobar Islands","Andaman",2006,"August",2006-08-01,243.4
"64","Andaman and Nicobar Islands","Nicobar",2006,"August",2006-08-01,137.1
"65","Andaman and Nicobar Islands","Andaman",2006,"September",2006-09-01,599.6
"66","Andaman and Nicobar Islands","Nicobar",2006,"September",2006-09-01,378.5
"67","Andaman and Nicobar Islands","Andaman",2006,"October",2006-10-01,369.4
"68","Andaman and Nicobar Islands","Nicobar",2006,"October",2006-10-01,409.8
"69","Andaman and Nicobar Islands","Andaman",2006,"November",2006-11-01,57.1
"70","Andaman and Nicobar Islands","Nicobar",2006,"November",2006-11-01,144
