"Sr.No","State","District","Year","Month","Date","Value"
"1","Andhra Pradesh","Adilabad",2004,"January",2004-01-01,3.1
"2","Andhra Pradesh","Anantapur",2004,"January",2004-01-01,10.8
"3","Andhra Pradesh","Chittor",2004,"January",2004-01-01,3.8
"4","Andhra Pradesh","Cuddapah",2004,"January",2004-01-01,0
"5","Andhra Pradesh","East  Godavari",2004,"January",2004-01-01,5
"6","Andhra Pradesh","Guntur",2004,"January",2004-01-01,3.5
"7","Andhra Pradesh","Hyderabad",2004,"January",2004-01-01,39.5
"8","Andhra Pradesh","Karimnagar",2004,"January",2004-01-01,74.9
"9","Andhra Pradesh","Khammam",2004,"January",2004-01-01,7.3
"10","Andhra Pradesh","Krishna",2004,"January",2004-01-01,21.5
"11","Andhra Pradesh","Kurnool",2004,"January",2004-01-01,4.6
"12","Andhra Pradesh","Mahbubnagar",2004,"January",2004-01-01,16.6
"13","Andhra Pradesh","Medak",2004,"January",2004-01-01,2
"14","Andhra Pradesh","Nellore",2004,"January",2004-01-01,0.7
"15","Andhra Pradesh","Nizamabad",2004,"January",2004-01-01,7.5
"16","Andhra Pradesh","Prakasam",2004,"January",2004-01-01,15.2
"17","Andhra Pradesh","Rangareddy",2004,"January",2004-01-01,23.8
"18","Andhra Pradesh","Srikakulam",2004,"January",2004-01-01,17.4
"19","Andhra Pradesh","Vishakhapatnam",2004,"January",2004-01-01,11.8
"20","Andhra Pradesh","Vizianagaram",2004,"January",2004-01-01,80.4
"21","Andhra Pradesh","Warangal",2004,"January",2004-01-01,27.5
"22","Andhra Pradesh","West Godavari",2004,"January",2004-01-01,3.6
"23","Andhra Pradesh","Adilabad",2004,"February",2004-02-01,3.7
"24","Andhra Pradesh","Anantapur",2004,"February",2004-02-01,0
"25","Andhra Pradesh","Chittor",2004,"February",2004-02-01,2.5
"26","Andhra Pradesh","Cuddapah",2004,"February",2004-02-01,0.2
"27","Andhra Pradesh","East  Godavari",2004,"February",2004-02-01,1.9
"28","Andhra Pradesh","Guntur",2004,"February",2004-02-01,0.4
"29","Andhra Pradesh","Hyderabad",2004,"February",2004-02-01,0.6
"30","Andhra Pradesh","Karimnagar",2004,"February",2004-02-01,39.5
"31","Andhra Pradesh","Khammam",2004,"February",2004-02-01,0.5
"32","Andhra Pradesh","Krishna",2004,"February",2004-02-01,2.2
"33","Andhra Pradesh","Kurnool",2004,"February",2004-02-01,0.3
"34","Andhra Pradesh","Mahbubnagar",2004,"February",2004-02-01,0
"35","Andhra Pradesh","Medak",2004,"February",2004-02-01,0.2
