"Sr.No","State","District","Year","Month","Date","Value"
"1","Arunachal Pradesh","Changlang",2004,"January",2004-01-01,"40.4"
"2","Arunachal Pradesh","Dibang Valley",2004,"January",2004-01-01,"52.3"
"3","Arunachal Pradesh","East Kameng",2004,"January",2004-01-01,"33.4"
"4","Arunachal Pradesh","East Siang",2004,"January",2004-01-01,"24.2"
"5","Arunachal Pradesh","Lohit",2004,"January",2004-01-01,"24.9"
"6","Arunachal Pradesh","Lower Subansiri",2004,"January",2004-01-01,"25"
"7","Arunachal Pradesh","Papumpara",2004,"January",2004-01-01,"65.2"
"8","Arunachal Pradesh","Tawang",2004,"January",2004-01-01,"7.3"
"9","Arunachal Pradesh","Tirap",2004,"January",2004-01-01,"60.4"
"10","Arunachal Pradesh","Upper Siang",2004,"January",2004-01-01,"N.A."
"11","Arunachal Pradesh","Upper Subansiri",2004,"January",2004-01-01,"34"
"12","Arunachal Pradesh","West Kameng",2004,"January",2004-01-01,"24.8"
"13","Arunachal Pradesh","West Siang",2004,"January",2004-01-01,"N.A."
"14","Arunachal Pradesh","Changlang",2004,"February",2004-02-01,"18.6"
"15","Arunachal Pradesh","Dibang Valley",2004,"February",2004-02-01,"33.4"
"16","Arunachal Pradesh","East Kameng",2004,"February",2004-02-01,"21"
"17","Arunachal Pradesh","East Siang",2004,"February",2004-02-01,"33.4"
"18","Arunachal Pradesh","Lohit",2004,"February",2004-02-01,"8.1"
"19","Arunachal Pradesh","Lower Subansiri",2004,"February",2004-02-01,"24.6"
"20","Arunachal Pradesh","Papumpara",2004,"February",2004-02-01,"8.4"
"21","Arunachal Pradesh","Tawang",2004,"February",2004-02-01,"1.8"
"22","Arunachal Pradesh","Tirap",2004,"February",2004-02-01,"18.1"
"23","Arunachal Pradesh","Upper Siang",2004,"February",2004-02-01,"N.A."
"24","Arunachal Pradesh","Upper Subansiri",2004,"February",2004-02-01,"53"
"25","Arunachal Pradesh","West Kameng",2004,"February",2004-02-01,"13.3"
"26","Arunachal Pradesh","West Siang",2004,"February",2004-02-01,"N.A."
"27","Arunachal Pradesh","Changlang",2004,"March",2004-03-01,"123.8"
"28","Arunachal Pradesh","Dibang Valley",2004,"March",2004-03-01,"403.4"
"29","Arunachal Pradesh","East Kameng",2004,"March",2004-03-01,"117.3"
"30","Arunachal Pradesh","East Siang",2004,"March",2004-03-01,"311.8"
"31","Arunachal Pradesh","Lohit",2004,"March",2004-03-01,"182.2"
