"Sr.No","State","District","Year","Month","Date","Value"
"1","Assam","Barpeta",2004,"January",2004-01-01,"14.8"
"2","Assam","Bongaigaon",2004,"January",2004-01-01,"15.2"
"3","Assam","Cachar",2004,"January",2004-01-01,"7.4"
"4","Assam","Darrang",2004,"January",2004-01-01,"39.1"
"5","Assam","Dhubri",2004,"January",2004-01-01,"6.4"
"6","Assam","Dibrugarh",2004,"January",2004-01-01,"27.2"
"7","Assam","Goalpara",2004,"January",2004-01-01,"4"
"8","Assam","Golaghat",2004,"January",2004-01-01,"12"
"9","Assam","Hailakandi",2004,"January",2004-01-01,"0"
"10","Assam","Jorhat",2004,"January",2004-01-01,"36.4"
"11","Assam","Kamrup",2004,"January",2004-01-01,"9.1"
"12","Assam","Karbi Anglong",2004,"January",2004-01-01,"2.5"
"13","Assam","Karimganj",2004,"January",2004-01-01,"0"
"14","Assam","Kokrajhar",2004,"January",2004-01-01,"13.5"
"15","Assam","Lakhimpur",2004,"January",2004-01-01,"29.8"
"16","Assam","Morigaon",2004,"January",2004-01-01,"13.2"
"17","Assam","N. C. Hills",2004,"January",2004-01-01,"N.A."
"18","Assam","N.A.lbari",2004,"January",2004-01-01,"24.6"
"19","Assam","Nowgong",2004,"January",2004-01-01,"21.4"
"20","Assam","Sibsagar",2004,"January",2004-01-01,"47.6"
"21","Assam","Sonitpur",2004,"January",2004-01-01,"12.2"
"22","Assam","Tinsukia",2004,"January",2004-01-01,"35.5"
"23","Assam","Barpeta",2004,"February",2004-02-01,"12.7"
"24","Assam","Bongaigaon",2004,"February",2004-02-01,"9"
"25","Assam","Cachar",2004,"February",2004-02-01,"0.3"
"26","Assam","Darrang",2004,"February",2004-02-01,"37.3"
"27","Assam","Dhubri",2004,"February",2004-02-01,"2.8"
"28","Assam","Dibrugarh",2004,"February",2004-02-01,"37.4"
"29","Assam","Goalpara",2004,"February",2004-02-01,"0"
"30","Assam","Golaghat",2004,"February",2004-02-01,"17"
"31","Assam","Hailakandi",2004,"February",2004-02-01,"0"
"32","Assam","Jorhat",2004,"February",2004-02-01,"37.6"
"33","Assam","Kamrup",2004,"February",2004-02-01,"17.7"
"34","Assam","Karbi Anglong",2004,"February",2004-02-01,"1.1"
"35","Assam","Karimganj",2004,"February",2004-02-01,"3.3"
"36","Assam","Kokrajhar",2004,"February",2004-02-01,"0"
"37","Assam","Lakhimpur",2004,"February",2004-02-01,"36"
"38","Assam","Morigaon",2004,"February",2004-02-01,"9"
"39","Assam","N. C. Hills",2004,"February",2004-02-01,"N.A."
"40","Assam","N.A.lbari",2004,"February",2004-02-01,"22"
"41","Assam","Nowgong",2004,"February",2004-02-01,"0"
"42","Assam","Sibsagar",2004,"February",2004-02-01,"66.4"
"43","Assam","Sonitpur",2004,"February",2004-02-01,"20.3"
"44","Assam","Tinsukia",2004,"February",2004-02-01,"72.4"
"45","Assam","Barpeta",2004,"March",2004-03-01,"97.8"
"46","Assam","Bongaigaon",2004,"March",2004-03-01,"39.8"
"47","Assam","Cachar",2004,"March",2004-03-01,"26.3"
"48","Assam","Darrang",2004,"March",2004-03-01,"69.9"
"49","Assam","Dhubri",2004,"March",2004-03-01,"9.1"
"50","Assam","Dibrugarh",2004,"March",2004-03-01,"165"
"51","Assam","Goalpara",2004,"March",2004-03-01,"59.9"
"52","Assam","Golaghat",2004,"March",2004-03-01,"65.8"
"53","Assam","Hailakandi",2004,"March",2004-03-01,"12.8"
"54","Assam","Jorhat",2004,"March",2004-03-01,"133.5"
"55","Assam","Kamrup",2004,"March",2004-03-01,"17.3"
"56","Assam","Karbi Anglong",2004,"March",2004-03-01,"25.5"
"57","Assam","Karimganj",2004,"March",2004-03-01,"42.8"
"58","Assam","Kokrajhar",2004,"March",2004-03-01,"68.1"
"59","Assam","Lakhimpur",2004,"March",2004-03-01,"155.3"
"60","Assam","Morigaon",2004,"March",2004-03-01,"9.6"
"61","Assam","N. C. Hills",2004,"March",2004-03-01,"N.A."
"62","Assam","N.A.lbari",2004,"March",2004-03-01,"114.4"
"63","Assam","Nowgong",2004,"March",2004-03-01,"5.5"
"64","Assam","Sibsagar",2004,"March",2004-03-01,"82.7"
"65","Assam","Sonitpur",2004,"March",2004-03-01,"55.6"
"66","Assam","Tinsukia",2004,"March",2004-03-01,"180"
"67","Assam","Barpeta",2004,"April",2004-04-01,"461.3"
