"Sr.No","State","District","Year","Month","Date","Value"
"1","Bihar","Araria",2004,"January",2004-01-01,"10.2"
"2","Bihar","Aurangabad",2004,"January",2004-01-01,"19.8"
"3","Bihar","Begusarai",2004,"January",2004-01-01,"22.2"
"4","Bihar","Bhabua",2004,"January",2004-01-01,"N.A."
"5","Bihar","Bhagalpur",2004,"January",2004-01-01,"20.6"
"6","Bihar","Bhojpur",2004,"January",2004-01-01,"0"
"7","Bihar","Buxar",2004,"January",2004-01-01,"N.A."
"8","Bihar","Darbhanga",2004,"January",2004-01-01,"34.3"
"9","Bihar","East Champaran",2004,"January",2004-01-01,"34"
"10","Bihar","Gaya",2004,"January",2004-01-01,"8.8"
"11","Bihar","Gopalganj",2004,"January",2004-01-01,"0"
"12","Bihar","Jahanabad",2004,"January",2004-01-01,"N.A."
"13","Bihar","Jamui",2004,"January",2004-01-01,"N.A."
"14","Bihar","Katihar",2004,"January",2004-01-01,"N.A."
"15","Bihar","Khagaria",2004,"January",2004-01-01,"16.6"
"16","Bihar","Kishanganj",2004,"January",2004-01-01,"14.2"
"17","Bihar","Madhepura",2004,"January",2004-01-01,"40.4"
"18","Bihar","Madhubani",2004,"January",2004-01-01,"22"
"19","Bihar","Monghyr",2004,"January",2004-01-01,"N.A."
"20","Bihar","Muzaffarpur",2004,"January",2004-01-01,"43.5"
"21","Bihar","Nalanda",2004,"January",2004-01-01,"N.A."
"22","Bihar","Patna",2004,"January",2004-01-01,"32.3"
"23","Bihar","Purnea",2004,"January",2004-01-01,"19.9"
"24","Bihar","Rohtas",2004,"January",2004-01-01,"26.8"
"25","Bihar","Saharsa",2004,"January",2004-01-01,"N.A."
"26","Bihar","Samastipur",2004,"January",2004-01-01,"55"
"27","Bihar","Saran",2004,"January",2004-01-01,"5.2"
"28","Bihar","Sitamarhi",2004,"January",2004-01-01,"10"
"29","Bihar","Siwan",2004,"January",2004-01-01,"0"
"30","Bihar","Supaul",2004,"January",2004-01-01,"17.2"
"31","Bihar","Vaishali",2004,"January",2004-01-01,"N.A."
"32","Bihar","West Champaran",2004,"January",2004-01-01,"N.A."
"33","Bihar","Araria",2004,"February",2004-02-01,"0"
"34","Bihar","Aurangabad",2004,"February",2004-02-01,"N.A."
"35","Bihar","Begusarai",2004,"February",2004-02-01,"0"
"36","Bihar","Bhabua",2004,"February",2004-02-01,"N.A."
"37","Bihar","Bhagalpur",2004,"February",2004-02-01,"0.5"
"38","Bihar","Bhojpur",2004,"February",2004-02-01,"N.A."
"39","Bihar","Buxar",2004,"February",2004-02-01,"N.A."
"40","Bihar","Darbhanga",2004,"February",2004-02-01,"0"
"41","Bihar","East Champaran",2004,"February",2004-02-01,"0"
"42","Bihar","Gaya",2004,"February",2004-02-01,"0"
"43","Bihar","Gopalganj",2004,"February",2004-02-01,"0"
"44","Bihar","Jahanabad",2004,"February",2004-02-01,"N.A."
"45","Bihar","Jamui",2004,"February",2004-02-01,"N.A."
"46","Bihar","Katihar",2004,"February",2004-02-01,"N.A."
"47","Bihar","Khagaria",2004,"February",2004-02-01,"0"
"48","Bihar","Kishanganj",2004,"February",2004-02-01,"N.A."
"49","Bihar","Madhepura",2004,"February",2004-02-01,"0"
"50","Bihar","Madhubani",2004,"February",2004-02-01,"0"
"51","Bihar","Monghyr",2004,"February",2004-02-01,"N.A."
"52","Bihar","Muzaffarpur",2004,"February",2004-02-01,"0.3"
"53","Bihar","Nalanda",2004,"February",2004-02-01,"N.A."
"54","Bihar","Patna",2004,"February",2004-02-01,"4.1"
"55","Bihar","Purnea",2004,"February",2004-02-01,"0.9"
"56","Bihar","Rohtas",2004,"February",2004-02-01,"0"
"57","Bihar","Saharsa",2004,"February",2004-02-01,"N.A."
"58","Bihar","Samastipur",2004,"February",2004-02-01,"N.A."
"59","Bihar","Saran",2004,"February",2004-02-01,"0"
"60","Bihar","Sitamarhi",2004,"February",2004-02-01,"0"
"61","Bihar","Siwan",2004,"February",2004-02-01,"0"
"62","Bihar","Supaul",2004,"February",2004-02-01,"0"
"63","Bihar","Vaishali",2004,"February",2004-02-01,"N.A."
"64","Bihar","West Champaran",2004,"February",2004-02-01,"0"
"65","Bihar","Araria",2004,"March",2004-03-01,"0"
"66","Bihar","Aurangabad",2004,"March",2004-03-01,"0"
"67","Bihar","Begusarai",2004,"March",2004-03-01,"0"
"68","Bihar","Bhabua",2004,"March",2004-03-01,"N.A."
"69","Bihar","Bhagalpur",2004,"March",2004-03-01,"15.1"
"70","Bihar","Bhojpur",2004,"March",2004-03-01,"N.A."
"71","Bihar","Buxar",2004,"March",2004-03-01,"N.A."
"72","Bihar","Darbhanga",2004,"March",2004-03-01,"0"
"73","Bihar","East Champaran",2004,"March",2004-03-01,"0"
"74","Bihar","Gaya",2004,"March",2004-03-01,"0"
"75","Bihar","Gopalganj",2004,"March",2004-03-01,"N.A."
"76","Bihar","Jahanabad",2004,"March",2004-03-01,"N.A."
"77","Bihar","Jamui",2004,"March",2004-03-01,"N.A."
"78","Bihar","Katihar",2004,"March",2004-03-01,"0"
"79","Bihar","Khagaria",2004,"March",2004-03-01,"0"
"80","Bihar","Kishanganj",2004,"March",2004-03-01,"0"
"81","Bihar","Madhepura",2004,"March",2004-03-01,"0"
"82","Bihar","Madhubani",2004,"March",2004-03-01,"0"
"83","Bihar","Monghyr",2004,"March",2004-03-01,"0"
"84","Bihar","Muzaffarpur",2004,"March",2004-03-01,"N.A."
"85","Bihar","Nalanda",2004,"March",2004-03-01,"0"
"86","Bihar","Patna",2004,"March",2004-03-01,"5.3"
"87","Bihar","Purnea",2004,"March",2004-03-01,"0"
"88","Bihar","Rohtas",2004,"March",2004-03-01,"N.A."
"89","Bihar","Saharsa",2004,"March",2004-03-01,"0"
"90","Bihar","Samastipur",2004,"March",2004-03-01,"0"
"91","Bihar","Saran",2004,"March",2004-03-01,"0"
"92","Bihar","Sitamarhi",2004,"March",2004-03-01,"0"
"93","Bihar","Siwan",2004,"March",2004-03-01,"0"
"94","Bihar","Supaul",2004,"March",2004-03-01,"0"
