"Sr.No","State","District","Year","Month","Date","Value"
"1","Chandigarh","Chandigarh",2004,"January",2004-01-01,103.9
"2","Chandigarh","Chandigarh",2004,"February",2004-02-01,3.4
"3","Chandigarh","Chandigarh",2004,"March",2004-03-01,0
"4","Chandigarh","Chandigarh",2004,"April",2004-04-01,11.3
"5","Chandigarh","Chandigarh",2004,"May",2004-05-01,58.6
"6","Chandigarh","Chandigarh",2004,"June",2004-06-01,89.2
"7","Chandigarh","Chandigarh",2004,"July",2004-07-01,96.1
"8","Chandigarh","Chandigarh",2004,"August",2004-08-01,718
"9","Chandigarh","Chandigarh",2004,"September",2004-09-01,20.3
"10","Chandigarh","Chandigarh",2004,"October",2004-10-01,140
"11","Chandigarh","Chandigarh",2004,"November",2004-11-01,0
"12","Chandigarh","Chandigarh",2004,"December",2004-12-01,2.4
"13","Chandigarh","Chandigarh",2005,"January",2005-01-01,33.4
"14","Chandigarh","Chandigarh",2005,"February",2005-02-01,45.5
"15","Chandigarh","Chandigarh",2005,"March",2005-03-01,29.8
"16","Chandigarh","Chandigarh",2005,"April",2005-04-01,6.8
"17","Chandigarh","Chandigarh",2005,"May",2005-05-01,6.6
"18","Chandigarh","Chandigarh",2005,"June",2005-06-01,120.6
"19","Chandigarh","Chandigarh",2005,"July",2005-07-01,411.1
"20","Chandigarh","Chandigarh",2005,"August",2005-08-01,236.9
"21","Chandigarh","Chandigarh",2005,"September",2005-09-01,125.5
"22","Chandigarh","Chandigarh",2005,"October",2005-10-01,0
"23","Chandigarh","Chandigarh",2005,"November",2005-11-01,0
"24","Chandigarh","Chandigarh",2005,"December",2005-12-01,0
"25","Chandigarh","Chandigarh",2006,"January",2006-01-01,23.1
"26","Chandigarh","Chandigarh",2006,"February",2006-02-01,0.6
"27","Chandigarh","Chandigarh",2006,"March",2006-03-01,111.7
"28","Chandigarh","Chandigarh",2006,"April",2006-04-01,0
"29","Chandigarh","Chandigarh",2006,"May",2006-05-01,49.7
"30","Chandigarh","Chandigarh",2006,"June",2006-06-01,66.5
"31","Chandigarh","Chandigarh",2006,"July",2006-07-01,227.7
"32","Chandigarh","Chandigarh",2006,"August",2006-08-01,211.4
"33","Chandigarh","Chandigarh",2006,"September",2006-09-01,36.7
"34","Chandigarh","Chandigarh",2006,"October",2006-10-01,8.8
"35","Chandigarh","Chandigarh",2006,"November",2006-11-01,7.4
"36","Chandigarh","Chandigarh",2006,"December",2006-12-01,8.4
"37","Chandigarh","Chandigarh",2007,"January",2007-01-01,0
"38","Chandigarh","Chandigarh",2007,"February",2007-02-01,164.7
"39","Chandigarh","Chandigarh",2007,"March",2007-03-01,137.3
"40","Chandigarh","Chandigarh",2007,"April",2007-04-01,6
"41","Chandigarh","Chandigarh",2007,"May",2007-05-01,9.8
"42","Chandigarh","Chandigarh",2007,"June",2007-06-01,180.2
"43","Chandigarh","Chandigarh",2007,"July",2007-07-01,139.6
"44","Chandigarh","Chandigarh",2007,"August",2007-08-01,271.9
"45","Chandigarh","Chandigarh",2007,"September",2007-09-01,53
"46","Chandigarh","Chandigarh",2007,"October",2007-10-01,2.2
"47","Chandigarh","Chandigarh",2007,"November",2007-11-01,0
"48","Chandigarh","Chandigarh",2007,"December",2007-12-01,7.6
"49","Chandigarh","Chandigarh",2008,"January",2008-01-01,13.1
"50","Chandigarh","Chandigarh",2008,"February",2008-02-01,2.2
"51","Chandigarh","Chandigarh",2008,"March",2008-03-01,0
"52","Chandigarh","Chandigarh",2008,"April",2008-04-01,33.2
"53","Chandigarh","Chandigarh",2008,"May",2008-05-01,49.8
"54","Chandigarh","Chandigarh",2008,"June",2008-06-01,376.2
"55","Chandigarh","Chandigarh",2008,"July",2008-07-01,182.6
"56","Chandigarh","Chandigarh",2008,"August",2008-08-01,291
"57","Chandigarh","Chandigarh",2008,"September",2008-09-01,263.2
"58","Chandigarh","Chandigarh",2008,"October",2008-10-01,11.2
"59","Chandigarh","Chandigarh",2008,"November",2008-11-01,2
"60","Chandigarh","Chandigarh",2008,"December",2008-12-01,0
"61","Chandigarh","Chandigarh",2009,"January",2009-01-01,7
"62","Chandigarh","Chandigarh",2009,"February",2009-02-01,19
"63","Chandigarh","Chandigarh",2009,"March",2009-03-01,19.6
"64","Chandigarh","Chandigarh",2009,"April",2009-04-01,11.6
"65","Chandigarh","Chandigarh",2009,"May",2009-05-01,31.2
"66","Chandigarh","Chandigarh",2009,"June",2009-06-01,37.8
"67","Chandigarh","Chandigarh",2009,"July",2009-07-01,202.2
"68","Chandigarh","Chandigarh",2009,"August",2009-08-01,192.9
"69","Chandigarh","Chandigarh",2009,"September",2009-09-01,326
"70","Chandigarh","Chandigarh",2009,"October",2009-10-01,11.2
"71","Chandigarh","Chandigarh",2009,"November",2009-11-01,14.7
"72","Chandigarh","Chandigarh",2009,"December",2009-12-01,0.7
"73","Chandigarh","Chandigarh",2010,"January",2010-01-01,8.8
"74","Chandigarh","Chandigarh",2010,"February",2010-02-01,16
"75","Chandigarh","Chandigarh",2010,"March",2010-03-01,0
"76","Chandigarh","Chandigarh",2010,"April",2010-04-01,3.7
"77","Chandigarh","Chandigarh",2010,"May",2010-05-01,8.2
"78","Chandigarh","Chandigarh",2010,"June",2010-06-01,166.2
"79","Chandigarh","Chandigarh",2010,"July",2010-07-01,373.4
"80","Chandigarh","Chandigarh",2010,"August",2010-08-01,242.2
"81","Chandigarh","Chandigarh",2010,"September",2010-09-01,340.1
"82","Chandigarh","Chandigarh",2010,"October",2010-10-01,13.6
"83","Chandigarh","Chandigarh",2010,"November",2010-11-01,0.7
"84","Chandigarh","Chandigarh",2010,"December",2010-12-01,41.1
