"Sr.No","State","District","Year","Month","Date","Value"
"1","Dadra and Nagar Haveli","DNH & Daman",2004,"January",2004-01-01,0
"2","Dadra and Nagar Haveli","DNH & Daman",2004,"February",2004-02-01,0
"3","Dadra and Nagar Haveli","DNH & Daman",2004,"March",2004-03-01,0
"4","Dadra and Nagar Haveli","DNH & Daman",2004,"April",2004-04-01,0
"5","Dadra and Nagar Haveli","DNH & Daman",2004,"May",2004-05-01,0
"6","Dadra and Nagar Haveli","DNH & Daman",2004,"June",2004-06-01,393.2
"7","Dadra and Nagar Haveli","DNH & Daman",2004,"July",2004-07-01,827.2
"8","Dadra and Nagar Haveli","DNH & Daman",2004,"August",2004-08-01,1350.2
"9","Dadra and Nagar Haveli","DNH & Daman",2004,"September",2004-09-01,145.5
"10","Dadra and Nagar Haveli","DNH & Daman",2004,"October",2004-10-01,17.6
"11","Dadra and Nagar Haveli","DNH & Daman",2004,"November",2004-11-01,0
"12","Dadra and Nagar Haveli","DNH & Daman",2004,"December",2004-12-01,0
"13","Dadra and Nagar Haveli","DNH & Daman",2005,"January",2005-01-01,0
"14","Dadra and Nagar Haveli","DNH & Daman",2005,"February",2005-02-01,0
"15","Dadra and Nagar Haveli","DNH & Daman",2005,"March",2005-03-01,0
"16","Dadra and Nagar Haveli","DNH & Daman",2005,"April",2005-04-01,0
"17","Dadra and Nagar Haveli","DNH & Daman",2005,"May",2005-05-01,0
"18","Dadra and Nagar Haveli","DNH & Daman",2005,"June",2005-06-01,1014.8
"19","Dadra and Nagar Haveli","DNH & Daman",2005,"July",2005-07-01,613.4
"20","Dadra and Nagar Haveli","DNH & Daman",2005,"August",2005-08-01,476.3
"21","Dadra and Nagar Haveli","DNH & Daman",2005,"September",2005-09-01,652.2
"22","Dadra and Nagar Haveli","DNH & Daman",2005,"October",2005-10-01,12.3
"23","Dadra and Nagar Haveli","DNH & Daman",2005,"November",2005-11-01,0
"24","Dadra and Nagar Haveli","DNH & Daman",2005,"December",2005-12-01,0
"25","Dadra and Nagar Haveli","DNH & Daman",2006,"January",2006-01-01,0
"26","Dadra and Nagar Haveli","DNH & Daman",2006,"February",2006-02-01,0
"27","Dadra and Nagar Haveli","DNH & Daman",2006,"March",2006-03-01,0
"28","Dadra and Nagar Haveli","DNH & Daman",2006,"April",2006-04-01,0
"29","Dadra and Nagar Haveli","DNH & Daman",2006,"May",2006-05-01,0
"30","Dadra and Nagar Haveli","DNH & Daman",2006,"June",2006-06-01,425.4
"31","Dadra and Nagar Haveli","DNH & Daman",2006,"July",2006-07-01,1023.7
"32","Dadra and Nagar Haveli","DNH & Daman",2006,"August",2006-08-01,474
"33","Dadra and Nagar Haveli","DNH & Daman",2006,"September",2006-09-01,185
"34","Dadra and Nagar Haveli","DNH & Daman",2006,"October",2006-10-01,32.1
"35","Dadra and Nagar Haveli","DNH & Daman",2006,"November",2006-11-01,0
"36","Dadra and Nagar Haveli","DNH & Daman",2006,"December",2006-12-01,0
"37","Dadra and Nagar Haveli","DNH & Daman",2007,"January",2007-01-01,0
"38","Dadra and Nagar Haveli","DNH & Daman",2007,"February",2007-02-01,0
"39","Dadra and Nagar Haveli","DNH & Daman",2007,"March",2007-03-01,0
"40","Dadra and Nagar Haveli","DNH & Daman",2007,"April",2007-04-01,0
"41","Dadra and Nagar Haveli","DNH & Daman",2007,"May",2007-05-01,0
"42","Dadra and Nagar Haveli","DNH & Daman",2007,"June",2007-06-01,343.9
"43","Dadra and Nagar Haveli","DNH & Daman",2007,"July",2007-07-01,756
"44","Dadra and Nagar Haveli","DNH & Daman",2007,"August",2007-08-01,782.9
"45","Dadra and Nagar Haveli","DNH & Daman",2007,"September",2007-09-01,605.2
"46","Dadra and Nagar Haveli","DNH & Daman",2007,"October",2007-10-01,0
"47","Dadra and Nagar Haveli","DNH & Daman",2007,"November",2007-11-01,2.3
"48","Dadra and Nagar Haveli","DNH & Daman",2007,"December",2007-12-01,0
"49","Dadra and Nagar Haveli","DNH & Daman",2008,"January",2008-01-01,0
"50","Dadra and Nagar Haveli","DNH & Daman",2008,"February",2008-02-01,0.1
"51","Dadra and Nagar Haveli","DNH & Daman",2008,"March",2008-03-01,0
"52","Dadra and Nagar Haveli","DNH & Daman",2008,"April",2008-04-01,0
"53","Dadra and Nagar Haveli","DNH & Daman",2008,"May",2008-05-01,0
"54","Dadra and Nagar Haveli","DNH & Daman",2008,"June",2008-06-01,108.7
"55","Dadra and Nagar Haveli","DNH & Daman",2008,"July",2008-07-01,763
"56","Dadra and Nagar Haveli","DNH & Daman",2008,"August",2008-08-01,1031.5
"57","Dadra and Nagar Haveli","DNH & Daman",2008,"September",2008-09-01,377.3
"58","Dadra and Nagar Haveli","DNH & Daman",2008,"October",2008-10-01,2.5
"59","Dadra and Nagar Haveli","DNH & Daman",2008,"November",2008-11-01,0
"60","Dadra and Nagar Haveli","DNH & Daman",2008,"December",2008-12-01,0
"61","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"January",2009-01-01,0
"62","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"February",2009-02-01,0
"63","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"March",2009-03-01,0
"64","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"April",2009-04-01,0
"65","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"May",2009-05-01,0
"66","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"June",2009-06-01,130.6
"67","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"July",2009-07-01,1448.1
"68","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"August",2009-08-01,251.4
"69","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"September",2009-09-01,174.5
"70","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"October",2009-10-01,92.9
"71","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"November",2009-11-01,0
"72","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2009,"December",2009-12-01,0
"73","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"January",2010-01-01,0
"74","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"February",2010-02-01,0
"75","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"March",2010-03-01,0
"76","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"April",2010-04-01,0
"77","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"May",2010-05-01,0
"78","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"June",2010-06-01,265.4
"79","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"July",2010-07-01,931.2
"80","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"August",2010-08-01,801.7
"81","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"September",2010-09-01,556.8
"82","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"October",2010-10-01,64.8
"83","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"November",2010-11-01,0
"84","Dadra and Nagar Haveli","Dadra & Nagar Haveli",2010,"December",2010-12-01,0
