"Sr.No","State","District","Year","Month","Date","Value"
"1","Daman and Diu","Diu",2004,"January",2004-01-01,"N.A."
"2","Daman and Diu","Diu",2004,"February",2004-02-01,"N.A."
"3","Daman and Diu","Diu",2004,"March",2004-03-01,"N.A."
"4","Daman and Diu","Diu",2004,"April",2004-04-01,"N.A."
"5","Daman and Diu","Diu",2004,"May",2004-05-01,"N.A."
"6","Daman and Diu","Diu",2004,"June",2004-06-01,"N.A."
"7","Daman and Diu","Diu",2004,"July",2004-07-01,"N.A."
"8","Daman and Diu","Diu",2004,"August",2004-08-01,"N.A."
"9","Daman and Diu","Diu",2004,"September",2004-09-01,"N.A."
"10","Daman and Diu","Diu",2004,"October",2004-10-01,"N.A."
"11","Daman and Diu","Diu",2004,"November",2004-11-01,"N.A."
"12","Daman and Diu","Diu",2004,"December",2004-12-01,"0"
"13","Daman and Diu","Diu",2005,"January",2005-01-01,"N.A."
"14","Daman and Diu","Diu",2005,"February",2005-02-01,"N.A."
"15","Daman and Diu","Diu",2005,"March",2005-03-01,"N.A."
"16","Daman and Diu","Diu",2005,"April",2005-04-01,"N.A."
"17","Daman and Diu","Diu",2005,"May",2005-05-01,"N.A."
"18","Daman and Diu","Diu",2005,"June",2005-06-01,"N.A."
"19","Daman and Diu","Diu",2005,"July",2005-07-01,"N.A."
"20","Daman and Diu","Diu",2005,"August",2005-08-01,"N.A."
"21","Daman and Diu","Diu",2005,"September",2005-09-01,"N.A."
"22","Daman and Diu","Diu",2005,"October",2005-10-01,"N.A."
"23","Daman and Diu","Diu",2005,"November",2005-11-01,"0"
"24","Daman and Diu","Diu",2005,"December",2005-12-01,"N.A."
"25","Daman and Diu","Diu",2006,"January",2006-01-01,"N.A."
"26","Daman and Diu","Diu",2006,"February",2006-02-01,"N.A."
"27","Daman and Diu","Diu",2006,"March",2006-03-01,"N.A."
"28","Daman and Diu","Diu",2006,"April",2006-04-01,"N.A."
"29","Daman and Diu","Diu",2006,"May",2006-05-01,"N.A."
"30","Daman and Diu","Diu",2006,"June",2006-06-01,"N.A."
"31","Daman and Diu","Diu",2006,"July",2006-07-01,"N.A."
"32","Daman and Diu","Diu",2006,"August",2006-08-01,"N.A."
"33","Daman and Diu","Diu",2006,"September",2006-09-01,"53.7"
"34","Daman and Diu","Diu",2006,"October",2006-10-01,"N.A."
"35","Daman and Diu","Diu",2006,"November",2006-11-01,"N.A."
"36","Daman and Diu","Diu",2006,"December",2006-12-01,"0"
"37","Daman and Diu","Diu",2007,"January",2007-01-01,"3"
"38","Daman and Diu","Diu",2007,"February",2007-02-01,"2"
"39","Daman and Diu","Diu",2007,"March",2007-03-01,"0"
"40","Daman and Diu","Diu",2007,"April",2007-04-01,"0"
"41","Daman and Diu","Diu",2007,"May",2007-05-01,"0"
"42","Daman and Diu","Diu",2007,"June",2007-06-01,"N.A."
"43","Daman and Diu","Diu",2007,"July",2007-07-01,"N.A."
"44","Daman and Diu","Diu",2007,"August",2007-08-01,"N.A."
"45","Daman and Diu","Diu",2007,"September",2007-09-01,"0"
"46","Daman and Diu","Diu",2007,"October",2007-10-01,"N.A."
"47","Daman and Diu","Diu",2007,"November",2007-11-01,"N.A."
"48","Daman and Diu","Diu",2007,"December",2007-12-01,"N.A."
"49","Daman and Diu","Diu",2008,"January",2008-01-01,"N.A."
"50","Daman and Diu","Diu",2008,"February",2008-02-01,"N.A."
"51","Daman and Diu","Diu",2008,"March",2008-03-01,"N.A."
"52","Daman and Diu","Diu",2008,"April",2008-04-01,"N.A."
"53","Daman and Diu","Diu",2008,"May",2008-05-01,"0"
"54","Daman and Diu","Diu",2008,"June",2008-06-01,"N.A."
"55","Daman and Diu","Diu",2008,"July",2008-07-01,"431.4"
"56","Daman and Diu","Diu",2008,"August",2008-08-01,"155"
"57","Daman and Diu","Diu",2008,"September",2008-09-01,"254"
"58","Daman and Diu","Diu",2008,"October",2008-10-01,"0"
"59","Daman and Diu","Diu",2008,"November",2008-11-01,"0"
"60","Daman and Diu","Diu",2008,"December",2008-12-01,"0"
"61","Daman and Diu","Diu",2009,"January",2009-01-01,"0"
"62","Daman and Diu","Diu",2009,"February",2009-02-01,"0"
"63","Daman and Diu","Diu",2009,"March",2009-03-01,"0"
"64","Daman and Diu","Diu",2009,"April",2009-04-01,"0"
"65","Daman and Diu","Diu",2009,"May",2009-05-01,"0"
"66","Daman and Diu","Diu",2009,"June",2009-06-01,"124.3"
"67","Daman and Diu","Diu",2009,"July",2009-07-01,"763.5"
"68","Daman and Diu","Diu",2009,"August",2009-08-01,"6.3"
"69","Daman and Diu","Diu",2009,"September",2009-09-01,"5.5"
"70","Daman and Diu","Diu",2009,"October",2009-10-01,"3"
"71","Daman and Diu","Diu",2009,"November",2009-11-01,"5"
"72","Daman and Diu","Diu",2009,"December",2009-12-01,"0"
"73","Daman and Diu","Diu",2010,"January",2010-01-01,"0"
"74","Daman and Diu","Diu",2010,"February",2010-02-01,"0"
"75","Daman and Diu","Diu",2010,"March",2010-03-01,"0"
"76","Daman and Diu","Diu",2010,"April",2010-04-01,"0"
"77","Daman and Diu","Diu",2010,"May",2010-05-01,"0"
"78","Daman and Diu","Diu",2010,"June",2010-06-01,"73.7"
"79","Daman and Diu","Diu",2010,"July",2010-07-01,"793.2"
"80","Daman and Diu","Diu",2010,"August",2010-08-01,"285.6"
"81","Daman and Diu","Diu",2010,"September",2010-09-01,"30.6"
"82","Daman and Diu","Diu",2010,"October",2010-10-01,"0"
"83","Daman and Diu","Diu",2010,"November",2010-11-01,"0"
"84","Daman and Diu","Diu",2010,"December",2010-12-01,"0"
