"Sr.No","State","District","Year","Month","Date","Value"
"1","Delhi","Delhi",2004,"January",2004-01-01,15.8
"2","Delhi","Delhi",2004,"February",2004-02-01,0.3
"3","Delhi","Delhi",2004,"March",2004-03-01,0
"4","Delhi","Delhi",2004,"April",2004-04-01,39.6
"5","Delhi","Delhi",2004,"May",2004-05-01,52.7
"6","Delhi","Delhi",2004,"June",2004-06-01,48
"7","Delhi","Delhi",2004,"July",2004-07-01,40.6
"8","Delhi","Delhi",2004,"August",2004-08-01,284.7
"9","Delhi","Delhi",2004,"September",2004-09-01,4.2
"10","Delhi","Delhi",2004,"October",2004-10-01,108.5
"11","Delhi","Delhi",2004,"November",2004-11-01,0
"12","Delhi","Delhi",2004,"December",2004-12-01,0
"13","Delhi","Delhi",2005,"January",2005-01-01,6.6
"14","Delhi","Delhi",2005,"February",2005-02-01,42
"15","Delhi","Delhi",2005,"March",2005-03-01,31.4
"16","Delhi","Delhi",2005,"April",2005-04-01,5.8
"17","Delhi","Delhi",2005,"May",2005-05-01,11.6
"18","Delhi","Delhi",2005,"June",2005-06-01,65.7
"19","Delhi","Delhi",2005,"July",2005-07-01,175.9
"20","Delhi","Delhi",2005,"August",2005-08-01,89.1
"21","Delhi","Delhi",2005,"September",2005-09-01,233.1
"22","Delhi","Delhi",2005,"October",2005-10-01,0
"23","Delhi","Delhi",2005,"November",2005-11-01,0.5
"24","Delhi","Delhi",2005,"December",2005-12-01,0
"25","Delhi","Delhi",2006,"January",2006-01-01,1.7
"26","Delhi","Delhi",2006,"February",2006-02-01,0
"27","Delhi","Delhi",2006,"March",2006-03-01,33.2
"28","Delhi","Delhi",2006,"April",2006-04-01,1.8
"29","Delhi","Delhi",2006,"May",2006-05-01,52.6
"30","Delhi","Delhi",2006,"June",2006-06-01,92.5
"31","Delhi","Delhi",2006,"July",2006-07-01,196.3
"32","Delhi","Delhi",2006,"August",2006-08-01,88.2
"33","Delhi","Delhi",2006,"September",2006-09-01,127.6
"34","Delhi","Delhi",2006,"October",2006-10-01,2.8
"35","Delhi","Delhi",2006,"November",2006-11-01,1.5
"36","Delhi","Delhi",2006,"December",2006-12-01,2.3
"37","Delhi","Delhi",2007,"January",2007-01-01,1.5
"38","Delhi","Delhi",2007,"February",2007-02-01,69.5
"39","Delhi","Delhi",2007,"March",2007-03-01,55.1
"40","Delhi","Delhi",2007,"April",2007-04-01,1
"41","Delhi","Delhi",2007,"May",2007-05-01,45.3
"42","Delhi","Delhi",2007,"June",2007-06-01,137.7
"43","Delhi","Delhi",2007,"July",2007-07-01,156.9
"44","Delhi","Delhi",2007,"August",2007-08-01,189.7
"45","Delhi","Delhi",2007,"September",2007-09-01,61.6
"46","Delhi","Delhi",2007,"October",2007-10-01,0
"47","Delhi","Delhi",2007,"November",2007-11-01,0.7
"48","Delhi","Delhi",2007,"December",2007-12-01,0.1
"49","Delhi","Delhi",2008,"January",2008-01-01,1.9
"50","Delhi","Delhi",2008,"February",2008-02-01,1.9
"51","Delhi","Delhi",2008,"March",2008-03-01,0
"52","Delhi","Delhi",2008,"April",2008-04-01,23.6
"53","Delhi","Delhi",2008,"May",2008-05-01,146.2
"54","Delhi","Delhi",2008,"June",2008-06-01,120
"55","Delhi","Delhi",2008,"July",2008-07-01,159.1
"56","Delhi","Delhi",2008,"August",2008-08-01,245.4
"57","Delhi","Delhi",2008,"September",2008-09-01,109.2
"58","Delhi","Delhi",2008,"October",2008-10-01,0
"59","Delhi","Delhi",2008,"November",2008-11-01,0
"60","Delhi","Delhi",2008,"December",2008-12-01,0
