"Sr.No","State","District","Year","Month","Date","Value"
"1","Goa","Goa",2004,"January",2004-01-01,0
"2","Goa","Goa",2004,"February",2004-02-01,0
"3","Goa","Goa",2004,"March",2004-03-01,0
"4","Goa","Goa",2004,"April",2004-04-01,0
"5","Goa","Goa",2004,"May",2004-05-01,62.3
"6","Goa","Goa",2004,"June",2004-06-01,664.2
"7","Goa","Goa",2004,"July",2004-07-01,752.8
"8","Goa","Goa",2004,"August",2004-08-01,624
"9","Goa","Goa",2004,"September",2004-09-01,197.8
"10","Goa","Goa",2004,"October",2004-10-01,85.8
"11","Goa","Goa",2004,"November",2004-11-01,6.3
"12","Goa","Goa",2004,"December",2004-12-01,0
"13","Goa","Goa",2005,"January",2005-01-01,0
"14","Goa","Goa",2005,"February",2005-02-01,0.7
"15","Goa","Goa",2005,"March",2005-03-01,0
"16","Goa","Goa",2005,"April",2005-04-01,15
"17","Goa","Goa",2005,"May",2005-05-01,14.2
"18","Goa","Goa",2005,"June",2005-06-01,952.9
"19","Goa","Goa",2005,"July",2005-07-01,1317.9
"20","Goa","Goa",2005,"August",2005-08-01,472.3
"21","Goa","Goa",2005,"September",2005-09-01,662.7
"22","Goa","Goa",2005,"October",2005-10-01,75.8
"23","Goa","Goa",2005,"November",2005-11-01,0
"24","Goa","Goa",2005,"December",2005-12-01,0.2
"25","Goa","Goa",2006,"January",2006-01-01,0
"26","Goa","Goa",2006,"February",2006-02-01,0
"27","Goa","Goa",2006,"March",2006-03-01,21.1
"28","Goa","Goa",2006,"April",2006-04-01,0.3
"29","Goa","Goa",2006,"May",2006-05-01,349.9
"30","Goa","Goa",2006,"June",2006-06-01,745.4
"31","Goa","Goa",2006,"July",2006-07-01,607.3
"32","Goa","Goa",2006,"August",2006-08-01,731.1
"33","Goa","Goa",2006,"September",2006-09-01,418.2
"34","Goa","Goa",2006,"October",2006-10-01,362.1
"35","Goa","Goa",2006,"November",2006-11-01,53.4
"36","Goa","Goa",2006,"December",2006-12-01,0
"37","Goa","Goa",2007,"January",2007-01-01,0
"38","Goa","Goa",2007,"February",2007-02-01,0
"39","Goa","Goa",2007,"March",2007-03-01,0
"40","Goa","Goa",2007,"April",2007-04-01,0
"41","Goa","Goa",2007,"May",2007-05-01,96.5
"42","Goa","Goa",2007,"June",2007-06-01,1016
"43","Goa","Goa",2007,"July",2007-07-01,761.9
"44","Goa","Goa",2007,"August",2007-08-01,1051.7
"45","Goa","Goa",2007,"September",2007-09-01,775.5
"46","Goa","Goa",2007,"October",2007-10-01,76.2
"47","Goa","Goa",2007,"November",2007-11-01,88.8
"48","Goa","Goa",2007,"December",2007-12-01,0.6
"49","Goa","Goa",2008,"January",2008-01-01,0
"50","Goa","Goa",2008,"February",2008-02-01,0
"51","Goa","Goa",2008,"March",2008-03-01,75.2
"52","Goa","Goa",2008,"April",2008-04-01,10.3
"53","Goa","Goa",2008,"May",2008-05-01,26.4
"54","Goa","Goa",2008,"June",2008-06-01,886.4
"55","Goa","Goa",2008,"July",2008-07-01,703.3
"56","Goa","Goa",2008,"August",2008-08-01,1048
"57","Goa","Goa",2008,"September",2008-09-01,664.1
"58","Goa","Goa",2008,"October",2008-10-01,9.5
"59","Goa","Goa",2008,"November",2008-11-01,2
"60","Goa","Goa",2008,"December",2008-12-01,5.6
"61","Goa","Goa",2009,"January",2009-01-01,0
"62","Goa","Goa",2009,"February",2009-02-01,0
"63","Goa","Goa",2009,"March",2009-03-01,0
"64","Goa","Goa",2009,"April",2009-04-01,0.5
"65","Goa","Goa",2009,"May",2009-05-01,4
"66","Goa","Goa",2009,"June",2009-06-01,649.2
"67","Goa","Goa",2009,"July",2009-07-01,1381.8
"68","Goa","Goa",2009,"August",2009-08-01,347.5
"69","Goa","Goa",2009,"September",2009-09-01,436.1
"70","Goa","Goa",2009,"October",2009-10-01,354.7
"71","Goa","Goa",2009,"November",2009-11-01,155.2
"72","Goa","Goa",2009,"December",2009-12-01,0
"73","Goa","Goa",2010,"January",2010-01-01,10.4
"74","Goa","Goa",2010,"February",2010-02-01,0
"75","Goa","Goa",2010,"March",2010-03-01,0
"76","Goa","Goa",2010,"April",2010-04-01,7.7
"77","Goa","Goa",2010,"May",2010-05-01,60.2
"78","Goa","Goa",2010,"June",2010-06-01,828.3
"79","Goa","Goa",2010,"July",2010-07-01,1291.1
"80","Goa","Goa",2010,"August",2010-08-01,811.9
"81","Goa","Goa",2010,"September",2010-09-01,497.9
"82","Goa","Goa",2010,"October",2010-10-01,312.3
"83","Goa","Goa",2010,"November",2010-11-01,185.9
"84","Goa","Goa",2010,"December",2010-12-01,12.6
