"Sr.No","State","District","Year","Month","Date","Value"
"1","Gujarat","Ahmedabad",2004,"January",2004-01-01,"0"
"2","Gujarat","Amreli",2004,"January",2004-01-01,"0"
"3","Gujarat","Anand",2004,"January",2004-01-01,"0"
"4","Gujarat","Banaskantha",2004,"January",2004-01-01,"0"
"5","Gujarat","Baroda",2004,"January",2004-01-01,"0"
"6","Gujarat","Bhavnagar",2004,"January",2004-01-01,"0"
"7","Gujarat","Broach",2004,"January",2004-01-01,"0"
"8","Gujarat","Dahod",2004,"January",2004-01-01,"0"
"9","Gujarat","Dangs",2004,"January",2004-01-01,"0"
"10","Gujarat","Gandhinagar",2004,"January",2004-01-01,"0"
"11","Gujarat","Jamnagar",2004,"January",2004-01-01,"0.6"
"12","Gujarat","Junagarh",2004,"January",2004-01-01,"0.8"
"13","Gujarat","Kheda",2004,"January",2004-01-01,"0"
"14","Gujarat","Kutch",2004,"January",2004-01-01,"0.1"
"15","Gujarat","Mehsana",2004,"January",2004-01-01,"0"
"16","Gujarat","Narmada",2004,"January",2004-01-01,"0"
"17","Gujarat","Navsari",2004,"January",2004-01-01,"0"
"18","Gujarat","Panchmahal",2004,"January",2004-01-01,"0"
"19","Gujarat","Patan",2004,"January",2004-01-01,"0"
"20","Gujarat","Porbandar",2004,"January",2004-01-01,"0"
"21","Gujarat","Rajkot",2004,"January",2004-01-01,"0"
"22","Gujarat","Sabarkantha",2004,"January",2004-01-01,"0"
"23","Gujarat","Surat",2004,"January",2004-01-01,"0"
"24","Gujarat","Surendranagar",2004,"January",2004-01-01,"0"
"25","Gujarat","Valsad",2004,"January",2004-01-01,"0"
"26","Gujarat","Ahmedabad",2004,"February",2004-02-01,"0"
"27","Gujarat","Amreli",2004,"February",2004-02-01,"0"
"28","Gujarat","Anand",2004,"February",2004-02-01,"0"
"29","Gujarat","Banaskantha",2004,"February",2004-02-01,"0"
"30","Gujarat","Baroda",2004,"February",2004-02-01,"0"
"31","Gujarat","Bhavnagar",2004,"February",2004-02-01,"0"
"32","Gujarat","Broach",2004,"February",2004-02-01,"0"
"33","Gujarat","Dahod",2004,"February",2004-02-01,"0"
"34","Gujarat","Dangs",2004,"February",2004-02-01,"0"
"35","Gujarat","Gandhinagar",2004,"February",2004-02-01,"0"
"36","Gujarat","Jamnagar",2004,"February",2004-02-01,"0"
"37","Gujarat","Junagarh",2004,"February",2004-02-01,"0"
"38","Gujarat","Kheda",2004,"February",2004-02-01,"0"
"39","Gujarat","Kutch",2004,"February",2004-02-01,"0"
"40","Gujarat","Mehsana",2004,"February",2004-02-01,"0"
"41","Gujarat","Narmada",2004,"February",2004-02-01,"0"
"42","Gujarat","Navsari",2004,"February",2004-02-01,"0"
"43","Gujarat","Panchmahal",2004,"February",2004-02-01,"0"
"44","Gujarat","Patan",2004,"February",2004-02-01,"0"
"45","Gujarat","Porbandar",2004,"February",2004-02-01,"0"
"46","Gujarat","Rajkot",2004,"February",2004-02-01,"0"
"47","Gujarat","Sabarkantha",2004,"February",2004-02-01,"0"
"48","Gujarat","Surat",2004,"February",2004-02-01,"0"
"49","Gujarat","Surendranagar",2004,"February",2004-02-01,"0"
"50","Gujarat","Valsad",2004,"February",2004-02-01,"0"
"51","Gujarat","Ahmedabad",2004,"March",2004-03-01,"0"
"52","Gujarat","Amreli",2004,"March",2004-03-01,"0"
"53","Gujarat","Anand",2004,"March",2004-03-01,"0"
"54","Gujarat","Banaskantha",2004,"March",2004-03-01,"0"
"55","Gujarat","Baroda",2004,"March",2004-03-01,"0"
"56","Gujarat","Bhavnagar",2004,"March",2004-03-01,"0"
"57","Gujarat","Broach",2004,"March",2004-03-01,"0"
"58","Gujarat","Dahod",2004,"March",2004-03-01,"0"
"59","Gujarat","Dangs",2004,"March",2004-03-01,"0"
"60","Gujarat","Gandhinagar",2004,"March",2004-03-01,"0"
"61","Gujarat","Jamnagar",2004,"March",2004-03-01,"0"
"62","Gujarat","Junagarh",2004,"March",2004-03-01,"0"
"63","Gujarat","Kheda",2004,"March",2004-03-01,"0"
"64","Gujarat","Kutch",2004,"March",2004-03-01,"0"
"65","Gujarat","Mehsana",2004,"March",2004-03-01,"0"
"66","Gujarat","Narmada",2004,"March",2004-03-01,"0"
"67","Gujarat","Navsari",2004,"March",2004-03-01,"0"
"68","Gujarat","Panchmahal",2004,"March",2004-03-01,"0"
"69","Gujarat","Patan",2004,"March",2004-03-01,"0"
"70","Gujarat","Porbandar",2004,"March",2004-03-01,"0"
"71","Gujarat","Rajkot",2004,"March",2004-03-01,"0"
"72","Gujarat","Sabarkantha",2004,"March",2004-03-01,"0"
"73","Gujarat","Surat",2004,"March",2004-03-01,"0"
"74","Gujarat","Surendranagar",2004,"March",2004-03-01,"0"
"75","Gujarat","Valsad",2004,"March",2004-03-01,"0"
"76","Gujarat","Ahmedabad",2004,"April",2004-04-01,"0"
"77","Gujarat","Amreli",2004,"April",2004-04-01,"0"
"78","Gujarat","Anand",2004,"April",2004-04-01,"0"
"79","Gujarat","Banaskantha",2004,"April",2004-04-01,"0"
"80","Gujarat","Baroda",2004,"April",2004-04-01,"0"
"81","Gujarat","Bhavnagar",2004,"April",2004-04-01,"0"
"82","Gujarat","Broach",2004,"April",2004-04-01,"0"
"83","Gujarat","Dahod",2004,"April",2004-04-01,"0"
"84","Gujarat","Dangs",2004,"April",2004-04-01,"0"
"85","Gujarat","Gandhinagar",2004,"April",2004-04-01,"0"
"86","Gujarat","Jamnagar",2004,"April",2004-04-01,"0"
