"Sr.No","State","District","Year","Month","Date","Value"
"1","Haryana","Ambala",2004,"January",2004-01-01,"74.5"
"2","Haryana","Bhiwani",2004,"January",2004-01-01,"12.6"
"3","Haryana","Faridabad",2004,"January",2004-01-01,"19.5"
"4","Haryana","Fatehabad",2004,"January",2004-01-01,"15.5"
"5","Haryana","Gurgaon",2004,"January",2004-01-01,"16"
"6","Haryana","Hissar",2004,"January",2004-01-01,"11.5"
"7","Haryana","Jhajjar",2004,"January",2004-01-01,"28"
"8","Haryana","Jind",2004,"January",2004-01-01,"22.9"
"9","Haryana","Kaithal",2004,"January",2004-01-01,"53"
"10","Haryana","Karnal",2004,"January",2004-01-01,"65.4"
"11","Haryana","Kurukshetra",2004,"January",2004-01-01,"62.6"
"12","Haryana","Mahendragarh",2004,"January",2004-01-01,"2.9"
"13","Haryana","Panchkula",2004,"January",2004-01-01,"98.7"
"14","Haryana","Panipat",2004,"January",2004-01-01,"49"
"15","Haryana","Rewari",2004,"January",2004-01-01,"19"
"16","Haryana","Rohtak",2004,"January",2004-01-01,"18.3"
"17","Haryana","Sirsa",2004,"January",2004-01-01,"7.6"
"18","Haryana","Sonepat",2004,"January",2004-01-01,"26.6"
"19","Haryana","Yamunanagar",2004,"January",2004-01-01,"87.5"
"20","Haryana","Ambala",2004,"February",2004-02-01,"0"
"21","Haryana","Bhiwani",2004,"February",2004-02-01,"0"
"22","Haryana","Faridabad",2004,"February",2004-02-01,"0"
"23","Haryana","Fatehabad",2004,"February",2004-02-01,"2"
"24","Haryana","Gurgaon",2004,"February",2004-02-01,"0"
"25","Haryana","Hissar",2004,"February",2004-02-01,"0.9"
"26","Haryana","Jhajjar",2004,"February",2004-02-01,"0"
"27","Haryana","Jind",2004,"February",2004-02-01,"5"
"28","Haryana","Kaithal",2004,"February",2004-02-01,"0"
"29","Haryana","Karnal",2004,"February",2004-02-01,"0"
"30","Haryana","Kurukshetra",2004,"February",2004-02-01,"0"
"31","Haryana","Mahendragarh",2004,"February",2004-02-01,"0"
