"Sr.No","State","District","Year","Month","Date","Value"
"1","Himachal Pradesh","Bilaspur",2004,"January",2004-01-01,"148.6"
"2","Himachal Pradesh","Chamba",2004,"January",2004-01-01,"111.7"
"3","Himachal Pradesh","Hamirpur",2004,"January",2004-01-01,"140.6"
"4","Himachal Pradesh","Kangra",2004,"January",2004-01-01,"112.9"
"5","Himachal Pradesh","Kinnaur",2004,"January",2004-01-01,"29.3"
"6","Himachal Pradesh","Kulu",2004,"January",2004-01-01,"141.8"
"7","Himachal Pradesh","Mandi",2004,"January",2004-01-01,"137.2"
"8","Himachal Pradesh","Simla",2004,"January",2004-01-01,"99.2"
"9","Himachal Pradesh","Sirmur",2004,"January",2004-01-01,"98.5"
"10","Himachal Pradesh","Solan",2004,"January",2004-01-01,"87.9"
"11","Himachal Pradesh","Una",2004,"January",2004-01-01,"116.2"
"12","Himachal Pradesh","Bilaspur",2004,"February",2004-02-01,"12.8"
"13","Himachal Pradesh","Chamba",2004,"February",2004-02-01,"49.4"
"14","Himachal Pradesh","Hamirpur",2004,"February",2004-02-01,"21.6"
"15","Himachal Pradesh","Kangra",2004,"February",2004-02-01,"13.7"
"16","Himachal Pradesh","Kinnaur",2004,"February",2004-02-01,"37.1"
"17","Himachal Pradesh","Kulu",2004,"February",2004-02-01,"43"
"18","Himachal Pradesh","Mandi",2004,"February",2004-02-01,"12.7"
"19","Himachal Pradesh","Simla",2004,"February",2004-02-01,"32.2"
"20","Himachal Pradesh","Sirmur",2004,"February",2004-02-01,"6"
"21","Himachal Pradesh","Solan",2004,"February",2004-02-01,"4.3"
"22","Himachal Pradesh","Una",2004,"February",2004-02-01,"13.2"
"23","Himachal Pradesh","Bilaspur",2004,"March",2004-03-01,"0"
"24","Himachal Pradesh","Chamba",2004,"March",2004-03-01,"2.5"
"25","Himachal Pradesh","Hamirpur",2004,"March",2004-03-01,"0"
"26","Himachal Pradesh","Kangra",2004,"March",2004-03-01,"0"
"27","Himachal Pradesh","Kinnaur",2004,"March",2004-03-01,"2.8"
"28","Himachal Pradesh","Kulu",2004,"March",2004-03-01,"0"
"29","Himachal Pradesh","Mandi",2004,"March",2004-03-01,"0"
"30","Himachal Pradesh","Simla",2004,"March",2004-03-01,"0"
"31","Himachal Pradesh","Sirmur",2004,"March",2004-03-01,"0"
"32","Himachal Pradesh","Solan",2004,"March",2004-03-01,"0"
"33","Himachal Pradesh","Una",2004,"March",2004-03-01,"0"
"34","Himachal Pradesh","Bilaspur",2004,"April",2004-04-01,"25.4"
"35","Himachal Pradesh","Chamba",2004,"April",2004-04-01,"91.8"
"36","Himachal Pradesh","Hamirpur",2004,"April",2004-04-01,"41.8"
"37","Himachal Pradesh","Kangra",2004,"April",2004-04-01,"31.4"
"38","Himachal Pradesh","Kinnaur",2004,"April",2004-04-01,"45.6"
"39","Himachal Pradesh","Kulu",2004,"April",2004-04-01,"61.3"
"40","Himachal Pradesh","Mandi",2004,"April",2004-04-01,"25.6"
"41","Himachal Pradesh","Simla",2004,"April",2004-04-01,"47.4"
"42","Himachal Pradesh","Sirmur",2004,"April",2004-04-01,"31.7"
"43","Himachal Pradesh","Solan",2004,"April",2004-04-01,"37.1"
"44","Himachal Pradesh","Una",2004,"April",2004-04-01,"24.7"
"45","Himachal Pradesh","Bilaspur",2004,"May",2004-05-01,"55"
"46","Himachal Pradesh","Chamba",2004,"May",2004-05-01,"56.4"
"47","Himachal Pradesh","Hamirpur",2004,"May",2004-05-01,"47"
"48","Himachal Pradesh","Kangra",2004,"May",2004-05-01,"35.3"
"49","Himachal Pradesh","Kinnaur",2004,"May",2004-05-01,"19.5"
"50","Himachal Pradesh","Kulu",2004,"May",2004-05-01,"105.2"
"51","Himachal Pradesh","Mandi",2004,"May",2004-05-01,"56.5"
"52","Himachal Pradesh","Simla",2004,"May",2004-05-01,"56.1"
"53","Himachal Pradesh","Sirmur",2004,"May",2004-05-01,"55.5"
