"Sr.No","State","District","Year","Month","Date","Value"
"1","Jammu and Kashmir","Anantnag",2004,"January",2004-01-01,"125.1"
"2","Jammu and Kashmir"," Badgam",2004,"January",2004-01-01,"N.A."
"3","Jammu and Kashmir"," Doda",2004,"January",2004-01-01,"272.8"
"4","Jammu and Kashmir"," Jammu",2004,"January",2004-01-01,"110.2"
"5","Jammu and Kashmir"," Kathua",2004,"January",2004-01-01,"119"
"6","Jammu and Kashmir"," Kupwara",2004,"January",2004-01-01,"120.7"
"7","Jammu and Kashmir"," Ladakh (Leh)",2004,"January",2004-01-01,"0.4"
"8","Jammu and Kashmir"," North Baramula",2004,"January",2004-01-01,"163.1"
"9","Jammu and Kashmir"," Pulwama",2004,"January",2004-01-01,"54.5"
"10","Jammu and Kashmir"," Srinagar",2004,"January",2004-01-01,"102.2"
"11","Jammu and Kashmir","Udhampur",2004,"January",2004-01-01,"297.4"
"12","Jammu and Kashmir","Anantnag",2004,"February",2004-02-01,"78.3"
"13","Jammu and Kashmir"," Badgam",2004,"February",2004-02-01,"N.A."
"14","Jammu and Kashmir"," Doda",2004,"February",2004-02-01,"117.8"
"15","Jammu and Kashmir"," Jammu",2004,"February",2004-02-01,"25.9"
"16","Jammu and Kashmir"," Kathua",2004,"February",2004-02-01,"6.7"
"17","Jammu and Kashmir"," Kupwara",2004,"February",2004-02-01,"104.5"
"18","Jammu and Kashmir"," Ladakh (Leh)",2004,"February",2004-02-01,"0"
"19","Jammu and Kashmir"," North Baramula",2004,"February",2004-02-01,"82.6"
"20","Jammu and Kashmir"," Pulwama",2004,"February",2004-02-01,"48.3"
"21","Jammu and Kashmir"," Srinagar",2004,"February",2004-02-01,"35.2"
"22","Jammu and Kashmir","Udhampur",2004,"February",2004-02-01,"48.7"
"23","Jammu and Kashmir","Anantnag",2004,"March",2004-03-01,"13.3"
"24","Jammu and Kashmir"," Badgam",2004,"March",2004-03-01,"N.A."
"25","Jammu and Kashmir"," Doda",2004,"March",2004-03-01,"4.7"
"26","Jammu and Kashmir"," Jammu",2004,"March",2004-03-01,"0"
"27","Jammu and Kashmir"," Kathua",2004,"March",2004-03-01,"0"
"28","Jammu and Kashmir"," Kupwara",2004,"March",2004-03-01,"15.4"
"29","Jammu and Kashmir"," Ladakh (Leh)",2004,"March",2004-03-01,"0.3"
"30","Jammu and Kashmir"," North Baramula",2004,"March",2004-03-01,"27.7"
"31","Jammu and Kashmir"," Pulwama",2004,"March",2004-03-01,"4.8"
"32","Jammu and Kashmir"," Srinagar",2004,"March",2004-03-01,"6.9"
"33","Jammu and Kashmir","Udhampur",2004,"March",2004-03-01,"0"
"34","Jammu and Kashmir","Anantnag",2004,"April",2004-04-01,"145.8"
"35","Jammu and Kashmir"," Badgam",2004,"April",2004-04-01,"N.A."
"36","Jammu and Kashmir"," Doda",2004,"April",2004-04-01,"116.5"
"37","Jammu and Kashmir"," Jammu",2004,"April",2004-04-01,"42.5"
"38","Jammu and Kashmir"," Kathua",2004,"April",2004-04-01,"42"
"39","Jammu and Kashmir"," Kupwara",2004,"April",2004-04-01,"172.5"
"40","Jammu and Kashmir"," Ladakh (Leh)",2004,"April",2004-04-01,"0.5"
"41","Jammu and Kashmir"," North Baramula",2004,"April",2004-04-01,"206.8"
"42","Jammu and Kashmir"," Pulwama",2004,"April",2004-04-01,"128.1"
"43","Jammu and Kashmir"," Srinagar",2004,"April",2004-04-01,"148.4"
"44","Jammu and Kashmir","Udhampur",2004,"April",2004-04-01,"66.8"
"45","Jammu and Kashmir","Anantnag",2004,"May",2004-05-01,"65.9"
"46","Jammu and Kashmir"," Badgam",2004,"May",2004-05-01,"N.A."
"47","Jammu and Kashmir"," Doda",2004,"May",2004-05-01,"92.6"
"48","Jammu and Kashmir"," Jammu",2004,"May",2004-05-01,"25.2"
"49","Jammu and Kashmir"," Kathua",2004,"May",2004-05-01,"21.3"
"50","Jammu and Kashmir"," Kupwara",2004,"May",2004-05-01,"74"
"51","Jammu and Kashmir"," Ladakh (Leh)",2004,"May",2004-05-01,"0"
"52","Jammu and Kashmir"," North Baramula",2004,"May",2004-05-01,"152"
"53","Jammu and Kashmir"," Pulwama",2004,"May",2004-05-01,"88.7"
"54","Jammu and Kashmir"," Srinagar",2004,"May",2004-05-01,"74"
"55","Jammu and Kashmir","Udhampur",2004,"May",2004-05-01,"54.4"
"56","Jammu and Kashmir","Anantnag",2004,"June",2004-06-01,"75.6"
"57","Jammu and Kashmir"," Badgam",2004,"June",2004-06-01,"N.A."
"58","Jammu and Kashmir"," Doda",2004,"June",2004-06-01,"124.7"
"59","Jammu and Kashmir"," Jammu",2004,"June",2004-06-01,"103.2"
"60","Jammu and Kashmir"," Kathua",2004,"June",2004-06-01,"83.8"
"61","Jammu and Kashmir"," Kupwara",2004,"June",2004-06-01,"41.4"
"62","Jammu and Kashmir"," Ladakh (Leh)",2004,"June",2004-06-01,"1.3"
"63","Jammu and Kashmir"," North Baramula",2004,"June",2004-06-01,"96.6"
"64","Jammu and Kashmir"," Pulwama",2004,"June",2004-06-01,"60.3"
"65","Jammu and Kashmir"," Srinagar",2004,"June",2004-06-01,"34"
"66","Jammu and Kashmir","Udhampur",2004,"June",2004-06-01,"114.1"
"67","Jammu and Kashmir","Anantnag",2004,"July",2004-07-01,"52.7"
"68","Jammu and Kashmir"," Badgam",2004,"July",2004-07-01,"N.A."
"69","Jammu and Kashmir"," Doda",2004,"July",2004-07-01,"93.4"
"70","Jammu and Kashmir"," Jammu",2004,"July",2004-07-01,"350.9"
"71","Jammu and Kashmir"," Kathua",2004,"July",2004-07-01,"363.6"
"72","Jammu and Kashmir"," Kupwara",2004,"July",2004-07-01,"51.2"
"73","Jammu and Kashmir"," Ladakh (Leh)",2004,"July",2004-07-01,"0"
"74","Jammu and Kashmir"," North Baramula",2004,"July",2004-07-01,"57.7"
"75","Jammu and Kashmir"," Pulwama",2004,"July",2004-07-01,"31.6"
"76","Jammu and Kashmir"," Srinagar",2004,"July",2004-07-01,"64.8"
"77","Jammu and Kashmir","Udhampur",2004,"July",2004-07-01,"296.3"
"78","Jammu and Kashmir","Anantnag",2004,"August",2004-08-01,"65.6"
"79","Jammu and Kashmir"," Badgam",2004,"August",2004-08-01,"N.A."
"80","Jammu and Kashmir"," Doda",2004,"August",2004-08-01,"73.5"
"81","Jammu and Kashmir"," Jammu",2004,"August",2004-08-01,"164.6"
"82","Jammu and Kashmir"," Kathua",2004,"August",2004-08-01,"214.8"
"83","Jammu and Kashmir"," Kupwara",2004,"August",2004-08-01,"50.8"
"84","Jammu and Kashmir"," Ladakh (Leh)",2004,"August",2004-08-01,"2.4"
"85","Jammu and Kashmir"," North Baramula",2004,"August",2004-08-01,"51.6"
"86","Jammu and Kashmir"," Pulwama",2004,"August",2004-08-01,"48.2"
"87","Jammu and Kashmir"," Srinagar",2004,"August",2004-08-01,"32"
"88","Jammu and Kashmir","Udhampur",2004,"August",2004-08-01,"288.4"
"89","Jammu and Kashmir","Anantnag",2004,"September",2004-09-01,"28.5"
