"Sr.No","State","District","Year","Month","Date","Value"
"1","Jharkhand","Bokaro",2004,"January",2004-01-01,"N.A."
"2","Jharkhand","Dhanbad",2004,"January",2004-01-01,"9"
"3","Jharkhand","East Singbhum",2004,"January",2004-01-01,"0"
"4","Jharkhand","Giridih",2004,"January",2004-01-01,"0"
"5","Jharkhand","Godda",2004,"January",2004-01-01,"N.A."
"6","Jharkhand","Gumla",2004,"January",2004-01-01,"N.A."
"7","Jharkhand","Hazaribagh",2004,"January",2004-01-01,"17.7"
"8","Jharkhand","Koderma",2004,"January",2004-01-01,"0"
"9","Jharkhand","Lohardaga",2004,"January",2004-01-01,"N.A."
"10","Jharkhand","Pakur",2004,"January",2004-01-01,"0"
"11","Jharkhand","Palamau",2004,"January",2004-01-01,"8"
"12","Jharkhand","Ranchi",2004,"January",2004-01-01,"13.4"
"13","Jharkhand","Sahebganj",2004,"January",2004-01-01,"13"
"14","Jharkhand","Santhal Parganas",2004,"January",2004-01-01,"3"
"15","Jharkhand","West Singbhum",2004,"January",2004-01-01,"0"
"16","Jharkhand","Bokaro",2004,"February",2004-02-01,"N.A."
"17","Jharkhand","Dhanbad",2004,"February",2004-02-01,"0"
"18","Jharkhand","East Singbhum",2004,"February",2004-02-01,"15.5"
"19","Jharkhand","Giridih",2004,"February",2004-02-01,"0"
"20","Jharkhand","Godda",2004,"February",2004-02-01,"N.A."
"21","Jharkhand","Gumla",2004,"February",2004-02-01,"N.A."
"22","Jharkhand","Hazaribagh",2004,"February",2004-02-01,"0"
"23","Jharkhand","Koderma",2004,"February",2004-02-01,"N.A."
"24","Jharkhand","Lohardaga",2004,"February",2004-02-01,"N.A."
"25","Jharkhand","Pakur",2004,"February",2004-02-01,"0"
"26","Jharkhand","Palamau",2004,"February",2004-02-01,"1.2"
"27","Jharkhand","Ranchi",2004,"February",2004-02-01,"7.8"
"28","Jharkhand","Sahebganj",2004,"February",2004-02-01,"N.A."
"29","Jharkhand","Santhal Parganas",2004,"February",2004-02-01,"0"
"30","Jharkhand","West Singbhum",2004,"February",2004-02-01,"0"
"31","Jharkhand","Bokaro",2004,"March",2004-03-01,"N.A."
"32","Jharkhand","Dhanbad",2004,"March",2004-03-01,"4.1"
"33","Jharkhand","East Singbhum",2004,"March",2004-03-01,"11.5"
"34","Jharkhand","Giridih",2004,"March",2004-03-01,"0"
"35","Jharkhand","Godda",2004,"March",2004-03-01,"N.A."
"36","Jharkhand","Gumla",2004,"March",2004-03-01,"N.A."
"37","Jharkhand","Hazaribagh",2004,"March",2004-03-01,"0.6"
"38","Jharkhand","Koderma",2004,"March",2004-03-01,"0"
"39","Jharkhand","Lohardaga",2004,"March",2004-03-01,"N.A."
