"Sr.No","State","District","Year","Month","Date","Value"
"1","Karnataka","Bagalkote",2004,"January",2004-01-01,1.8
"2","Karnataka","Bangalore Rural",2004,"January",2004-01-01,5.1
"3","Karnataka","Bangalore Urban",2004,"January",2004-01-01,5.4
"4","Karnataka","Belgam",2004,"January",2004-01-01,0.2
"5","Karnataka","Bellary",2004,"January",2004-01-01,0
"6","Karnataka","Bidar",2004,"January",2004-01-01,9.4
"7","Karnataka","Bijapur",2004,"January",2004-01-01,1.7
"8","Karnataka","Chamarajanagar",2004,"January",2004-01-01,0.4
"9","Karnataka","Chikmagalur",2004,"January",2004-01-01,0
"10","Karnataka","Chitradurga",2004,"January",2004-01-01,1.9
"11","Karnataka","Dakshin Kannada",2004,"January",2004-01-01,0.1
"12","Karnataka","Davangere",2004,"January",2004-01-01,0
"13","Karnataka","Dharwad",2004,"January",2004-01-01,0
"14","Karnataka","Gadag",2004,"January",2004-01-01,0
"15","Karnataka","Gulbarga",2004,"January",2004-01-01,9.2
"16","Karnataka","Hassan",2004,"January",2004-01-01,0.1
"17","Karnataka","Haveri",2004,"January",2004-01-01,0
"18","Karnataka","Kodagu",2004,"January",2004-01-01,0
"19","Karnataka","Kolar",2004,"January",2004-01-01,0.1
"20","Karnataka","Koppal",2004,"January",2004-01-01,0.2
"21","Karnataka","Mandya",2004,"January",2004-01-01,0.8
"22","Karnataka","Mysore",2004,"January",2004-01-01,0
"23","Karnataka","Raichur",2004,"January",2004-01-01,8.4
"24","Karnataka","Shimoga",2004,"January",2004-01-01,0
"25","Karnataka","Tumkur",2004,"January",2004-01-01,0
"26","Karnataka","Udupi",2004,"January",2004-01-01,0
"27","Karnataka","Uttar Kannada",2004,"January",2004-01-01,0.6
"28","Karnataka","Bagalkote",2004,"February",2004-02-01,0
"29","Karnataka","Bangalore Rural",2004,"February",2004-02-01,12.9
"30","Karnataka","Bangalore Urban",2004,"February",2004-02-01,1.2
"31","Karnataka","Belgam",2004,"February",2004-02-01,0.2
"32","Karnataka","Bellary",2004,"February",2004-02-01,0
"33","Karnataka","Bidar",2004,"February",2004-02-01,12.3
"34","Karnataka","Bijapur",2004,"February",2004-02-01,0
"35","Karnataka","Chamarajanagar",2004,"February",2004-02-01,0
"36","Karnataka","Chikmagalur",2004,"February",2004-02-01,0
"37","Karnataka","Chitradurga",2004,"February",2004-02-01,0
"38","Karnataka","Dakshin Kannada",2004,"February",2004-02-01,0.5
"39","Karnataka","Davangere",2004,"February",2004-02-01,0
"40","Karnataka","Dharwad",2004,"February",2004-02-01,0
"41","Karnataka","Gadag",2004,"February",2004-02-01,0
"42","Karnataka","Gulbarga",2004,"February",2004-02-01,0.1
"43","Karnataka","Hassan",2004,"February",2004-02-01,0.1
"44","Karnataka","Haveri",2004,"February",2004-02-01,0
"45","Karnataka","Kodagu",2004,"February",2004-02-01,0
"46","Karnataka","Kolar",2004,"February",2004-02-01,4.6
"47","Karnataka","Koppal",2004,"February",2004-02-01,0
"48","Karnataka","Mandya",2004,"February",2004-02-01,6
"49","Karnataka","Mysore",2004,"February",2004-02-01,0
"50","Karnataka","Raichur",2004,"February",2004-02-01,0
"51","Karnataka","Shimoga",2004,"February",2004-02-01,0
"52","Karnataka","Tumkur",2004,"February",2004-02-01,0
"53","Karnataka","Udupi",2004,"February",2004-02-01,0
"54","Karnataka","Uttar Kannada",2004,"February",2004-02-01,0.1
"55","Karnataka","Bagalkote",2004,"March",2004-03-01,0
"56","Karnataka","Bangalore Rural",2004,"March",2004-03-01,16.7
"57","Karnataka","Bangalore Urban",2004,"March",2004-03-01,5.5
"58","Karnataka","Belgam",2004,"March",2004-03-01,0.1
"59","Karnataka","Bellary",2004,"March",2004-03-01,5.2
"60","Karnataka","Bidar",2004,"March",2004-03-01,7.9
"61","Karnataka","Bijapur",2004,"March",2004-03-01,0
"62","Karnataka","Chamarajanagar",2004,"March",2004-03-01,13.1
"63","Karnataka","Chikmagalur",2004,"March",2004-03-01,8.5
"64","Karnataka","Chitradurga",2004,"March",2004-03-01,4.6
"65","Karnataka","Dakshin Kannada",2004,"March",2004-03-01,12.5
"66","Karnataka","Davangere",2004,"March",2004-03-01,1.1
"67","Karnataka","Dharwad",2004,"March",2004-03-01,0
"68","Karnataka","Gadag",2004,"March",2004-03-01,0
"69","Karnataka","Gulbarga",2004,"March",2004-03-01,0.4
"70","Karnataka","Hassan",2004,"March",2004-03-01,7.7
"71","Karnataka","Haveri",2004,"March",2004-03-01,6.3
