"Sr.No","State","District","Year","Month","Date","Value"
"1","Lakshadweep","Lakshadweep",2004,"January",2004-01-01,7.2
"2","Lakshadweep","Lakshadweep",2004,"February",2004-02-01,1.5
"3","Lakshadweep","Lakshadweep",2004,"March",2004-03-01,1.9
"4","Lakshadweep","Lakshadweep",2004,"April",2004-04-01,7.6
"5","Lakshadweep","Lakshadweep",2004,"May",2004-05-01,874
"6","Lakshadweep","Lakshadweep",2004,"June",2004-06-01,251.3
"7","Lakshadweep","Lakshadweep",2004,"July",2004-07-01,280.9
"8","Lakshadweep","Lakshadweep",2004,"August",2004-08-01,169.4
"9","Lakshadweep","Lakshadweep",2004,"September",2004-09-01,200
"10","Lakshadweep","Lakshadweep",2004,"October",2004-10-01,193.3
"11","Lakshadweep","Lakshadweep",2004,"November",2004-11-01,107.5
"12","Lakshadweep","Lakshadweep",2004,"December",2004-12-01,2.2
"13","Lakshadweep","Lakshadweep",2005,"January",2005-01-01,17.6
"14","Lakshadweep","Lakshadweep",2005,"February",2005-02-01,11
"15","Lakshadweep","Lakshadweep",2005,"March",2005-03-01,0
"16","Lakshadweep","Lakshadweep",2005,"April",2005-04-01,37.1
"17","Lakshadweep","Lakshadweep",2005,"May",2005-05-01,92.7
"18","Lakshadweep","Lakshadweep",2005,"June",2005-06-01,248.8
"19","Lakshadweep","Lakshadweep",2005,"July",2005-07-01,381.9
"20","Lakshadweep","Lakshadweep",2005,"August",2005-08-01,102.4
"21","Lakshadweep","Lakshadweep",2005,"September",2005-09-01,277.9
"22","Lakshadweep","Lakshadweep",2005,"October",2005-10-01,164.2
"23","Lakshadweep","Lakshadweep",2005,"November",2005-11-01,218.1
"24","Lakshadweep","Lakshadweep",2005,"December",2005-12-01,27.3
"25","Lakshadweep","Lakshadweep",2006,"January",2006-01-01,23.1
"26","Lakshadweep","Lakshadweep",2006,"February",2006-02-01,0
"27","Lakshadweep","Lakshadweep",2006,"March",2006-03-01,44
"28","Lakshadweep","Lakshadweep",2006,"April",2006-04-01,0.3
"29","Lakshadweep","Lakshadweep",2006,"May",2006-05-01,411.3
"30","Lakshadweep","Lakshadweep",2006,"June",2006-06-01,286.5
"31","Lakshadweep","Lakshadweep",2006,"July",2006-07-01,172.6
"32","Lakshadweep","Lakshadweep",2006,"August",2006-08-01,150.7
"33","Lakshadweep","Lakshadweep",2006,"September",2006-09-01,318.2
"34","Lakshadweep","Lakshadweep",2006,"October",2006-10-01,119.2
"35","Lakshadweep","Lakshadweep",2006,"November",2006-11-01,158.7
"36","Lakshadweep","Lakshadweep",2006,"December",2006-12-01,10.8
"37","Lakshadweep","Lakshadweep",2007,"January",2007-01-01,9.8
"38","Lakshadweep","Lakshadweep",2007,"February",2007-02-01,4.7
"39","Lakshadweep","Lakshadweep",2007,"March",2007-03-01,0
"40","Lakshadweep","Lakshadweep",2007,"April",2007-04-01,16.9
"41","Lakshadweep","Lakshadweep",2007,"May",2007-05-01,147.3
"42","Lakshadweep","Lakshadweep",2007,"June",2007-06-01,555.6
"43","Lakshadweep","Lakshadweep",2007,"July",2007-07-01,298.3
"44","Lakshadweep","Lakshadweep",2007,"August",2007-08-01,267.2
"45","Lakshadweep","Lakshadweep",2007,"September",2007-09-01,346
"46","Lakshadweep","Lakshadweep",2007,"October",2007-10-01,213.6
"47","Lakshadweep","Lakshadweep",2007,"November",2007-11-01,52.1
"48","Lakshadweep","Lakshadweep",2007,"December",2007-12-01,126.4
"49","Lakshadweep","Lakshadweep",2008,"January",2008-01-01,5.5
"50","Lakshadweep","Lakshadweep",2008,"February",2008-02-01,19.9
"51","Lakshadweep","Lakshadweep",2008,"March",2008-03-01,120.4
"52","Lakshadweep","Lakshadweep",2008,"April",2008-04-01,15.7
"53","Lakshadweep","Lakshadweep",2008,"May",2008-05-01,180.4
"54","Lakshadweep","Lakshadweep",2008,"June",2008-06-01,254.5
"55","Lakshadweep","Lakshadweep",2008,"July",2008-07-01,364
"56","Lakshadweep","Lakshadweep",2008,"August",2008-08-01,206.5
"57","Lakshadweep","Lakshadweep",2008,"September",2008-09-01,108.9
"58","Lakshadweep","Lakshadweep",2008,"October",2008-10-01,253
"59","Lakshadweep","Lakshadweep",2008,"November",2008-11-01,67.5
"60","Lakshadweep","Lakshadweep",2008,"December",2008-12-01,130.1
"61","Lakshadweep","Lakshadweep",2009,"January",2009-01-01,4.7
"62","Lakshadweep","Lakshadweep",2009,"February",2009-02-01,1.4
"63","Lakshadweep","Lakshadweep",2009,"March",2009-03-01,0.1
"64","Lakshadweep","Lakshadweep",2009,"April",2009-04-01,18.2
"65","Lakshadweep","Lakshadweep",2009,"May",2009-05-01,162
"66","Lakshadweep","Lakshadweep",2009,"June",2009-06-01,401.6
"67","Lakshadweep","Lakshadweep",2009,"July",2009-07-01,266.4
"68","Lakshadweep","Lakshadweep",2009,"August",2009-08-01,185
"69","Lakshadweep","Lakshadweep",2009,"September",2009-09-01,144.9
"70","Lakshadweep","Lakshadweep",2009,"October",2009-10-01,89.2
"71","Lakshadweep","Lakshadweep",2009,"November",2009-11-01,166.4
"72","Lakshadweep","Lakshadweep",2009,"December",2009-12-01,132.6
"73","Lakshadweep","Lakshadweep",2010,"January",2010-01-01,18.8
"74","Lakshadweep","Lakshadweep",2010,"February",2010-02-01,0
"75","Lakshadweep","Lakshadweep",2010,"March",2010-03-01,1.2
"76","Lakshadweep","Lakshadweep",2010,"April",2010-04-01,35.7
"77","Lakshadweep","Lakshadweep",2010,"May",2010-05-01,79.1
"78","Lakshadweep","Lakshadweep",2010,"June",2010-06-01,320.2
"79","Lakshadweep","Lakshadweep",2010,"July",2010-07-01,338.4
"80","Lakshadweep","Lakshadweep",2010,"August",2010-08-01,333.4
"81","Lakshadweep","Lakshadweep",2010,"September",2010-09-01,162.9
"82","Lakshadweep","Lakshadweep",2010,"October",2010-10-01,152.8
"83","Lakshadweep","Lakshadweep",2010,"November",2010-11-01,201.4
"84","Lakshadweep","Lakshadweep",2010,"December",2010-12-01,81.5
