"Sr.No","State","District","Year","Month","Date","Value"
"1","Madhya Pradesh","Balaghat",2004,"January",2004-01-01,"45.3"
"2","Madhya Pradesh","Barwani",2004,"January",2004-01-01,"N.A."
"3","Madhya Pradesh","Betul",2004,"January",2004-01-01,"15.1"
"4","Madhya Pradesh","Bhind",2004,"January",2004-01-01,"51.4"
"5","Madhya Pradesh","Bhopal",2004,"January",2004-01-01,"64.7"
"6","Madhya Pradesh","Chhatarpur",2004,"January",2004-01-01,"12"
"7","Madhya Pradesh","Chindwara",2004,"January",2004-01-01,"12.5"
"8","Madhya Pradesh","Damoh",2004,"January",2004-01-01,"39.2"
"9","Madhya Pradesh","Datia",2004,"January",2004-01-01,"1"
"10","Madhya Pradesh","Dewas",2004,"January",2004-01-01,"0"
"11","Madhya Pradesh","Dhar",2004,"January",2004-01-01,"0"
"12","Madhya Pradesh","Dindori",2004,"January",2004-01-01,"N.A."
"13","Madhya Pradesh","Guna",2004,"January",2004-01-01,"4.3"
"14","Madhya Pradesh","Gwalior",2004,"January",2004-01-01,"42.4"
"15","Madhya Pradesh","Harda",2004,"January",2004-01-01,"N.A."
"16","Madhya Pradesh","Hoshangabad",2004,"January",2004-01-01,"40"
"17","Madhya Pradesh","Indore",2004,"January",2004-01-01,"3.2"
"18","Madhya Pradesh","Jabalpur",2004,"January",2004-01-01,"56.2"
"19","Madhya Pradesh","Jhabua",2004,"January",2004-01-01,"6"
"20","Madhya Pradesh","Katni",2004,"January",2004-01-01,"25"
"21","Madhya Pradesh","Khandwa",2004,"January",2004-01-01,"0"
"22","Madhya Pradesh","Khargone",2004,"January",2004-01-01,"0"
"23","Madhya Pradesh","Mandla",2004,"January",2004-01-01,"14.5"
"24","Madhya Pradesh","Mandsaur",2004,"January",2004-01-01,"0"
"25","Madhya Pradesh","Morena",2004,"January",2004-01-01,"29"
"26","Madhya Pradesh","Narsinghpur",2004,"January",2004-01-01,"47.1"
"27","Madhya Pradesh","Neemuch",2004,"January",2004-01-01,"0"
"28","Madhya Pradesh","Panna",2004,"January",2004-01-01,"10.4"
"29","Madhya Pradesh","Raisen",2004,"January",2004-01-01,"35.1"
"30","Madhya Pradesh","Rajgarh",2004,"January",2004-01-01,"8.9"
"31","Madhya Pradesh","Ratlam",2004,"January",2004-01-01,"4.6"
"32","Madhya Pradesh","Rewa",2004,"January",2004-01-01,"32.2"
"33","Madhya Pradesh","Sagar",2004,"January",2004-01-01,"25.6"
"34","Madhya Pradesh","Satna",2004,"January",2004-01-01,"35"
"35","Madhya Pradesh","Sehore",2004,"January",2004-01-01,"67.1"
"36","Madhya Pradesh","Seoni",2004,"January",2004-01-01,"41.4"
"37","Madhya Pradesh","Shahdol",2004,"January",2004-01-01,"N.A."
"38","Madhya Pradesh","Shajapur",2004,"January",2004-01-01,"19.8"
"39","Madhya Pradesh","Sheopur",2004,"January",2004-01-01,"N.A."
"40","Madhya Pradesh","Shivpuri",2004,"January",2004-01-01,"28.6"
"41","Madhya Pradesh","Sidhi",2004,"January",2004-01-01,"0"
"42","Madhya Pradesh","Tikamgarh",2004,"January",2004-01-01,"1.3"
"43","Madhya Pradesh","Ujjain",2004,"January",2004-01-01,"28.2"
"44","Madhya Pradesh","Umaria",2004,"January",2004-01-01,"51.2"
"45","Madhya Pradesh","Vidisha",2004,"January",2004-01-01,"27.3"
"46","Madhya Pradesh","Balaghat",2004,"February",2004-02-01,"0.8"
"47","Madhya Pradesh","Barwani",2004,"February",2004-02-01,"N.A."
"48","Madhya Pradesh","Betul",2004,"February",2004-02-01,"0"
"49","Madhya Pradesh","Bhind",2004,"February",2004-02-01,"0"
"50","Madhya Pradesh","Bhopal",2004,"February",2004-02-01,"0"
"51","Madhya Pradesh","Chhatarpur",2004,"February",2004-02-01,"0"
"52","Madhya Pradesh","Chindwara",2004,"February",2004-02-01,"0"
"53","Madhya Pradesh","Damoh",2004,"February",2004-02-01,"0"
"54","Madhya Pradesh","Datia",2004,"February",2004-02-01,"0"
"55","Madhya Pradesh","Dewas",2004,"February",2004-02-01,"0"
"56","Madhya Pradesh","Dhar",2004,"February",2004-02-01,"0"
"57","Madhya Pradesh","Dindori",2004,"February",2004-02-01,"0"
"58","Madhya Pradesh","Guna",2004,"February",2004-02-01,"0"
"59","Madhya Pradesh","Gwalior",2004,"February",2004-02-01,"0"
"60","Madhya Pradesh","Harda",2004,"February",2004-02-01,"N.A."
"61","Madhya Pradesh","Hoshangabad",2004,"February",2004-02-01,"0"
"62","Madhya Pradesh","Indore",2004,"February",2004-02-01,"0"
"63","Madhya Pradesh","Jabalpur",2004,"February",2004-02-01,"0"
"64","Madhya Pradesh","Jhabua",2004,"February",2004-02-01,"0"
"65","Madhya Pradesh","Katni",2004,"February",2004-02-01,"0"
"66","Madhya Pradesh","Khandwa",2004,"February",2004-02-01,"0"
"67","Madhya Pradesh","Khargone",2004,"February",2004-02-01,"0"
"68","Madhya Pradesh","Mandla",2004,"February",2004-02-01,"0"
"69","Madhya Pradesh","Mandsaur",2004,"February",2004-02-01,"0"
"70","Madhya Pradesh","Morena",2004,"February",2004-02-01,"0"
"71","Madhya Pradesh","Narsinghpur",2004,"February",2004-02-01,"0"
"72","Madhya Pradesh","Neemuch",2004,"February",2004-02-01,"0"
"73","Madhya Pradesh","Panna",2004,"February",2004-02-01,"0"
"74","Madhya Pradesh","Raisen",2004,"February",2004-02-01,"0"
"75","Madhya Pradesh","Rajgarh",2004,"February",2004-02-01,"0"
"76","Madhya Pradesh","Ratlam",2004,"February",2004-02-01,"0"
"77","Madhya Pradesh","Rewa",2004,"February",2004-02-01,"0"
"78","Madhya Pradesh","Sagar",2004,"February",2004-02-01,"0"
"79","Madhya Pradesh","Satna",2004,"February",2004-02-01,"0"
"80","Madhya Pradesh","Sehore",2004,"February",2004-02-01,"0"
"81","Madhya Pradesh","Seoni",2004,"February",2004-02-01,"0"
"82","Madhya Pradesh","Shahdol",2004,"February",2004-02-01,"N.A."
"83","Madhya Pradesh","Shajapur",2004,"February",2004-02-01,"0"
"84","Madhya Pradesh","Sheopur",2004,"February",2004-02-01,"N.A."
"85","Madhya Pradesh","Shivpuri",2004,"February",2004-02-01,"0"
"86","Madhya Pradesh","Sidhi",2004,"February",2004-02-01,"0"
"87","Madhya Pradesh","Tikamgarh",2004,"February",2004-02-01,"0"
"88","Madhya Pradesh","Ujjain",2004,"February",2004-02-01,"0"
"89","Madhya Pradesh","Umaria",2004,"February",2004-02-01,"0"
"90","Madhya Pradesh","Vidisha",2004,"February",2004-02-01,"0"
"91","Madhya Pradesh","Balaghat",2004,"March",2004-03-01,"0"
"92","Madhya Pradesh","Barwani",2004,"March",2004-03-01,"0"
"93","Madhya Pradesh","Betul",2004,"March",2004-03-01,"0"
"94","Madhya Pradesh","Bhind",2004,"March",2004-03-01,"0"
"95","Madhya Pradesh","Bhopal",2004,"March",2004-03-01,"0"
"96","Madhya Pradesh","Chhatarpur",2004,"March",2004-03-01,"0"
"97","Madhya Pradesh","Chindwara",2004,"March",2004-03-01,"0"
"98","Madhya Pradesh","Damoh",2004,"March",2004-03-01,"0"
"99","Madhya Pradesh","Datia",2004,"March",2004-03-01,"0"
"100","Madhya Pradesh","Dewas",2004,"March",2004-03-01,"0"
"101","Madhya Pradesh","Dhar",2004,"March",2004-03-01,"0"
"102","Madhya Pradesh","Dindori",2004,"March",2004-03-01,"0"
"103","Madhya Pradesh","Guna",2004,"March",2004-03-01,"0"
"104","Madhya Pradesh","Gwalior",2004,"March",2004-03-01,"0"
"105","Madhya Pradesh","Harda",2004,"March",2004-03-01,"0"
"106","Madhya Pradesh","Hoshangabad",2004,"March",2004-03-01,"0"
"107","Madhya Pradesh","Indore",2004,"March",2004-03-01,"0"
"108","Madhya Pradesh","Jabalpur",2004,"March",2004-03-01,"0"
"109","Madhya Pradesh","Jhabua",2004,"March",2004-03-01,"0"
"110","Madhya Pradesh","Katni",2004,"March",2004-03-01,"0"
"111","Madhya Pradesh","Khandwa",2004,"March",2004-03-01,"0"
"112","Madhya Pradesh","Khargone",2004,"March",2004-03-01,"0"
"113","Madhya Pradesh","Mandla",2004,"March",2004-03-01,"0"
"114","Madhya Pradesh","Mandsaur",2004,"March",2004-03-01,"0"
"115","Madhya Pradesh","Morena",2004,"March",2004-03-01,"0"
"116","Madhya Pradesh","Narsinghpur",2004,"March",2004-03-01,"0"
"117","Madhya Pradesh","Neemuch",2004,"March",2004-03-01,"0"
"118","Madhya Pradesh","Panna",2004,"March",2004-03-01,"0"
"119","Madhya Pradesh","Raisen",2004,"March",2004-03-01,"0"
"120","Madhya Pradesh","Rajgarh",2004,"March",2004-03-01,"0"
"121","Madhya Pradesh","Ratlam",2004,"March",2004-03-01,"0"
"122","Madhya Pradesh","Rewa",2004,"March",2004-03-01,"0"
"123","Madhya Pradesh","Sagar",2004,"March",2004-03-01,"0"
"124","Madhya Pradesh","Satna",2004,"March",2004-03-01,"0"
"125","Madhya Pradesh","Sehore",2004,"March",2004-03-01,"N.A."
"126","Madhya Pradesh","Seoni",2004,"March",2004-03-01,"0"
"127","Madhya Pradesh","Shahdol",2004,"March",2004-03-01,"0"
"128","Madhya Pradesh","Shajapur",2004,"March",2004-03-01,"0"
"129","Madhya Pradesh","Sheopur",2004,"March",2004-03-01,"N.A."
"130","Madhya Pradesh","Shivpuri",2004,"March",2004-03-01,"0"
"131","Madhya Pradesh","Sidhi",2004,"March",2004-03-01,"0"
"132","Madhya Pradesh","Tikamgarh",2004,"March",2004-03-01,"0"
"133","Madhya Pradesh","Ujjain",2004,"March",2004-03-01,"0"
"134","Madhya Pradesh","Umaria",2004,"March",2004-03-01,"0"
"135","Madhya Pradesh","Vidisha",2004,"March",2004-03-01,"0"
"136","Madhya Pradesh","Balaghat",2004,"April",2004-04-01,"0.7"
"137","Madhya Pradesh","Barwani",2004,"April",2004-04-01,"0"
"138","Madhya Pradesh","Betul",2004,"April",2004-04-01,"0"
"139","Madhya Pradesh","Bhind",2004,"April",2004-04-01,"0"
"140","Madhya Pradesh","Bhopal",2004,"April",2004-04-01,"0.4"
"141","Madhya Pradesh","Chhatarpur",2004,"April",2004-04-01,"5.9"
"142","Madhya Pradesh","Chindwara",2004,"April",2004-04-01,"0"
"143","Madhya Pradesh","Damoh",2004,"April",2004-04-01,"20"
"144","Madhya Pradesh","Datia",2004,"April",2004-04-01,"6.4"
"145","Madhya Pradesh","Dewas",2004,"April",2004-04-01,"0"
"146","Madhya Pradesh","Dhar",2004,"April",2004-04-01,"0"
"147","Madhya Pradesh","Dindori",2004,"April",2004-04-01,"0"
"148","Madhya Pradesh","Guna",2004,"April",2004-04-01,"0"
"149","Madhya Pradesh","Gwalior",2004,"April",2004-04-01,"2.6"
"150","Madhya Pradesh","Harda",2004,"April",2004-04-01,"0"
"151","Madhya Pradesh","Hoshangabad",2004,"April",2004-04-01,"0.6"
"152","Madhya Pradesh","Indore",2004,"April",2004-04-01,"0"
"153","Madhya Pradesh","Jabalpur",2004,"April",2004-04-01,"2.3"
