"Sr.No","State","District","Year","Month","Date","Value"
"1","Maharashtra","Ahmednagar",2004,"January",2004-01-01,"0"
"2","Maharashtra"," Akola",2004,"January",2004-01-01,"15.8"
"3","Maharashtra"," Amraoti",2004,"January",2004-01-01,"18.7"
"4","Maharashtra"," Aurangabad",2004,"January",2004-01-01,"1.1"
"5","Maharashtra"," Beed",2004,"January",2004-01-01,"0"
"6","Maharashtra"," Bhandara",2004,"January",2004-01-01,"51.2"
"7","Maharashtra"," Buldana",2004,"January",2004-01-01,"10.8"
"8","Maharashtra"," Chandrapur",2004,"January",2004-01-01,"42.8"
"9","Maharashtra"," Dhulie",2004,"January",2004-01-01,"0"
"10","Maharashtra"," Gadchiroli",2004,"January",2004-01-01,"72.2"
"11","Maharashtra"," Gondia",2004,"January",2004-01-01,"31.1"
"12","Maharashtra"," Jalgaon",2004,"January",2004-01-01,"0.2"
"13","Maharashtra"," Jalna",2004,"January",2004-01-01,"1.9"
"14","Maharashtra"," Kolhapur",2004,"January",2004-01-01,"0"
"15","Maharashtra"," Latur",2004,"January",2004-01-01,"11.2"
"16","Maharashtra"," Mumbai",2004,"January",2004-01-01,"0"
"17","Maharashtra"," Nagpur",2004,"January",2004-01-01,"49.4"
"18","Maharashtra"," Nanded",2004,"January",2004-01-01,"2.5"
"19","Maharashtra"," Nandurbar",2004,"January",2004-01-01,"0"
"20","Maharashtra"," Nasik",2004,"January",2004-01-01,"0"
"21","Maharashtra"," Osmanabad",2004,"January",2004-01-01,"1.1"
"22","Maharashtra"," Parbhani",2004,"January",2004-01-01,"3.5"
"23","Maharashtra"," Pune",2004,"January",2004-01-01,"0"
"24","Maharashtra"," Raigad",2004,"January",2004-01-01,"0"
"25","Maharashtra"," Ratnagiri",2004,"January",2004-01-01,"0"
"26","Maharashtra"," Sangli",2004,"January",2004-01-01,"0"
"27","Maharashtra"," Satara",2004,"January",2004-01-01,"0"
"28","Maharashtra"," Sholapur",2004,"January",2004-01-01,"0"
"29","Maharashtra"," Sindhudurg",2004,"January",2004-01-01,"0"
"30","Maharashtra"," Thane",2004,"January",2004-01-01,"0"
"31","Maharashtra"," Wardha",2004,"January",2004-01-01,"66"
"32","Maharashtra"," Washim",2004,"January",2004-01-01,"34.1"
"33","Maharashtra"," Yeotmal",2004,"January",2004-01-01,"36.7"
"34","Maharashtra","Ahmednagar",2004,"February",2004-02-01,"0"
"35","Maharashtra"," Akola",2004,"February",2004-02-01,"0"
"36","Maharashtra"," Amraoti",2004,"February",2004-02-01,"0"
"37","Maharashtra"," Aurangabad",2004,"February",2004-02-01,"0"
"38","Maharashtra"," Beed",2004,"February",2004-02-01,"0"
"39","Maharashtra"," Bhandara",2004,"February",2004-02-01,"2.1"
"40","Maharashtra"," Buldana",2004,"February",2004-02-01,"0"
"41","Maharashtra"," Chandrapur",2004,"February",2004-02-01,"4.3"
