"Sr.No","State","District","Year","Month","Date","Value"
"1","Manipur","Churachandpur",2004,"January",2004-01-01,"N.A."
"2","Manipur","Imphal",2004,"January",2004-01-01,"5.2"
"3","Manipur","Senapati",2004,"January",2004-01-01,"N.A."
"4","Manipur","Churachandpur",2004,"February",2004-02-01,"N.A."
"5","Manipur","Imphal",2004,"February",2004-02-01,"0"
"6","Manipur","Senapati",2004,"February",2004-02-01,"0"
"7","Manipur","Churachandpur",2004,"March",2004-03-01,"N.A."
"8","Manipur","Imphal",2004,"March",2004-03-01,"20.2"
"9","Manipur","Senapati",2004,"March",2004-03-01,"N.A."
"10","Manipur","Churachandpur",2004,"April",2004-04-01,"N.A."
"11","Manipur","Imphal",2004,"April",2004-04-01,"380"
"12","Manipur","Senapati",2004,"April",2004-04-01,"N.A."
"13","Manipur","Churachandpur",2004,"May",2004-05-01,"N.A."
"14","Manipur","Imphal",2004,"May",2004-05-01,"152.4"
"15","Manipur","Senapati",2004,"May",2004-05-01,"N.A."
"16","Manipur","Churachandpur",2004,"June",2004-06-01,"N.A."
"17","Manipur","Imphal",2004,"June",2004-06-01,"190.8"
"18","Manipur","Senapati",2004,"June",2004-06-01,"N.A."
"19","Manipur","Churachandpur",2004,"July",2004-07-01,"N.A."
"20","Manipur","Imphal",2004,"July",2004-07-01,"168.8"
"21","Manipur","Senapati",2004,"July",2004-07-01,"N.A."
"22","Manipur","Churachandpur",2004,"August",2004-08-01,"N.A."
"23","Manipur","Imphal",2004,"August",2004-08-01,"171.6"
"24","Manipur","Senapati",2004,"August",2004-08-01,"N.A."
"25","Manipur","Churachandpur",2004,"September",2004-09-01,"N.A."
"26","Manipur","Imphal",2004,"September",2004-09-01,"142.9"
"27","Manipur","Senapati",2004,"September",2004-09-01,"N.A."
"28","Manipur","Churachandpur",2004,"October",2004-10-01,"N.A."
"29","Manipur","Imphal",2004,"October",2004-10-01,"93.9"
"30","Manipur","Senapati",2004,"October",2004-10-01,"N.A."
"31","Manipur","Churachandpur",2004,"November",2004-11-01,"N.A."
"32","Manipur","Imphal",2004,"November",2004-11-01,"10.9"
"33","Manipur","Senapati",2004,"November",2004-11-01,"N.A."
"34","Manipur","Churachandpur",2004,"December",2004-12-01,"N.A."
"35","Manipur","Imphal",2004,"December",2004-12-01,"2.1"
"36","Manipur","Senapati",2004,"December",2004-12-01,"N.A."
"37","Manipur","Churachandpur",2005,"January",2005-01-01,"N.A."
"38","Manipur","Imphal",2005,"January",2005-01-01,"0"
"39","Manipur","Senapati",2005,"January",2005-01-01,"N.A."
"40","Manipur","Churachandpur",2005,"February",2005-02-01,"N.A."
"41","Manipur","Imphal",2005,"February",2005-02-01,"35.2"
"42","Manipur","Senapati",2005,"February",2005-02-01,"0"
"43","Manipur","Churachandpur",2005,"March",2005-03-01,"N.A."
"44","Manipur","Imphal",2005,"March",2005-03-01,"99.1"
"45","Manipur","Senapati",2005,"March",2005-03-01,"N.A."
"46","Manipur","Churachandpur",2005,"April",2005-04-01,"N.A."
