"Sr.No","State","District","Year","Month","Date","Value"
"1","Meghalaya","East Garo Hills",2004,"January",2004-01-01,"N.A."
"2","Meghalaya","East Khasi Hills",2004,"January",2004-01-01,"8.5"
"3","Meghalaya","Jaintia Hills",2004,"January",2004-01-01,"3"
"4","Meghalaya","East Garo Hills",2004,"February",2004-02-01,"N.A."
"5","Meghalaya","East Khasi Hills",2004,"February",2004-02-01,"13"
"6","Meghalaya","Jaintia Hills",2004,"February",2004-02-01,"3.9"
"7","Meghalaya","East Garo Hills",2004,"March",2004-03-01,"N.A."
"8","Meghalaya","East Khasi Hills",2004,"March",2004-03-01,"465.5"
"9","Meghalaya","Jaintia Hills",2004,"March",2004-03-01,"68"
"10","Meghalaya","East Garo Hills",2004,"April",2004-04-01,"N.A."
"11","Meghalaya","East Khasi Hills",2004,"April",2004-04-01,"1108.2"
"12","Meghalaya","Jaintia Hills",2004,"April",2004-04-01,"247.4"
"13","Meghalaya","East Garo Hills",2004,"May",2004-05-01,"N.A."
"14","Meghalaya","East Khasi Hills",2004,"May",2004-05-01,"1053.8"
"15","Meghalaya","Jaintia Hills",2004,"May",2004-05-01,"546"
"16","Meghalaya","East Garo Hills",2004,"June",2004-06-01,"N.A."
"17","Meghalaya","East Khasi Hills",2004,"June",2004-06-01,"1150.2"
"18","Meghalaya","Jaintia Hills",2004,"June",2004-06-01,"545.2"
"19","Meghalaya","East Garo Hills",2004,"July",2004-07-01,"N.A."
"20","Meghalaya","East Khasi Hills",2004,"July",2004-07-01,"3079"
"21","Meghalaya","Jaintia Hills",2004,"July",2004-07-01,"2372.8"
"22","Meghalaya","East Garo Hills",2004,"August",2004-08-01,"N.A."
"23","Meghalaya","East Khasi Hills",2004,"August",2004-08-01,"1060.1"
"24","Meghalaya","Jaintia Hills",2004,"August",2004-08-01,"377.2"
"25","Meghalaya","East Garo Hills",2004,"September",2004-09-01,"N.A."
"26","Meghalaya","East Khasi Hills",2004,"September",2004-09-01,"782"
"27","Meghalaya","Jaintia Hills",2004,"September",2004-09-01,"371.4"
"28","Meghalaya","East Garo Hills",2004,"October",2004-10-01,"N.A."
"29","Meghalaya","East Khasi Hills",2004,"October",2004-10-01,"1174.1"
"30","Meghalaya","Jaintia Hills",2004,"October",2004-10-01,"829.4"
"31","Meghalaya","East Garo Hills",2004,"November",2004-11-01,"N.A."
"32","Meghalaya","East Khasi Hills",2004,"November",2004-11-01,"22.6"
"33","Meghalaya","Jaintia Hills",2004,"November",2004-11-01,"1.2"
"34","Meghalaya","East Garo Hills",2004,"December",2004-12-01,"N.A."
"35","Meghalaya","East Khasi Hills",2004,"December",2004-12-01,"18"
"36","Meghalaya","Jaintia Hills",2004,"December",2004-12-01,"3"
"37","Meghalaya","East Garo Hills",2005,"January",2005-01-01,"N.A."
"38","Meghalaya","East Khasi Hills",2005,"January",2005-01-01,"13.2"
"39","Meghalaya","Jaintia Hills",2005,"January",2005-01-01,"15.4"
"40","Meghalaya","East Garo Hills",2005,"February",2005-02-01,"1.8"
"41","Meghalaya","East Khasi Hills",2005,"February",2005-02-01,"12.7"
"42","Meghalaya","Jaintia Hills",2005,"February",2005-02-01,"7"
"43","Meghalaya","East Garo Hills",2005,"March",2005-03-01,"136.9"
"44","Meghalaya","East Khasi Hills",2005,"March",2005-03-01,"342.4"
"45","Meghalaya","Jaintia Hills",2005,"March",2005-03-01,"222.6"
"46","Meghalaya","East Garo Hills",2005,"April",2005-04-01,"116.6"
"47","Meghalaya","East Khasi Hills",2005,"April",2005-04-01,"273.8"
"48","Meghalaya","Jaintia Hills",2005,"April",2005-04-01,"413.8"
"49","Meghalaya","East Garo Hills",2005,"May",2005-05-01,"0"
"50","Meghalaya","East Khasi Hills",2005,"May",2005-05-01,"609.2"
"51","Meghalaya","Jaintia Hills",2005,"May",2005-05-01,"224.2"
"52","Meghalaya","East Garo Hills",2005,"June",2005-06-01,"43"
"53","Meghalaya","East Khasi Hills",2005,"June",2005-06-01,"1276.2"
"54","Meghalaya","Jaintia Hills",2005,"June",2005-06-01,"435.4"
"55","Meghalaya","East Garo Hills",2005,"July",2005-07-01,"671.3"
"56","Meghalaya","East Khasi Hills",2005,"July",2005-07-01,"1396.8"
"57","Meghalaya","Jaintia Hills",2005,"July",2005-07-01,"546"
"58","Meghalaya","East Garo Hills",2005,"August",2005-08-01,"447.9"
"59","Meghalaya","East Khasi Hills",2005,"August",2005-08-01,"1585.7"
"60","Meghalaya","Jaintia Hills",2005,"August",2005-08-01,"730.8"
"61","Meghalaya","East Garo Hills",2005,"September",2005-09-01,"129.6"
"62","Meghalaya","East Khasi Hills",2005,"September",2005-09-01,"295.2"
"63","Meghalaya","Jaintia Hills",2005,"September",2005-09-01,"142"
"64","Meghalaya","East Garo Hills",2005,"October",2005-10-01,"506.6"
"65","Meghalaya","East Khasi Hills",2005,"October",2005-10-01,"429.1"
"66","Meghalaya","Jaintia Hills",2005,"October",2005-10-01,"373.6"
"67","Meghalaya","East Garo Hills",2005,"November",2005-11-01,"0"
"68","Meghalaya","East Khasi Hills",2005,"November",2005-11-01,"3.7"
"69","Meghalaya","Jaintia Hills",2005,"November",2005-11-01,"21.6"
"70","Meghalaya","East Garo Hills",2005,"December",2005-12-01,"0"
"71","Meghalaya","East Khasi Hills",2005,"December",2005-12-01,"1.9"
"72","Meghalaya","Jaintia Hills",2005,"December",2005-12-01,"13.2"
"73","Meghalaya","East Garo Hills",2006,"January",2006-01-01,"0"
"74","Meghalaya","East Khasi Hills",2006,"January",2006-01-01,"0.2"
"75","Meghalaya","Jaintia Hills",2006,"January",2006-01-01,"0"
"76","Meghalaya","East Garo Hills",2006,"February",2006-02-01,"23.2"
"77","Meghalaya","East Khasi Hills",2006,"February",2006-02-01,"88"
"78","Meghalaya","Jaintia Hills",2006,"February",2006-02-01,"11"
"79","Meghalaya","East Garo Hills",2006,"March",2006-03-01,"2.4"
"80","Meghalaya","East Khasi Hills",2006,"March",2006-03-01,"29.2"
"81","Meghalaya","Jaintia Hills",2006,"March",2006-03-01,"66.8"
"82","Meghalaya","East Garo Hills",2006,"April",2006-04-01,"167.4"
"83","Meghalaya","East Khasi Hills",2006,"April",2006-04-01,"378.7"
"84","Meghalaya","Jaintia Hills",2006,"April",2006-04-01,"152.6"
"85","Meghalaya","East Garo Hills",2006,"May",2006-05-01,"242.6"
"86","Meghalaya","East Khasi Hills",2006,"May",2006-05-01,"833.4"
"87","Meghalaya","Jaintia Hills",2006,"May",2006-05-01,"756.3"
"88","Meghalaya","East Garo Hills",2006,"June",2006-06-01,"401.1"
"89","Meghalaya","East Khasi Hills",2006,"June",2006-06-01,"1433.3"
"90","Meghalaya","Jaintia Hills",2006,"June",2006-06-01,"507.1"
"91","Meghalaya","East Garo Hills",2006,"July",2006-07-01,"282.9"
"92","Meghalaya","East Khasi Hills",2006,"July",2006-07-01,"817.6"
"93","Meghalaya","Jaintia Hills",2006,"July",2006-07-01,"408.7"
"94","Meghalaya","East Garo Hills",2006,"August",2006-08-01,"194.4"
"95","Meghalaya","East Khasi Hills",2006,"August",2006-08-01,"368.9"
"96","Meghalaya","Jaintia Hills",2006,"August",2006-08-01,"243"
"97","Meghalaya","East Garo Hills",2006,"September",2006-09-01,"346.9"
"98","Meghalaya","East Khasi Hills",2006,"September",2006-09-01,"576.1"
"99","Meghalaya","Jaintia Hills",2006,"September",2006-09-01,"345.2"
"100","Meghalaya","East Garo Hills",2006,"October",2006-10-01,"73.1"
"101","Meghalaya","East Khasi Hills",2006,"October",2006-10-01,"37.9"
"102","Meghalaya","Jaintia Hills",2006,"October",2006-10-01,"229"
"103","Meghalaya","East Garo Hills",2006,"November",2006-11-01,"12"
"104","Meghalaya","East Khasi Hills",2006,"November",2006-11-01,"27.8"
"105","Meghalaya","Jaintia Hills",2006,"November",2006-11-01,"43"
