"Sr.No","State","District","Year","Month","Date","Value"
"1","Mizoram","Aizwal",2004,"January",2004-01-01,"0"
"2","Mizoram","Chhimtuipui",2004,"January",2004-01-01,"0"
"3","Mizoram","Aizwal",2004,"February",2004-02-01,"0"
"4","Mizoram","Chhimtuipui",2004,"February",2004-02-01,"N.A."
"5","Mizoram","Aizwal",2004,"March",2004-03-01,"6.4"
"6","Mizoram","Chhimtuipui",2004,"March",2004-03-01,"71"
"7","Mizoram","Aizwal",2004,"April",2004-04-01,"353.8"
"8","Mizoram","Chhimtuipui",2004,"April",2004-04-01,"N.A."
"9","Mizoram","Aizwal",2004,"May",2004-05-01,"214.8"
"10","Mizoram","Chhimtuipui",2004,"May",2004-05-01,"N.A."
"11","Mizoram","Aizwal",2004,"June",2004-06-01,"431.6"
"12","Mizoram","Chhimtuipui",2004,"June",2004-06-01,"161"
"13","Mizoram","Aizwal",2004,"July",2004-07-01,"614.8"
"14","Mizoram","Chhimtuipui",2004,"July",2004-07-01,"1217"
"15","Mizoram","Aizwal",2004,"August",2004-08-01,"379.8"
"16","Mizoram","Chhimtuipui",2004,"August",2004-08-01,"0"
"17","Mizoram","Aizwal",2004,"September",2004-09-01,"328.3"
"18","Mizoram","Chhimtuipui",2004,"September",2004-09-01,"0"
"19","Mizoram","Aizwal",2004,"October",2004-10-01,"133.6"
"20","Mizoram","Chhimtuipui",2004,"October",2004-10-01,"135"
"21","Mizoram","Aizwal",2004,"November",2004-11-01,"2.1"
"22","Mizoram","Chhimtuipui",2004,"November",2004-11-01,"12"
"23","Mizoram","Aizwal",2004,"December",2004-12-01,"0.7"
"24","Mizoram","Chhimtuipui",2004,"December",2004-12-01,"0"
"25","Mizoram","Aizwal",2005,"January",2005-01-01,"6.1"
"26","Mizoram","Chhimtuipui",2005,"January",2005-01-01,"N.A."
"27","Mizoram","Aizwal",2005,"February",2005-02-01,"6.7"
"28","Mizoram","Chhimtuipui",2005,"February",2005-02-01,"0"
"29","Mizoram","Aizwal",2005,"March",2005-03-01,"153.7"
"30","Mizoram","Chhimtuipui",2005,"March",2005-03-01,"N.A."
"31","Mizoram","Aizwal",2005,"April",2005-04-01,"85.1"
"32","Mizoram","Chhimtuipui",2005,"April",2005-04-01,"16"
"33","Mizoram","Aizwal",2005,"May",2005-05-01,"295.5"
