"Sr.No","State","District","Year","Month","Date","Value"
"1","NCT of Delhi","Delhi",2009,"January",2009-01-01,4
"2","NCT of Delhi","Delhi",2009,"February",2009-02-01,5.5
"3","NCT of Delhi","Delhi",2009,"March",2009-03-01,8.4
"4","NCT of Delhi","Delhi",2009,"April",2009-04-01,4.5
"5","NCT of Delhi","Delhi",2009,"May",2009-05-01,31.4
"6","NCT of Delhi","Delhi",2009,"June",2009-06-01,16.6
"7","NCT of Delhi","Delhi",2009,"July",2009-07-01,119
"8","NCT of Delhi","Delhi",2009,"August",2009-08-01,156.3
"9","NCT of Delhi","Delhi",2009,"September",2009-09-01,192.9
"10","NCT of Delhi","Delhi",2009,"October",2009-10-01,2
"11","NCT of Delhi","Delhi",2009,"November",2009-11-01,17.5
"12","NCT of Delhi","Delhi",2009,"December",2009-12-01,1.9
"13","NCT of Delhi","Delhi",2010,"January",2010-01-01,4.5
"14","NCT of Delhi","Delhi",2010,"February",2010-02-01,18.8
"15","NCT of Delhi","Delhi",2010,"March",2010-03-01,0
"16","NCT of Delhi","Delhi",2010,"April",2010-04-01,0.2
"17","NCT of Delhi","Delhi",2010,"May",2010-05-01,2.3
"18","NCT of Delhi","Delhi",2010,"June",2010-06-01,4.2
"19","NCT of Delhi","Delhi",2010,"July",2010-07-01,173.1
"20","NCT of Delhi","Delhi",2010,"August",2010-08-01,464.4
"21","NCT of Delhi","Delhi",2010,"September",2010-09-01,359.7
"22","NCT of Delhi","Delhi",2010,"October",2010-10-01,8.9
"23","NCT of Delhi","Delhi",2010,"November",2010-11-01,16.2
"24","NCT of Delhi","Delhi",2010,"December",2010-12-01,3.7
