"Sr.No","State","District","Year","Month","Date","Value"
"1","Nagaland","Kohima",2004,"January",2004-01-01,"2.9"
"2","Nagaland","Mon",2004,"January",2004-01-01,"14"
"3","Nagaland","Phek",2004,"January",2004-01-01,"2.2"
"4","Nagaland","Tuensang",2004,"January",2004-01-01,"24.8"
"5","Nagaland","Kohima",2004,"February",2004-02-01,"3.5"
"6","Nagaland","Mon",2004,"February",2004-02-01,"14"
"7","Nagaland","Phek",2004,"February",2004-02-01,"2.8"
"8","Nagaland","Tuensang",2004,"February",2004-02-01,"N.A."
"9","Nagaland","Kohima",2004,"March",2004-03-01,"10.6"
"10","Nagaland","Mon",2004,"March",2004-03-01,"20"
"11","Nagaland","Phek",2004,"March",2004-03-01,"7"
"12","Nagaland","Tuensang",2004,"March",2004-03-01,"4.2"
"13","Nagaland","Kohima",2004,"April",2004-04-01,"217"
"14","Nagaland","Mon",2004,"April",2004-04-01,"10.6"
"15","Nagaland","Phek",2004,"April",2004-04-01,"275.6"
"16","Nagaland","Tuensang",2004,"April",2004-04-01,"4.3"
"17","Nagaland","Kohima",2004,"May",2004-05-01,"174.5"
"18","Nagaland","Mon",2004,"May",2004-05-01,"N.A."
"19","Nagaland","Phek",2004,"May",2004-05-01,"126.7"
"20","Nagaland","Tuensang",2004,"May",2004-05-01,"63.9"
"21","Nagaland","Kohima",2004,"June",2004-06-01,"209.2"
"22","Nagaland","Mon",2004,"June",2004-06-01,"242"
"23","Nagaland","Phek",2004,"June",2004-06-01,"215.8"
"24","Nagaland","Tuensang",2004,"June",2004-06-01,"116.2"
"25","Nagaland","Kohima",2004,"July",2004-07-01,"547.9"
"26","Nagaland","Mon",2004,"July",2004-07-01,"447"
"27","Nagaland","Phek",2004,"July",2004-07-01,"450"
"28","Nagaland","Tuensang",2004,"July",2004-07-01,"171.9"
"29","Nagaland","Kohima",2004,"August",2004-08-01,"237.6"
"30","Nagaland","Mon",2004,"August",2004-08-01,"164"
"31","Nagaland","Phek",2004,"August",2004-08-01,"224.5"
"32","Nagaland","Tuensang",2004,"August",2004-08-01,"102"
"33","Nagaland","Kohima",2004,"September",2004-09-01,"285.2"
"34","Nagaland","Mon",2004,"September",2004-09-01,"83.2"
"35","Nagaland","Phek",2004,"September",2004-09-01,"253.9"
"36","Nagaland","Tuensang",2004,"September",2004-09-01,"122.3"
"37","Nagaland","Kohima",2004,"October",2004-10-01,"161"
"38","Nagaland","Mon",2004,"October",2004-10-01,"193"
"39","Nagaland","Phek",2004,"October",2004-10-01,"205.3"
"40","Nagaland","Tuensang",2004,"October",2004-10-01,"85"
"41","Nagaland","Kohima",2004,"November",2004-11-01,"15.3"
"42","Nagaland","Mon",2004,"November",2004-11-01,"0"
"43","Nagaland","Phek",2004,"November",2004-11-01,"17"
"44","Nagaland","Tuensang",2004,"November",2004-11-01,"7.6"
"45","Nagaland","Kohima",2004,"December",2004-12-01,"0.2"
"46","Nagaland","Mon",2004,"December",2004-12-01,"0"
"47","Nagaland","Phek",2004,"December",2004-12-01,"0"
"48","Nagaland","Tuensang",2004,"December",2004-12-01,"1.6"
"49","Nagaland","Kohima",2005,"January",2005-01-01,"7.6"
"50","Nagaland","Mon",2005,"January",2005-01-01,"N.A."
"51","Nagaland","Phek",2005,"January",2005-01-01,"2.4"
"52","Nagaland","Tuensang",2005,"January",2005-01-01,"N.A."
"53","Nagaland","Kohima",2005,"February",2005-02-01,"33.3"
"54","Nagaland","Mon",2005,"February",2005-02-01,"40"
"55","Nagaland","Phek",2005,"February",2005-02-01,"29.8"
"56","Nagaland","Tuensang",2005,"February",2005-02-01,"2.1"
"57","Nagaland","Kohima",2005,"March",2005-03-01,"101.2"
"58","Nagaland","Mon",2005,"March",2005-03-01,"360"
"59","Nagaland","Phek",2005,"March",2005-03-01,"143.8"
"60","Nagaland","Tuensang",2005,"March",2005-03-01,"49.8"
"61","Nagaland","Kohima",2005,"April",2005-04-01,"55.4"
"62","Nagaland","Mon",2005,"April",2005-04-01,"163"
"63","Nagaland","Phek",2005,"April",2005-04-01,"61.9"
"64","Nagaland","Tuensang",2005,"April",2005-04-01,"25.1"
"65","Nagaland","Kohima",2005,"May",2005-05-01,"171.1"
"66","Nagaland","Mon",2005,"May",2005-05-01,"73"
"67","Nagaland","Phek",2005,"May",2005-05-01,"227.4"
"68","Nagaland","Tuensang",2005,"May",2005-05-01,"78"
"69","Nagaland","Kohima",2005,"June",2005-06-01,"263.8"
"70","Nagaland","Mon",2005,"June",2005-06-01,"108"
"71","Nagaland","Phek",2005,"June",2005-06-01,"294.2"
"72","Nagaland","Tuensang",2005,"June",2005-06-01,"76.4"
"73","Nagaland","Kohima",2005,"July",2005-07-01,"175.6"
"74","Nagaland","Mon",2005,"July",2005-07-01,"168.5"
"75","Nagaland","Phek",2005,"July",2005-07-01,"235"
"76","Nagaland","Tuensang",2005,"July",2005-07-01,"118.9"
"77","Nagaland","Kohima",2005,"August",2005-08-01,"346.1"
"78","Nagaland","Mon",2005,"August",2005-08-01,"N.A."
"79","Nagaland","Phek",2005,"August",2005-08-01,"161"
"80","Nagaland","Tuensang",2005,"August",2005-08-01,"86.5"
"81","Nagaland","Kohima",2005,"September",2005-09-01,"255.7"
"82","Nagaland","Mon",2005,"September",2005-09-01,"N.A."
"83","Nagaland","Phek",2005,"September",2005-09-01,"108.2"
"84","Nagaland","Tuensang",2005,"September",2005-09-01,"66.4"
"85","Nagaland","Kohima",2005,"October",2005-10-01,"147.7"
"86","Nagaland","Mon",2005,"October",2005-10-01,"N.A."
"87","Nagaland","Phek",2005,"October",2005-10-01,"166.2"
"88","Nagaland","Tuensang",2005,"October",2005-10-01,"105"
"89","Nagaland","Kohima",2005,"November",2005-11-01,"4.5"
"90","Nagaland","Mon",2005,"November",2005-11-01,"N.A."
"91","Nagaland","Phek",2005,"November",2005-11-01,"4.4"
"92","Nagaland","Tuensang",2005,"November",2005-11-01,"N.A."
"93","Nagaland","Kohima",2005,"December",2005-12-01,"8.3"
"94","Nagaland","Mon",2005,"December",2005-12-01,"13"
"95","Nagaland","Phek",2005,"December",2005-12-01,"23.4"
"96","Nagaland","Tuensang",2005,"December",2005-12-01,"3.8"
"97","Nagaland","Kohima",2006,"January",2006-01-01,"0"
"98","Nagaland","Mon",2006,"January",2006-01-01,"7.4"
