"Sr.No","State","District","Year","Month","Date","Value"
"1","Orissa","Angul",2004,"January",2004-01-01,"7.2"
"2","Orissa","Balasore",2004,"January",2004-01-01,"0"
"3","Orissa","Bodhgarh",2004,"January",2004-01-01,"8.5"
"4","Orissa","Bolangir",2004,"January",2004-01-01,"4.6"
"5","Orissa","Cuttack",2004,"January",2004-01-01,"6.7"
"6","Orissa","Deogarh",2004,"January",2004-01-01,"1.9"
"7","Orissa","Dhenkanal",2004,"January",2004-01-01,"0"
"8","Orissa","Gajapati",2004,"January",2004-01-01,"23.5"
"9","Orissa","Ganjam",2004,"January",2004-01-01,"6.5"
"10","Orissa","Jagatsinghpur",2004,"January",2004-01-01,"3.6"
"11","Orissa","Jajpur",2004,"January",2004-01-01,"5.4"
"12","Orissa","Jharsuguda",2004,"January",2004-01-01,"16.8"
"13","Orissa","Kalahandi",2004,"January",2004-01-01,"0"
"14","Orissa","Kandhamal",2004,"January",2004-01-01,"0"
"15","Orissa","Kendrapara",2004,"January",2004-01-01,"N.A."
"16","Orissa","Keonjhargarh",2004,"January",2004-01-01,"0.5"
"17","Orissa","Khurda",2004,"January",2004-01-01,"7.1"
"18","Orissa","Koraput",2004,"January",2004-01-01,"0"
"19","Orissa","Malkangiri",2004,"January",2004-01-01,"0"
"20","Orissa","Mayurbhanj",2004,"January",2004-01-01,"0"
"21","Orissa","Nawapara",2004,"January",2004-01-01,"22"
"22","Orissa","Nawarangpur",2004,"January",2004-01-01,"N.A."
"23","Orissa","Nayagarh",2004,"January",2004-01-01,"0"
"24","Orissa","Puri",2004,"January",2004-01-01,"7.1"
"25","Orissa","Rayagada",2004,"January",2004-01-01,"16.7"
"26","Orissa","Sambalpur",2004,"January",2004-01-01,"3.6"
"27","Orissa","Sonepur",2004,"January",2004-01-01,"7.5"
"28","Orissa","Sundargarh",2004,"January",2004-01-01,"2.9"
"29","Orissa","Angul",2004,"February",2004-02-01,"14.5"
"30","Orissa","Balasore",2004,"February",2004-02-01,"3.1"
"31","Orissa","Bodhgarh",2004,"February",2004-02-01,"0"
"32","Orissa","Bolangir",2004,"February",2004-02-01,"21.5"
"33","Orissa","Cuttack",2004,"February",2004-02-01,"16.5"
"34","Orissa","Deogarh",2004,"February",2004-02-01,"8.5"
"35","Orissa","Dhenkanal",2004,"February",2004-02-01,"0"
"36","Orissa","Gajapati",2004,"February",2004-02-01,"22.5"
"37","Orissa","Ganjam",2004,"February",2004-02-01,"33.2"
"38","Orissa","Jagatsinghpur",2004,"February",2004-02-01,"7.6"
"39","Orissa","Jajpur",2004,"February",2004-02-01,"32.8"
"40","Orissa","Jharsuguda",2004,"February",2004-02-01,"5.4"
"41","Orissa","Kalahandi",2004,"February",2004-02-01,"18"
"42","Orissa","Kandhamal",2004,"February",2004-02-01,"11"
"43","Orissa","Kendrapara",2004,"February",2004-02-01,"N.A."
"44","Orissa","Keonjhargarh",2004,"February",2004-02-01,"10.1"
"45","Orissa","Khurda",2004,"February",2004-02-01,"2.2"
"46","Orissa","Koraput",2004,"February",2004-02-01,"0"
"47","Orissa","Malkangiri",2004,"February",2004-02-01,"0"
"48","Orissa","Mayurbhanj",2004,"February",2004-02-01,"8.4"
"49","Orissa","Nawapara",2004,"February",2004-02-01,"0"
"50","Orissa","Nawarangpur",2004,"February",2004-02-01,"N.A."
"51","Orissa","Nayagarh",2004,"February",2004-02-01,"40"
"52","Orissa","Puri",2004,"February",2004-02-01,"13"
"53","Orissa","Rayagada",2004,"February",2004-02-01,"19"
"54","Orissa","Sambalpur",2004,"February",2004-02-01,"12.8"
"55","Orissa","Sonepur",2004,"February",2004-02-01,"0"
"56","Orissa","Sundargarh",2004,"February",2004-02-01,"4.4"
"57","Orissa","Angul",2004,"March",2004-03-01,"26.5"
"58","Orissa","Balasore",2004,"March",2004-03-01,"7.6"
"59","Orissa","Bodhgarh",2004,"March",2004-03-01,"5.3"
"60","Orissa","Bolangir",2004,"March",2004-03-01,"0"
"61","Orissa","Cuttack",2004,"March",2004-03-01,"3.2"
"62","Orissa","Deogarh",2004,"March",2004-03-01,"0.7"
"63","Orissa","Dhenkanal",2004,"March",2004-03-01,"0"
"64","Orissa","Gajapati",2004,"March",2004-03-01,"18.9"
"65","Orissa","Ganjam",2004,"March",2004-03-01,"18.3"
"66","Orissa","Jagatsinghpur",2004,"March",2004-03-01,"0.1"
"67","Orissa","Jajpur",2004,"March",2004-03-01,"20.2"
"68","Orissa","Jharsuguda",2004,"March",2004-03-01,"6.5"
"69","Orissa","Kalahandi",2004,"March",2004-03-01,"0"
"70","Orissa","Kandhamal",2004,"March",2004-03-01,"7.2"
"71","Orissa","Kendrapara",2004,"March",2004-03-01,"N.A."
"72","Orissa","Keonjhargarh",2004,"March",2004-03-01,"7.1"
"73","Orissa","Khurda",2004,"March",2004-03-01,"0"
"74","Orissa","Koraput",2004,"March",2004-03-01,"14.2"
"75","Orissa","Malkangiri",2004,"March",2004-03-01,"0"
"76","Orissa","Mayurbhanj",2004,"March",2004-03-01,"15.7"
"77","Orissa","Nawapara",2004,"March",2004-03-01,"0"
"78","Orissa","Nawarangpur",2004,"March",2004-03-01,"N.A."
"79","Orissa","Nayagarh",2004,"March",2004-03-01,"18.1"
"80","Orissa","Puri",2004,"March",2004-03-01,"0.4"
"81","Orissa","Rayagada",2004,"March",2004-03-01,"5.9"
"82","Orissa","Sambalpur",2004,"March",2004-03-01,"5.9"
"83","Orissa","Sonepur",2004,"March",2004-03-01,"5.2"
"84","Orissa","Sundargarh",2004,"March",2004-03-01,"11.7"
"85","Orissa","Angul",2004,"April",2004-04-01,"69.2"
"86","Orissa","Balasore",2004,"April",2004-04-01,"93.3"
"87","Orissa","Bodhgarh",2004,"April",2004-04-01,"32.9"
"88","Orissa","Bolangir",2004,"April",2004-04-01,"64.5"
"89","Orissa","Cuttack",2004,"April",2004-04-01,"72"
"90","Orissa","Deogarh",2004,"April",2004-04-01,"0.8"
"91","Orissa","Dhenkanal",2004,"April",2004-04-01,"60"
"92","Orissa","Gajapati",2004,"April",2004-04-01,"160.1"
"93","Orissa","Ganjam",2004,"April",2004-04-01,"97.6"
"94","Orissa","Jagatsinghpur",2004,"April",2004-04-01,"100.5"
"95","Orissa","Jajpur",2004,"April",2004-04-01,"76.6"
"96","Orissa","Jharsuguda",2004,"April",2004-04-01,"56.3"
"97","Orissa","Kalahandi",2004,"April",2004-04-01,"17.2"
"98","Orissa","Kandhamal",2004,"April",2004-04-01,"77.8"
"99","Orissa","Kendrapara",2004,"April",2004-04-01,"N.A."
"100","Orissa","Keonjhargarh",2004,"April",2004-04-01,"76.5"
"101","Orissa","Khurda",2004,"April",2004-04-01,"70.5"
"102","Orissa","Koraput",2004,"April",2004-04-01,"48.5"
"103","Orissa","Malkangiri",2004,"April",2004-04-01,"28"
"104","Orissa","Mayurbhanj",2004,"April",2004-04-01,"82.5"
"105","Orissa","Nawapara",2004,"April",2004-04-01,"91"
"106","Orissa","Nawarangpur",2004,"April",2004-04-01,"N.A."
"107","Orissa","Nayagarh",2004,"April",2004-04-01,"65.2"
"108","Orissa","Puri",2004,"April",2004-04-01,"81"
"109","Orissa","Rayagada",2004,"April",2004-04-01,"115.1"
"110","Orissa","Sambalpur",2004,"April",2004-04-01,"56.1"
"111","Orissa","Sonepur",2004,"April",2004-04-01,"0"
"112","Orissa","Sundargarh",2004,"April",2004-04-01,"46.4"
"113","Orissa","Angul",2004,"May",2004-05-01,"59.9"
"114","Orissa","Balasore",2004,"May",2004-05-01,"76.6"
"115","Orissa","Bodhgarh",2004,"May",2004-05-01,"50.8"
"116","Orissa","Bolangir",2004,"May",2004-05-01,"18.6"
"117","Orissa","Cuttack",2004,"May",2004-05-01,"40"
"118","Orissa","Deogarh",2004,"May",2004-05-01,"23"
"119","Orissa","Dhenkanal",2004,"May",2004-05-01,"40.2"
"120","Orissa","Gajapati",2004,"May",2004-05-01,"51.2"
"121","Orissa","Ganjam",2004,"May",2004-05-01,"19.2"
"122","Orissa","Jagatsinghpur",2004,"May",2004-05-01,"51.2"
"123","Orissa","Jajpur",2004,"May",2004-05-01,"47.8"
"124","Orissa","Jharsuguda",2004,"May",2004-05-01,"8.9"
"125","Orissa","Kalahandi",2004,"May",2004-05-01,"16.1"
"126","Orissa","Kandhamal",2004,"May",2004-05-01,"19.7"
"127","Orissa","Kendrapara",2004,"May",2004-05-01,"N.A."
"128","Orissa","Keonjhargarh",2004,"May",2004-05-01,"39.1"
"129","Orissa","Khurda",2004,"May",2004-05-01,"46.7"
"130","Orissa","Koraput",2004,"May",2004-05-01,"83.8"
"131","Orissa","Malkangiri",2004,"May",2004-05-01,"36"
"132","Orissa","Mayurbhanj",2004,"May",2004-05-01,"66.8"
"133","Orissa","Nawapara",2004,"May",2004-05-01,"15.7"
"134","Orissa","Nawarangpur",2004,"May",2004-05-01,"N.A."
"135","Orissa","Nayagarh",2004,"May",2004-05-01,"35.8"
"136","Orissa","Puri",2004,"May",2004-05-01,"29.4"
"137","Orissa","Rayagada",2004,"May",2004-05-01,"41.8"
"138","Orissa","Sambalpur",2004,"May",2004-05-01,"6.3"
"139","Orissa","Sonepur",2004,"May",2004-05-01,"18"
"140","Orissa","Sundargarh",2004,"May",2004-05-01,"38.1"
"141","Orissa","Angul",2004,"June",2004-06-01,"131.9"
"142","Orissa","Balasore",2004,"June",2004-06-01,"316.3"
"143","Orissa","Bodhgarh",2004,"June",2004-06-01,"241.4"
"144","Orissa","Bolangir",2004,"June",2004-06-01,"253.1"
"145","Orissa","Cuttack",2004,"June",2004-06-01,"153.3"
"146","Orissa","Deogarh",2004,"June",2004-06-01,"77.9"
"147","Orissa","Dhenkanal",2004,"June",2004-06-01,"159.2"
"148","Orissa","Gajapati",2004,"June",2004-06-01,"151.9"
"149","Orissa","Ganjam",2004,"June",2004-06-01,"86.8"
"150","Orissa","Jagatsinghpur",2004,"June",2004-06-01,"92.1"
"151","Orissa","Jajpur",2004,"June",2004-06-01,"177.1"
