"Sr.No","State","District","Year","Month","Date","Value"
"1","Pondicherry","Pondicherry",2004,"January",2004-01-01,29.8
"2","Pondicherry","Pondicherry",2004,"February",2004-02-01,0
"3","Pondicherry","Pondicherry",2004,"March",2004-03-01,0.5
"4","Pondicherry","Pondicherry",2004,"April",2004-04-01,0.1
"5","Pondicherry","Pondicherry",2004,"May",2004-05-01,370.2
"6","Pondicherry","Pondicherry",2004,"June",2004-06-01,19.3
"7","Pondicherry","Pondicherry",2004,"July",2004-07-01,30.1
"8","Pondicherry","Pondicherry",2004,"August",2004-08-01,120
"9","Pondicherry","Pondicherry",2004,"September",2004-09-01,323.7
"10","Pondicherry","Pondicherry",2004,"October",2004-10-01,505
"11","Pondicherry","Pondicherry",2004,"November",2004-11-01,399
"12","Pondicherry","Pondicherry",2004,"December",2004-12-01,41.8
"13","Pondicherry","Pondicherry",2005,"January",2005-01-01,1
"14","Pondicherry","Pondicherry",2005,"February",2005-02-01,15.8
"15","Pondicherry","Pondicherry",2005,"March",2005-03-01,11.7
"16","Pondicherry","Pondicherry",2005,"April",2005-04-01,145.6
"17","Pondicherry","Pondicherry",2005,"May",2005-05-01,39.4
"18","Pondicherry","Pondicherry",2005,"June",2005-06-01,0.8
"19","Pondicherry","Pondicherry",2005,"July",2005-07-01,19.2
"20","Pondicherry","Pondicherry",2005,"August",2005-08-01,83.6
"21","Pondicherry","Pondicherry",2005,"September",2005-09-01,163.7
"22","Pondicherry","Pondicherry",2005,"October",2005-10-01,222.5
"23","Pondicherry","Pondicherry",2005,"November",2005-11-01,897.5
"24","Pondicherry","Pondicherry",2005,"December",2005-12-01,172.6
"25","Pondicherry","Pondicherry",2006,"January",2006-01-01,23.8
"26","Pondicherry","Pondicherry",2006,"February",2006-02-01,0
"27","Pondicherry","Pondicherry",2006,"March",2006-03-01,56.7
"28","Pondicherry","Pondicherry",2006,"April",2006-04-01,4.6
"29","Pondicherry","Pondicherry",2006,"May",2006-05-01,70.7
"30","Pondicherry","Pondicherry",2006,"June",2006-06-01,59.1
"31","Pondicherry","Pondicherry",2006,"July",2006-07-01,21.6
"32","Pondicherry","Pondicherry",2006,"August",2006-08-01,56.5
"33","Pondicherry","Pondicherry",2006,"September",2006-09-01,94.7
"34","Pondicherry","Pondicherry",2006,"October",2006-10-01,426.8
"35","Pondicherry","Pondicherry",2006,"November",2006-11-01,275.2
"36","Pondicherry","Pondicherry",2006,"December",2006-12-01,127.6
"37","Pondicherry","Pondicherry",2007,"January",2007-01-01,0.1
"38","Pondicherry","Pondicherry",2007,"February",2007-02-01,33.1
"39","Pondicherry","Pondicherry",2007,"March",2007-03-01,0
"40","Pondicherry","Pondicherry",2007,"April",2007-04-01,19.7
"41","Pondicherry","Pondicherry",2007,"May",2007-05-01,4.9
"42","Pondicherry","Pondicherry",2007,"June",2007-06-01,28.3
"43","Pondicherry","Pondicherry",2007,"July",2007-07-01,119.5
"44","Pondicherry","Pondicherry",2007,"August",2007-08-01,151.5
"45","Pondicherry","Pondicherry",2007,"September",2007-09-01,59
"46","Pondicherry","Pondicherry",2007,"October",2007-10-01,432.8
"47","Pondicherry","Pondicherry",2007,"November",2007-11-01,161.3
"48","Pondicherry","Pondicherry",2007,"December",2007-12-01,344.8
"49","Pondicherry","Pondicherry",2008,"January",2008-01-01,51
"50","Pondicherry","Pondicherry",2008,"February",2008-02-01,21.5
"51","Pondicherry","Pondicherry",2008,"March",2008-03-01,225.3
"52","Pondicherry","Pondicherry",2008,"April",2008-04-01,21.6
"53","Pondicherry","Pondicherry",2008,"May",2008-05-01,18.6
"54","Pondicherry","Pondicherry",2008,"June",2008-06-01,49
"55","Pondicherry","Pondicherry",2008,"July",2008-07-01,8.3
"56","Pondicherry","Pondicherry",2008,"August",2008-08-01,60.3
"57","Pondicherry","Pondicherry",2008,"September",2008-09-01,38.8
"58","Pondicherry","Pondicherry",2008,"October",2008-10-01,332.3
"59","Pondicherry","Pondicherry",2008,"November",2008-11-01,704.5
"60","Pondicherry","Pondicherry",2008,"December",2008-12-01,128.5
"61","Pondicherry","Pondicherry",2009,"January",2009-01-01,33.7
"62","Pondicherry","Pondicherry",2009,"February",2009-02-01,0
"63","Pondicherry","Pondicherry",2009,"March",2009-03-01,105.4
"64","Pondicherry","Pondicherry",2009,"April",2009-04-01,49.9
"65","Pondicherry","Pondicherry",2009,"May",2009-05-01,36.5
"66","Pondicherry","Pondicherry",2009,"June",2009-06-01,5.5
"67","Pondicherry","Pondicherry",2009,"July",2009-07-01,37.1
"68","Pondicherry","Pondicherry",2009,"August",2009-08-01,87
"69","Pondicherry","Pondicherry",2009,"September",2009-09-01,50.7
"70","Pondicherry","Pondicherry",2009,"October",2009-10-01,76.2
"71","Pondicherry","Pondicherry",2009,"November",2009-11-01,712.4
"72","Pondicherry","Pondicherry",2009,"December",2009-12-01,389.5
"73","Pondicherry","Pondicherry",2010,"January",2010-01-01,46.7
"74","Pondicherry","Pondicherry",2010,"February",2010-02-01,0
"75","Pondicherry","Pondicherry",2010,"March",2010-03-01,0
"76","Pondicherry","Pondicherry",2010,"April",2010-04-01,0
"77","Pondicherry","Pondicherry",2010,"May",2010-05-01,114.7
"78","Pondicherry","Pondicherry",2010,"June",2010-06-01,237.3
"79","Pondicherry","Pondicherry",2010,"July",2010-07-01,32.7
"80","Pondicherry","Pondicherry",2010,"August",2010-08-01,158.8
"81","Pondicherry","Pondicherry",2010,"September",2010-09-01,182.7
"82","Pondicherry","Pondicherry",2010,"October",2010-10-01,243.1
"83","Pondicherry","Pondicherry",2010,"November",2010-11-01,498.4
"84","Pondicherry","Pondicherry",2010,"December",2010-12-01,203.4
