"Sr.No","State","District","Year","Month","Date","Value"
"1","Punjab","Amritsar",2004,"January",2004-01-01,"37.9"
"2","Punjab"," Bhatinda",2004,"January",2004-01-01,"28.1"
"3","Punjab"," Faridkot",2004,"January",2004-01-01,"32.8"
"4","Punjab"," Fatehgarh Sahib",2004,"January",2004-01-01,"28"
"5","Punjab"," Ferozpur",2004,"January",2004-01-01,"30"
"6","Punjab"," Gurdaspur",2004,"January",2004-01-01,"118.3"
"7","Punjab"," Hoshiarpur",2004,"January",2004-01-01,"71.9"
"8","Punjab"," Jalandhar",2004,"January",2004-01-01,"53.2"
"9","Punjab"," Kapurthala",2004,"January",2004-01-01,"20.5"
"10","Punjab"," Ludhiana",2004,"January",2004-01-01,"44.6"
"11","Punjab"," Moga",2004,"January",2004-01-01,"20.9"
"12","Punjab"," Muktsar",2004,"January",2004-01-01,"25"
"13","Punjab"," Nawanshahar",2004,"January",2004-01-01,"76"
"14","Punjab"," Patiala",2004,"January",2004-01-01,"47.5"
"15","Punjab"," Ropar",2004,"January",2004-01-01,"108.6"
"16","Punjab"," Sangrur",2004,"January",2004-01-01,"20.7"
"17","Punjab","Amritsar",2004,"February",2004-02-01,"11"
"18","Punjab"," Bhatinda",2004,"February",2004-02-01,"8.4"
"19","Punjab"," Faridkot",2004,"February",2004-02-01,"10.6"
"20","Punjab"," Fatehgarh Sahib",2004,"February",2004-02-01,"0"
"21","Punjab"," Ferozpur",2004,"February",2004-02-01,"11.2"
"22","Punjab"," Gurdaspur",2004,"February",2004-02-01,"17.2"
"23","Punjab"," Hoshiarpur",2004,"February",2004-02-01,"15.4"
"24","Punjab"," Jalandhar",2004,"February",2004-02-01,"9.9"
"25","Punjab"," Kapurthala",2004,"February",2004-02-01,"5.5"
"26","Punjab"," Ludhiana",2004,"February",2004-02-01,"5.4"
"27","Punjab"," Moga",2004,"February",2004-02-01,"2.1"
"28","Punjab"," Muktsar",2004,"February",2004-02-01,"8"
"29","Punjab"," Nawanshahar",2004,"February",2004-02-01,"7.3"
"30","Punjab"," Patiala",2004,"February",2004-02-01,"1"
"31","Punjab"," Ropar",2004,"February",2004-02-01,"4.9"
"32","Punjab"," Sangrur",2004,"February",2004-02-01,"2.3"
"33","Punjab","Amritsar",2004,"March",2004-03-01,"0"
"34","Punjab"," Bhatinda",2004,"March",2004-03-01,"0"
"35","Punjab"," Faridkot",2004,"March",2004-03-01,"0"
"36","Punjab"," Fatehgarh Sahib",2004,"March",2004-03-01,"0"
"37","Punjab"," Ferozpur",2004,"March",2004-03-01,"0"
"38","Punjab"," Gurdaspur",2004,"March",2004-03-01,"0"
"39","Punjab"," Hoshiarpur",2004,"March",2004-03-01,"0"
