"Sr.No","State","District","Year","Month","Date","Value"
"1","Rajasthan","Ajmer",2004,"January",2004-01-01,2.3
"2","Rajasthan"," Alwar",2004,"January",2004-01-01,2.9
"3","Rajasthan"," Banswara",2004,"January",2004-01-01,0
"4","Rajasthan"," Baran",2004,"January",2004-01-01,0
"5","Rajasthan","Barmer",2004,"January",2004-01-01,0
"6","Rajasthan","Bharatpur",2004,"January",2004-01-01,8.2
"7","Rajasthan"," Bhilwara",2004,"January",2004-01-01,0
"8","Rajasthan"," Bikaner",2004,"January",2004-01-01,3.5
"9","Rajasthan"," Bundi",2004,"January",2004-01-01,0
"10","Rajasthan"," Chittorgarh",2004,"January",2004-01-01,0.4
"11","Rajasthan"," Churu",2004,"January",2004-01-01,3.5
"12","Rajasthan"," Dausa",2004,"January",2004-01-01,2
"13","Rajasthan"," Dholpur",2004,"January",2004-01-01,11.5
"14","Rajasthan"," Dungarpur",2004,"January",2004-01-01,0
"15","Rajasthan"," Hanumangarh",2004,"January",2004-01-01,2
"16","Rajasthan"," Jaipur",2004,"January",2004-01-01,3.3
"17","Rajasthan","Jaisalmer",2004,"January",2004-01-01,1.7
"18","Rajasthan"," Jalore",2004,"January",2004-01-01,0
"19","Rajasthan"," Jhalawar",2004,"January",2004-01-01,8.6
"20","Rajasthan"," Jhunjhunu",2004,"January",2004-01-01,1.8
"21","Rajasthan"," Jodhpur",2004,"January",2004-01-01,0
"22","Rajasthan"," Karauli",2004,"January",2004-01-01,1.8
"23","Rajasthan"," Kota",2004,"January",2004-01-01,3.9
"24","Rajasthan"," Nagaur",2004,"January",2004-01-01,9.3
"25","Rajasthan"," Pali",2004,"January",2004-01-01,0
"26","Rajasthan"," Rajsamand",2004,"January",2004-01-01,0
"27","Rajasthan"," Sawaimadhopur",2004,"January",2004-01-01,2.7
"28","Rajasthan"," Sikar",2004,"January",2004-01-01,3.4
"29","Rajasthan"," Sirohi",2004,"January",2004-01-01,0.3
"30","Rajasthan"," Sri Ganganagar",2004,"January",2004-01-01,4.6
