"Sr.No","State","District","Year","Month","Date","Value"
"1","Sikkim","Sikkim",2004,"January",2004-01-01,18.7
"2","Sikkim","Sikkim",2004,"February",2004-02-01,55.6
"3","Sikkim","Sikkim",2004,"March",2004-03-01,105.7
"4","Sikkim","Sikkim",2004,"April",2004-04-01,454.7
"5","Sikkim","Sikkim",2004,"May",2004-05-01,440.8
"6","Sikkim","Sikkim",2004,"June",2004-06-01,410
"7","Sikkim","Sikkim",2004,"July",2004-07-01,443.6
"8","Sikkim","Sikkim",2004,"August",2004-08-01,379.3
"9","Sikkim","Sikkim",2004,"September",2004-09-01,326.7
"10","Sikkim","Sikkim",2004,"October",2004-10-01,116.7
"11","Sikkim","Sikkim",2004,"November",2004-11-01,16.7
"12","Sikkim","Sikkim",2004,"December",2004-12-01,10.5
"13","Sikkim","Sikkim",2005,"January",2005-01-01,24.4
"14","Sikkim","Sikkim",2005,"February",2005-02-01,76.7
"15","Sikkim","Sikkim",2005,"March",2005-03-01,134.3
"16","Sikkim","Sikkim",2005,"April",2005-04-01,238.6
"17","Sikkim","Sikkim",2005,"May",2005-05-01,407.9
"18","Sikkim","Sikkim",2005,"June",2005-06-01,548.2
"19","Sikkim","Sikkim",2005,"July",2005-07-01,630
"20","Sikkim","Sikkim",2005,"August",2005-08-01,442.6
"21","Sikkim","Sikkim",2005,"September",2005-09-01,354.5
"22","Sikkim","Sikkim",2005,"October",2005-10-01,120.1
"23","Sikkim","Sikkim",2005,"November",2005-11-01,11.8
"24","Sikkim","Sikkim",2005,"December",2005-12-01,1.5
"25","Sikkim","Sikkim",2006,"January",2006-01-01,0.8
"26","Sikkim","Sikkim",2006,"February",2006-02-01,24.9
"27","Sikkim","Sikkim",2006,"March",2006-03-01,90.1
"28","Sikkim","Sikkim",2006,"April",2006-04-01,189.1
"29","Sikkim","Sikkim",2006,"May",2006-05-01,418.8
"30","Sikkim","Sikkim",2006,"June",2006-06-01,461.9
"31","Sikkim","Sikkim",2006,"July",2006-07-01,468.2
"32","Sikkim","Sikkim",2006,"August",2006-08-01,466.1
"33","Sikkim","Sikkim",2006,"September",2006-09-01,401.7
"34","Sikkim","Sikkim",2006,"October",2006-10-01,98.8
"35","Sikkim","Sikkim",2006,"November",2006-11-01,35.1
"36","Sikkim","Sikkim",2006,"December",2006-12-01,11.2
"37","Sikkim","Sikkim",2007,"January",2007-01-01,2.1
"38","Sikkim","Sikkim",2007,"February",2007-02-01,176.5
"39","Sikkim","Sikkim",2007,"March",2007-03-01,67.4
"40","Sikkim","Sikkim",2007,"April",2007-04-01,211
"41","Sikkim","Sikkim",2007,"May",2007-05-01,281.4
"42","Sikkim","Sikkim",2007,"June",2007-06-01,455.4
"43","Sikkim","Sikkim",2007,"July",2007-07-01,656.3
"44","Sikkim","Sikkim",2007,"August",2007-08-01,377.2
"45","Sikkim","Sikkim",2007,"September",2007-09-01,476
"46","Sikkim","Sikkim",2007,"October",2007-10-01,98.9
"47","Sikkim","Sikkim",2007,"November",2007-11-01,23.4
"48","Sikkim","Sikkim",2007,"December",2007-12-01,5
"49","Sikkim","Sikkim",2008,"January",2008-01-01,26.5
"50","Sikkim","Sikkim",2008,"February",2008-02-01,20.2
"51","Sikkim","Sikkim",2008,"March",2008-03-01,136.2
"52","Sikkim","Sikkim",2008,"April",2008-04-01,291.1
"53","Sikkim","Sikkim",2008,"May",2008-05-01,177.4
"54","Sikkim","Sikkim",2008,"June",2008-06-01,611.5
"55","Sikkim","Sikkim",2008,"July",2008-07-01,529
"56","Sikkim","Sikkim",2008,"August",2008-08-01,541.5
"57","Sikkim","Sikkim",2008,"September",2008-09-01,348.9
"58","Sikkim","Sikkim",2008,"October",2008-10-01,79.1
"59","Sikkim","Sikkim",2008,"November",2008-11-01,21
"60","Sikkim","Sikkim",2008,"December",2008-12-01,17.1
"61","Sikkim","Sikkim",2009,"January",2009-01-01,5.7
"62","Sikkim","Sikkim",2009,"February",2009-02-01,4.2
"63","Sikkim","Sikkim",2009,"March",2009-03-01,87.3
"64","Sikkim","Sikkim",2009,"April",2009-04-01,251.7
"65","Sikkim","Sikkim",2009,"May",2009-05-01,335.4
"66","Sikkim","Sikkim",2009,"June",2009-06-01,355.4
"67","Sikkim","Sikkim",2009,"July",2009-07-01,408.6
"68","Sikkim","Sikkim",2009,"August",2009-08-01,454.1
"69","Sikkim","Sikkim",2009,"September",2009-09-01,180.1
"70","Sikkim","Sikkim",2009,"October",2009-10-01,201.6
"71","Sikkim","Sikkim",2009,"November",2009-11-01,1.7
"72","Sikkim","Sikkim",2009,"December",2009-12-01,5.4
"73","Sikkim","Sikkim",2010,"January",2010-01-01,5.7
"74","Sikkim","Sikkim",2010,"February",2010-02-01,18
"75","Sikkim","Sikkim",2010,"March",2010-03-01,186.7
"76","Sikkim","Sikkim",2010,"April",2010-04-01,359.4
"77","Sikkim","Sikkim",2010,"May",2010-05-01,272.7
"78","Sikkim","Sikkim",2010,"June",2010-06-01,504.6
"79","Sikkim","Sikkim",2010,"July",2010-07-01,601
"80","Sikkim","Sikkim",2010,"August",2010-08-01,493.8
"81","Sikkim","Sikkim",2010,"September",2010-09-01,375.8
"82","Sikkim","Sikkim",2010,"October",2010-10-01,95.6
"83","Sikkim","Sikkim",2010,"November",2010-11-01,23.6
"84","Sikkim","Sikkim",2010,"December",2010-12-01,0.1
