"Sr.No","State","District","Year","Month","Date","Value"
"1","Tamil Nadu","Chennai",2004,"January",2004-01-01,"37.7"
"2","Tamil Nadu"," Coimbatore",2004,"January",2004-01-01,"16.4"
"3","Tamil Nadu"," Cuddalore",2004,"January",2004-01-01,"21.6"
"4","Tamil Nadu"," Dharmapuri",2004,"January",2004-01-01,"0"
"5","Tamil Nadu"," Dindigul",2004,"January",2004-01-01,"0"
"6","Tamil Nadu"," Erode",2004,"January",2004-01-01,"0.4"
"7","Tamil Nadu"," Kanchipuram",2004,"January",2004-01-01,"14.2"
"8","Tamil Nadu"," Kanyakumari",2004,"January",2004-01-01,"1.2"
"9","Tamil Nadu"," Karur",2004,"January",2004-01-01,"0"
"10","Tamil Nadu"," Krishnagiri",2004,"January",2004-01-01,"N.A."
"11","Tamil Nadu","Madurai",2004,"January",2004-01-01,"6.9"
"12","Tamil Nadu"," Nagapatinam",2004,"January",2004-01-01,"9.5"
"13","Tamil Nadu"," Namakkal",2004,"January",2004-01-01,"2.3"
"14","Tamil Nadu"," Nilgiri",2004,"January",2004-01-01,"32.9"
"15","Tamil Nadu"," Perambulur",2004,"January",2004-01-01,"1.7"
"16","Tamil Nadu"," Pudukottai",2004,"January",2004-01-01,"0"
"17","Tamil Nadu"," Ramanathapuram",2004,"January",2004-01-01,"0.3"
"18","Tamil Nadu"," Salem",2004,"January",2004-01-01,"0"
"19","Tamil Nadu"," Sivaganga",2004,"January",2004-01-01,"0"
"20","Tamil Nadu"," Thanjavur",2004,"January",2004-01-01,"3.9"
"21","Tamil Nadu"," Theni",2004,"January",2004-01-01,"0"
"22","Tamil Nadu","Tirunelveli",2004,"January",2004-01-01,"34.3"
"23","Tamil Nadu","TIRUVALLUR",2004,"January",2004-01-01,"20.8"
"24","Tamil Nadu"," Tiruvannamalai",2004,"January",2004-01-01,"0"
"25","Tamil Nadu"," Tiruvarur",2004,"January",2004-01-01,"8"
"26","Tamil Nadu"," Trichy",2004,"January",2004-01-01,"1.8"
"27","Tamil Nadu"," Tuticorin",2004,"January",2004-01-01,"15.2"
"28","Tamil Nadu"," Vellore",2004,"January",2004-01-01,"1.7"
"29","Tamil Nadu"," Villupuram",2004,"January",2004-01-01,"22.5"
"30","Tamil Nadu"," Virudunagar",2004,"January",2004-01-01,"8.8"
"31","Tamil Nadu","Chennai",2004,"February",2004-02-01,"0"
"32","Tamil Nadu"," Coimbatore",2004,"February",2004-02-01,"0.3"
"33","Tamil Nadu"," Cuddalore",2004,"February",2004-02-01,"0"
"34","Tamil Nadu"," Dharmapuri",2004,"February",2004-02-01,"2"
"35","Tamil Nadu"," Dindigul",2004,"February",2004-02-01,"0"
"36","Tamil Nadu"," Erode",2004,"February",2004-02-01,"1.4"
"37","Tamil Nadu"," Kanchipuram",2004,"February",2004-02-01,"0"
"38","Tamil Nadu"," Kanyakumari",2004,"February",2004-02-01,"0.3"
"39","Tamil Nadu"," Karur",2004,"February",2004-02-01,"0"
"40","Tamil Nadu"," Krishnagiri",2004,"February",2004-02-01,"N.A."
"41","Tamil Nadu","Madurai",2004,"February",2004-02-01,"0"
"42","Tamil Nadu"," Nagapatinam",2004,"February",2004-02-01,"4.7"
"43","Tamil Nadu"," Namakkal",2004,"February",2004-02-01,"0"
"44","Tamil Nadu"," Nilgiri",2004,"February",2004-02-01,"16.3"
"45","Tamil Nadu"," Perambulur",2004,"February",2004-02-01,"0"
"46","Tamil Nadu"," Pudukottai",2004,"February",2004-02-01,"0"
"47","Tamil Nadu"," Ramanathapuram",2004,"February",2004-02-01,"12.1"
"48","Tamil Nadu"," Salem",2004,"February",2004-02-01,"0"
"49","Tamil Nadu"," Sivaganga",2004,"February",2004-02-01,"0"
"50","Tamil Nadu"," Thanjavur",2004,"February",2004-02-01,"0.1"
"51","Tamil Nadu"," Theni",2004,"February",2004-02-01,"0"
"52","Tamil Nadu","Tirunelveli",2004,"February",2004-02-01,"16.3"
"53","Tamil Nadu","TIRUVALLUR",2004,"February",2004-02-01,"0"
"54","Tamil Nadu"," Tiruvannamalai",2004,"February",2004-02-01,"0"
"55","Tamil Nadu"," Tiruvarur",2004,"February",2004-02-01,"0"
"56","Tamil Nadu"," Trichy",2004,"February",2004-02-01,"0"
"57","Tamil Nadu"," Tuticorin",2004,"February",2004-02-01,"26.5"
"58","Tamil Nadu"," Vellore",2004,"February",2004-02-01,"0"
"59","Tamil Nadu"," Villupuram",2004,"February",2004-02-01,"0"
"60","Tamil Nadu"," Virudunagar",2004,"February",2004-02-01,"6"
"61","Tamil Nadu","Chennai",2004,"March",2004-03-01,"2.6"
"62","Tamil Nadu"," Coimbatore",2004,"March",2004-03-01,"3.7"
"63","Tamil Nadu"," Cuddalore",2004,"March",2004-03-01,"7.5"
"64","Tamil Nadu"," Dharmapuri",2004,"March",2004-03-01,"3.7"
"65","Tamil Nadu"," Dindigul",2004,"March",2004-03-01,"2.6"
"66","Tamil Nadu"," Erode",2004,"March",2004-03-01,"4.4"
"67","Tamil Nadu"," Kanchipuram",2004,"March",2004-03-01,"7.7"
"68","Tamil Nadu"," Kanyakumari",2004,"March",2004-03-01,"6.9"
"69","Tamil Nadu"," Karur",2004,"March",2004-03-01,"0"
"70","Tamil Nadu"," Krishnagiri",2004,"March",2004-03-01,"N.A."
"71","Tamil Nadu","Madurai",2004,"March",2004-03-01,"20.2"
"72","Tamil Nadu"," Nagapatinam",2004,"March",2004-03-01,"10.3"
"73","Tamil Nadu"," Namakkal",2004,"March",2004-03-01,"0"
"74","Tamil Nadu"," Nilgiri",2004,"March",2004-03-01,"3.6"
"75","Tamil Nadu"," Perambulur",2004,"March",2004-03-01,"0"
"76","Tamil Nadu"," Pudukottai",2004,"March",2004-03-01,"7.7"
"77","Tamil Nadu"," Ramanathapuram",2004,"March",2004-03-01,"3.2"
"78","Tamil Nadu"," Salem",2004,"March",2004-03-01,"0"
"79","Tamil Nadu"," Sivaganga",2004,"March",2004-03-01,"6.3"
"80","Tamil Nadu"," Thanjavur",2004,"March",2004-03-01,"2.1"
"81","Tamil Nadu"," Theni",2004,"March",2004-03-01,"28.2"
"82","Tamil Nadu","Tirunelveli",2004,"March",2004-03-01,"6.1"
"83","Tamil Nadu","TIRUVALLUR",2004,"March",2004-03-01,"0"
"84","Tamil Nadu"," Tiruvannamalai",2004,"March",2004-03-01,"0"
"85","Tamil Nadu"," Tiruvarur",2004,"March",2004-03-01,"2"
"86","Tamil Nadu"," Trichy",2004,"March",2004-03-01,"0"
"87","Tamil Nadu"," Tuticorin",2004,"March",2004-03-01,"5.5"
"88","Tamil Nadu"," Vellore",2004,"March",2004-03-01,"0.8"
"89","Tamil Nadu"," Villupuram",2004,"March",2004-03-01,"0"
"90","Tamil Nadu"," Virudunagar",2004,"March",2004-03-01,"8"
"91","Tamil Nadu","Chennai",2004,"April",2004-04-01,"10.6"
"92","Tamil Nadu"," Coimbatore",2004,"April",2004-04-01,"57.9"
"93","Tamil Nadu"," Cuddalore",2004,"April",2004-04-01,"0.4"
"94","Tamil Nadu"," Dharmapuri",2004,"April",2004-04-01,"81.9"
"95","Tamil Nadu"," Dindigul",2004,"April",2004-04-01,"68.5"
"96","Tamil Nadu"," Erode",2004,"April",2004-04-01,"46.6"
"97","Tamil Nadu"," Kanchipuram",2004,"April",2004-04-01,"16.4"
"98","Tamil Nadu"," Kanyakumari",2004,"April",2004-04-01,"80"
"99","Tamil Nadu"," Karur",2004,"April",2004-04-01,"34.8"
"100","Tamil Nadu"," Krishnagiri",2004,"April",2004-04-01,"N.A."
"101","Tamil Nadu","Madurai",2004,"April",2004-04-01,"38.4"
"102","Tamil Nadu"," Nagapatinam",2004,"April",2004-04-01,"0"
"103","Tamil Nadu"," Namakkal",2004,"April",2004-04-01,"55.5"
"104","Tamil Nadu"," Nilgiri",2004,"April",2004-04-01,"65.9"
"105","Tamil Nadu"," Perambulur",2004,"April",2004-04-01,"0"
"106","Tamil Nadu"," Pudukottai",2004,"April",2004-04-01,"0"
"107","Tamil Nadu"," Ramanathapuram",2004,"April",2004-04-01,"20.5"
"108","Tamil Nadu"," Salem",2004,"April",2004-04-01,"46"
"109","Tamil Nadu"," Sivaganga",2004,"April",2004-04-01,"30.6"
"110","Tamil Nadu"," Thanjavur",2004,"April",2004-04-01,"8.7"
"111","Tamil Nadu"," Theni",2004,"April",2004-04-01,"30.2"
"112","Tamil Nadu","Tirunelveli",2004,"April",2004-04-01,"90.4"
"113","Tamil Nadu","TIRUVALLUR",2004,"April",2004-04-01,"17.4"
"114","Tamil Nadu"," Tiruvannamalai",2004,"April",2004-04-01,"56.5"
"115","Tamil Nadu"," Tiruvarur",2004,"April",2004-04-01,"0"
"116","Tamil Nadu"," Trichy",2004,"April",2004-04-01,"7.1"
"117","Tamil Nadu"," Tuticorin",2004,"April",2004-04-01,"24.7"
"118","Tamil Nadu"," Vellore",2004,"April",2004-04-01,"22.5"
"119","Tamil Nadu"," Villupuram",2004,"April",2004-04-01,"27"
"120","Tamil Nadu"," Virudunagar",2004,"April",2004-04-01,"59.1"
"121","Tamil Nadu","Chennai",2004,"May",2004-05-01,"232.7"
"122","Tamil Nadu"," Coimbatore",2004,"May",2004-05-01,"140.4"
"123","Tamil Nadu"," Cuddalore",2004,"May",2004-05-01,"250.1"
"124","Tamil Nadu"," Dharmapuri",2004,"May",2004-05-01,"315.9"
"125","Tamil Nadu"," Dindigul",2004,"May",2004-05-01,"168.3"
"126","Tamil Nadu"," Erode",2004,"May",2004-05-01,"275.7"
"127","Tamil Nadu"," Kanchipuram",2004,"May",2004-05-01,"222.1"
"128","Tamil Nadu"," Kanyakumari",2004,"May",2004-05-01,"238.2"
"129","Tamil Nadu"," Karur",2004,"May",2004-05-01,"194.8"
"130","Tamil Nadu"," Krishnagiri",2004,"May",2004-05-01,"N.A."
"131","Tamil Nadu","Madurai",2004,"May",2004-05-01,"156.7"
"132","Tamil Nadu"," Nagapatinam",2004,"May",2004-05-01,"337.4"
"133","Tamil Nadu"," Namakkal",2004,"May",2004-05-01,"223.2"
"134","Tamil Nadu"," Nilgiri",2004,"May",2004-05-01,"358.2"
"135","Tamil Nadu"," Perambulur",2004,"May",2004-05-01,"376.8"
"136","Tamil Nadu"," Pudukottai",2004,"May",2004-05-01,"283.2"
"137","Tamil Nadu"," Ramanathapuram",2004,"May",2004-05-01,"140.3"
"138","Tamil Nadu"," Salem",2004,"May",2004-05-01,"344.4"
"139","Tamil Nadu"," Sivaganga",2004,"May",2004-05-01,"156.8"
"140","Tamil Nadu"," Thanjavur",2004,"May",2004-05-01,"301.1"
"141","Tamil Nadu"," Theni",2004,"May",2004-05-01,"34"
"142","Tamil Nadu","Tirunelveli",2004,"May",2004-05-01,"129"
"143","Tamil Nadu","TIRUVALLUR",2004,"May",2004-05-01,"218.9"
"144","Tamil Nadu"," Tiruvannamalai",2004,"May",2004-05-01,"455.7"
"145","Tamil Nadu"," Tiruvarur",2004,"May",2004-05-01,"398.4"
"146","Tamil Nadu"," Trichy",2004,"May",2004-05-01,"272"
"147","Tamil Nadu"," Tuticorin",2004,"May",2004-05-01,"69.7"
"148","Tamil Nadu"," Vellore",2004,"May",2004-05-01,"259.6"
"149","Tamil Nadu"," Villupuram",2004,"May",2004-05-01,"464.3"
"150","Tamil Nadu"," Virudunagar",2004,"May",2004-05-01,"49.4"
"151","Tamil Nadu","Chennai",2004,"June",2004-06-01,"54.6"
"152","Tamil Nadu"," Coimbatore",2004,"June",2004-06-01,"29"
"153","Tamil Nadu"," Cuddalore",2004,"June",2004-06-01,"59.1"
"154","Tamil Nadu"," Dharmapuri",2004,"June",2004-06-01,"35.4"
"155","Tamil Nadu"," Dindigul",2004,"June",2004-06-01,"36.9"
"156","Tamil Nadu"," Erode",2004,"June",2004-06-01,"15.5"
"157","Tamil Nadu"," Kanchipuram",2004,"June",2004-06-01,"41.8"
"158","Tamil Nadu"," Kanyakumari",2004,"June",2004-06-01,"162.4"
"159","Tamil Nadu"," Karur",2004,"June",2004-06-01,"0"
"160","Tamil Nadu"," Krishnagiri",2004,"June",2004-06-01,"N.A."
"161","Tamil Nadu","Madurai",2004,"June",2004-06-01,"36.8"
"162","Tamil Nadu"," Nagapatinam",2004,"June",2004-06-01,"1.7"
"163","Tamil Nadu"," Namakkal",2004,"June",2004-06-01,"5.9"
"164","Tamil Nadu"," Nilgiri",2004,"June",2004-06-01,"341.9"
"165","Tamil Nadu"," Perambulur",2004,"June",2004-06-01,"21.3"
"166","Tamil Nadu"," Pudukottai",2004,"June",2004-06-01,"55.9"
"167","Tamil Nadu"," Ramanathapuram",2004,"June",2004-06-01,"6.3"
"168","Tamil Nadu"," Salem",2004,"June",2004-06-01,"35.3"
"169","Tamil Nadu"," Sivaganga",2004,"June",2004-06-01,"22.1"
"170","Tamil Nadu"," Thanjavur",2004,"June",2004-06-01,"16.1"
"171","Tamil Nadu"," Theni",2004,"June",2004-06-01,"26.2"
"172","Tamil Nadu","Tirunelveli",2004,"June",2004-06-01,"51.1"
"173","Tamil Nadu","TIRUVALLUR",2004,"June",2004-06-01,"43.8"
"174","Tamil Nadu"," Tiruvannamalai",2004,"June",2004-06-01,"44.3"
"175","Tamil Nadu"," Tiruvarur",2004,"June",2004-06-01,"9.9"
"176","Tamil Nadu"," Trichy",2004,"June",2004-06-01,"29.8"
"177","Tamil Nadu"," Tuticorin",2004,"June",2004-06-01,"2"
"178","Tamil Nadu"," Vellore",2004,"June",2004-06-01,"40.7"
"179","Tamil Nadu"," Villupuram",2004,"June",2004-06-01,"56"
"180","Tamil Nadu"," Virudunagar",2004,"June",2004-06-01,"14.2"
"181","Tamil Nadu","Chennai",2004,"July",2004-07-01,"51"
"182","Tamil Nadu"," Coimbatore",2004,"July",2004-07-01,"42.8"
"183","Tamil Nadu"," Cuddalore",2004,"July",2004-07-01,"27.6"
"184","Tamil Nadu"," Dharmapuri",2004,"July",2004-07-01,"131"
"185","Tamil Nadu"," Dindigul",2004,"July",2004-07-01,"61.5"
"186","Tamil Nadu"," Erode",2004,"July",2004-07-01,"61.6"
"187","Tamil Nadu"," Kanchipuram",2004,"July",2004-07-01,"29.2"
"188","Tamil Nadu"," Kanyakumari",2004,"July",2004-07-01,"50.5"
"189","Tamil Nadu"," Karur",2004,"July",2004-07-01,"92"
"190","Tamil Nadu"," Krishnagiri",2004,"July",2004-07-01,"N.A."
"191","Tamil Nadu","Madurai",2004,"July",2004-07-01,"60.1"
"192","Tamil Nadu"," Nagapatinam",2004,"July",2004-07-01,"38.1"
"193","Tamil Nadu"," Namakkal",2004,"July",2004-07-01,"48.1"
"194","Tamil Nadu"," Nilgiri",2004,"July",2004-07-01,"109.5"
"195","Tamil Nadu"," Perambulur",2004,"July",2004-07-01,"53.8"
"196","Tamil Nadu"," Pudukottai",2004,"July",2004-07-01,"75.9"
"197","Tamil Nadu"," Ramanathapuram",2004,"July",2004-07-01,"37.4"
"198","Tamil Nadu"," Salem",2004,"July",2004-07-01,"107.4"
"199","Tamil Nadu"," Sivaganga",2004,"July",2004-07-01,"50.4"
"200","Tamil Nadu"," Thanjavur",2004,"July",2004-07-01,"46.4"
"201","Tamil Nadu"," Theni",2004,"July",2004-07-01,"17.5"
"202","Tamil Nadu","Tirunelveli",2004,"July",2004-07-01,"10"
"203","Tamil Nadu","TIRUVALLUR",2004,"July",2004-07-01,"51.4"
"204","Tamil Nadu"," Tiruvannamalai",2004,"July",2004-07-01,"166.2"
"205","Tamil Nadu"," Tiruvarur",2004,"July",2004-07-01,"4.1"
"206","Tamil Nadu"," Trichy",2004,"July",2004-07-01,"88.3"
"207","Tamil Nadu"," Tuticorin",2004,"July",2004-07-01,"5.3"
"208","Tamil Nadu"," Vellore",2004,"July",2004-07-01,"118.7"
"209","Tamil Nadu"," Villupuram",2004,"July",2004-07-01,"98.8"
"210","Tamil Nadu"," Virudunagar",2004,"July",2004-07-01,"40.3"
"211","Tamil Nadu","Chennai",2004,"August",2004-08-01,"49.7"
"212","Tamil Nadu"," Coimbatore",2004,"August",2004-08-01,"34.8"
"213","Tamil Nadu"," Cuddalore",2004,"August",2004-08-01,"75.1"
"214","Tamil Nadu"," Dharmapuri",2004,"August",2004-08-01,"18"
"215","Tamil Nadu"," Dindigul",2004,"August",2004-08-01,"9"
"216","Tamil Nadu"," Erode",2004,"August",2004-08-01,"18"
