"Sr.No","State","District","Year","Month","Date","Value"
"1","Tripura","North Tripura",2004,"January",2004-01-01,"1.1"
"2","Tripura","South Tripura",2004,"January",2004-01-01,"0"
"3","Tripura","West Tripura",2004,"January",2004-01-01,"4"
"4","Tripura","North Tripura",2004,"February",2004-02-01,"0.8"
"5","Tripura","South Tripura",2004,"February",2004-02-01,"1.1"
"6","Tripura","West Tripura",2004,"February",2004-02-01,"5.8"
"7","Tripura","North Tripura",2004,"March",2004-03-01,"3.1"
"8","Tripura","South Tripura",2004,"March",2004-03-01,"1.9"
"9","Tripura","West Tripura",2004,"March",2004-03-01,"8.5"
"10","Tripura","North Tripura",2004,"April",2004-04-01,"694.5"
"11","Tripura","South Tripura",2004,"April",2004-04-01,"404.4"
"12","Tripura","West Tripura",2004,"April",2004-04-01,"183.6"
"13","Tripura","North Tripura",2004,"May",2004-05-01,"305.1"
"14","Tripura","South Tripura",2004,"May",2004-05-01,"249.3"
"15","Tripura","West Tripura",2004,"May",2004-05-01,"171.4"
"16","Tripura","North Tripura",2004,"June",2004-06-01,"385.8"
"17","Tripura","South Tripura",2004,"June",2004-06-01,"591.8"
"18","Tripura","West Tripura",2004,"June",2004-06-01,"693.8"
"19","Tripura","North Tripura",2004,"July",2004-07-01,"767.1"
"20","Tripura","South Tripura",2004,"July",2004-07-01,"396"
"21","Tripura","West Tripura",2004,"July",2004-07-01,"397.8"
"22","Tripura","North Tripura",2004,"August",2004-08-01,"298.9"
"23","Tripura","South Tripura",2004,"August",2004-08-01,"182.9"
"24","Tripura","West Tripura",2004,"August",2004-08-01,"182.7"
"25","Tripura","North Tripura",2004,"September",2004-09-01,"409.4"
"26","Tripura","South Tripura",2004,"September",2004-09-01,"545"
"27","Tripura","West Tripura",2004,"September",2004-09-01,"520.6"
"28","Tripura","North Tripura",2004,"October",2004-10-01,"67.3"
"29","Tripura","South Tripura",2004,"October",2004-10-01,"263.3"
"30","Tripura","West Tripura",2004,"October",2004-10-01,"150.7"
"31","Tripura","North Tripura",2004,"November",2004-11-01,"0"
"32","Tripura","South Tripura",2004,"November",2004-11-01,"0"
"33","Tripura","West Tripura",2004,"November",2004-11-01,"0"
"34","Tripura","North Tripura",2004,"December",2004-12-01,"0.2"
"35","Tripura","South Tripura",2004,"December",2004-12-01,"0"
"36","Tripura","West Tripura",2004,"December",2004-12-01,"0"
"37","Tripura","North Tripura",2005,"January",2005-01-01,"0"
"38","Tripura","South Tripura",2005,"January",2005-01-01,"N.A."
"39","Tripura","West Tripura",2005,"January",2005-01-01,"N.A."
"40","Tripura","North Tripura",2005,"February",2005-02-01,"120.7"
"41","Tripura","South Tripura",2005,"February",2005-02-01,"0"
"42","Tripura","West Tripura",2005,"February",2005-02-01,"5.8"
"43","Tripura","North Tripura",2005,"March",2005-03-01,"283.7"
"44","Tripura","South Tripura",2005,"March",2005-03-01,"198"
"45","Tripura","West Tripura",2005,"March",2005-03-01,"199.4"
"46","Tripura","North Tripura",2005,"April",2005-04-01,"195.4"
"47","Tripura","South Tripura",2005,"April",2005-04-01,"153.3"
"48","Tripura","West Tripura",2005,"April",2005-04-01,"99.8"
"49","Tripura","North Tripura",2005,"May",2005-05-01,"717"
"50","Tripura","South Tripura",2005,"May",2005-05-01,"272.4"
"51","Tripura","West Tripura",2005,"May",2005-05-01,"317.1"
"52","Tripura","North Tripura",2005,"June",2005-06-01,"223"
"53","Tripura","South Tripura",2005,"June",2005-06-01,"187.8"
"54","Tripura","West Tripura",2005,"June",2005-06-01,"166.5"
"55","Tripura","North Tripura",2005,"July",2005-07-01,"537"
"56","Tripura","South Tripura",2005,"July",2005-07-01,"389.2"
"57","Tripura","West Tripura",2005,"July",2005-07-01,"317.7"
"58","Tripura","North Tripura",2005,"August",2005-08-01,"234.2"
"59","Tripura","South Tripura",2005,"August",2005-08-01,"498.1"
"60","Tripura","West Tripura",2005,"August",2005-08-01,"403.3"
"61","Tripura","North Tripura",2005,"September",2005-09-01,"250.5"
"62","Tripura","South Tripura",2005,"September",2005-09-01,"340.8"
"63","Tripura","West Tripura",2005,"September",2005-09-01,"286.8"
"64","Tripura","North Tripura",2005,"October",2005-10-01,"201.1"
"65","Tripura","South Tripura",2005,"October",2005-10-01,"165.1"
"66","Tripura","West Tripura",2005,"October",2005-10-01,"200.9"
"67","Tripura","North Tripura",2005,"November",2005-11-01,"0.8"
"68","Tripura","South Tripura",2005,"November",2005-11-01,"1.5"
"69","Tripura","West Tripura",2005,"November",2005-11-01,"0"
"70","Tripura","North Tripura",2005,"December",2005-12-01,"1.2"
"71","Tripura","South Tripura",2005,"December",2005-12-01,"1.7"
"72","Tripura","West Tripura",2005,"December",2005-12-01,"0.6"
"73","Tripura","North Tripura",2006,"January",2006-01-01,"0"
"74","Tripura","South Tripura",2006,"January",2006-01-01,"0"
"75","Tripura","West Tripura",2006,"January",2006-01-01,"0"
"76","Tripura","North Tripura",2006,"February",2006-02-01,"0"
"77","Tripura","South Tripura",2006,"February",2006-02-01,"0"
"78","Tripura","West Tripura",2006,"February",2006-02-01,"0"
"79","Tripura","North Tripura",2006,"March",2006-03-01,"4.6"
"80","Tripura","South Tripura",2006,"March",2006-03-01,"0"
"81","Tripura","West Tripura",2006,"March",2006-03-01,"0"
"82","Tripura","North Tripura",2006,"April",2006-04-01,"257.2"
"83","Tripura","South Tripura",2006,"April",2006-04-01,"87.1"
"84","Tripura","West Tripura",2006,"April",2006-04-01,"184.7"
"85","Tripura","North Tripura",2006,"May",2006-05-01,"476.7"
"86","Tripura","South Tripura",2006,"May",2006-05-01,"487.7"
"87","Tripura","West Tripura",2006,"May",2006-05-01,"574.1"
"88","Tripura","North Tripura",2006,"June",2006-06-01,"729.2"
"89","Tripura","South Tripura",2006,"June",2006-06-01,"375.9"
"90","Tripura","West Tripura",2006,"June",2006-06-01,"395.5"
"91","Tripura","North Tripura",2006,"July",2006-07-01,"254"
"92","Tripura","South Tripura",2006,"July",2006-07-01,"355.5"
"93","Tripura","West Tripura",2006,"July",2006-07-01,"158.5"
"94","Tripura","North Tripura",2006,"August",2006-08-01,"323.4"
"95","Tripura","South Tripura",2006,"August",2006-08-01,"196.9"
"96","Tripura","West Tripura",2006,"August",2006-08-01,"291.2"
"97","Tripura","North Tripura",2006,"September",2006-09-01,"160.9"
"98","Tripura","South Tripura",2006,"September",2006-09-01,"292.3"
"99","Tripura","West Tripura",2006,"September",2006-09-01,"254.9"
"100","Tripura","North Tripura",2006,"October",2006-10-01,"39.2"
"101","Tripura","South Tripura",2006,"October",2006-10-01,"12.8"
"102","Tripura","West Tripura",2006,"October",2006-10-01,"93.9"
"103","Tripura","North Tripura",2006,"November",2006-11-01,"8.8"
"104","Tripura","South Tripura",2006,"November",2006-11-01,"6.7"
"105","Tripura","West Tripura",2006,"November",2006-11-01,"2"
"106","Tripura","North Tripura",2006,"December",2006-12-01,"0.7"
"107","Tripura","South Tripura",2006,"December",2006-12-01,"0"
"108","Tripura","West Tripura",2006,"December",2006-12-01,"0"
"109","Tripura","North Tripura",2007,"January",2007-01-01,"0"
"110","Tripura","South Tripura",2007,"January",2007-01-01,"0"
"111","Tripura","West Tripura",2007,"January",2007-01-01,"0"
"112","Tripura","North Tripura",2007,"February",2007-02-01,"90.8"
"113","Tripura","South Tripura",2007,"February",2007-02-01,"70.2"
"114","Tripura","West Tripura",2007,"February",2007-02-01,"39.4"
"115","Tripura","North Tripura",2007,"March",2007-03-01,"79.6"
"116","Tripura","South Tripura",2007,"March",2007-03-01,"12.5"
"117","Tripura","West Tripura",2007,"March",2007-03-01,"20.8"
"118","Tripura","North Tripura",2007,"April",2007-04-01,"349.9"
"119","Tripura","South Tripura",2007,"April",2007-04-01,"154.3"
"120","Tripura","West Tripura",2007,"April",2007-04-01,"339.6"
"121","Tripura","North Tripura",2007,"May",2007-05-01,"325.7"
