"Sr.No","State","District","Year","Month","Date","Value"
"1","Uttar Pradesh","Agra",2004,"January",2004-01-01,"21.6"
"2","Uttar Pradesh"," Aligarh",2004,"January",2004-01-01,"9.6"
"3","Uttar Pradesh"," Allahabad",2004,"January",2004-01-01,"25.9"
"4","Uttar Pradesh"," Ambedkar Nagar",2004,"January",2004-01-01,"25.4"
"5","Uttar Pradesh"," Auraiya",2004,"January",2004-01-01,"N.A."
"6","Uttar Pradesh"," Azamgarh",2004,"January",2004-01-01,"30.2"
"7","Uttar Pradesh"," Badaun",2004,"January",2004-01-01,"65.8"
"8","Uttar Pradesh"," Baghpat",2004,"January",2004-01-01,"13"
"9","Uttar Pradesh"," Bahraich",2004,"January",2004-01-01,"49.2"
"10","Uttar Pradesh"," Ballia",2004,"January",2004-01-01,"22"
"11","Uttar Pradesh"," Balrampur",2004,"January",2004-01-01,"24.2"
"12","Uttar Pradesh"," Banda",2004,"January",2004-01-01,"5"
"13","Uttar Pradesh"," Barabanki",2004,"January",2004-01-01,"50"
"14","Uttar Pradesh"," Bareilly",2004,"January",2004-01-01,"10.1"
"15","Uttar Pradesh"," Basti",2004,"January",2004-01-01,"N.A."
"16","Uttar Pradesh"," Bijnor",2004,"January",2004-01-01,"18.5"
"17","Uttar Pradesh"," Bulandshahr",2004,"January",2004-01-01,"4"
"18","Uttar Pradesh"," Deoria",2004,"January",2004-01-01,"33.6"
"19","Uttar Pradesh"," Etah",2004,"January",2004-01-01,"10.8"
"20","Uttar Pradesh"," Etawah",2004,"January",2004-01-01,"44"
"21","Uttar Pradesh"," Faizabad",2004,"January",2004-01-01,"18.2"
"22","Uttar Pradesh"," Farrukhabad",2004,"January",2004-01-01,"35.8"
"23","Uttar Pradesh"," Fatehpur",2004,"January",2004-01-01,"14.9"
"24","Uttar Pradesh"," Firozabad",2004,"January",2004-01-01,"24.9"
"25","Uttar Pradesh"," Ghaziabad",2004,"January",2004-01-01,"7.8"
"26","Uttar Pradesh"," Ghazipur",2004,"January",2004-01-01,"10.8"
