"Sr.No","State","District","Year","Month","Date","Value"
"1","Uttarakhand","Almora",2004,"January",2004-01-01,"43.1"
"2","Uttarakhand"," Chamoli",2004,"January",2004-01-01,"11"
"3","Uttarakhand"," Champawat",2004,"January",2004-01-01,"N.A."
"4","Uttarakhand"," Dehradun",2004,"January",2004-01-01,"82.6"
"5","Uttarakhand"," Garhwal Pauri",2004,"January",2004-01-01,"80.4"
"6","Uttarakhand"," Garhwal Tehri",2004,"January",2004-01-01,"58"
"7","Uttarakhand"," Hardwar",2004,"January",2004-01-01,"N.A."
"8","Uttarakhand"," Nainital",2004,"January",2004-01-01,"28.1"
"9","Uttarakhand"," Pithoragarh",2004,"January",2004-01-01,"N.A."
"10","Uttarakhand"," Rudraprayag",2004,"January",2004-01-01,"N.A."
"11","Uttarakhand"," Udham Singh Nagar",2004,"January",2004-01-01,"14"
"12","Uttarakhand"," Uttarkashi",2004,"January",2004-01-01,"N.A."
"13","Uttarakhand","Almora",2004,"February",2004-02-01,"6.6"
"14","Uttarakhand"," Chamoli",2004,"February",2004-02-01,"0"
"15","Uttarakhand"," Champawat",2004,"February",2004-02-01,"N.A."
"16","Uttarakhand"," Dehradun",2004,"February",2004-02-01,"21.8"
"17","Uttarakhand"," Garhwal Pauri",2004,"February",2004-02-01,"0"
"18","Uttarakhand"," Garhwal Tehri",2004,"February",2004-02-01,"11.5"
"19","Uttarakhand"," Hardwar",2004,"February",2004-02-01,"N.A."
"20","Uttarakhand"," Nainital",2004,"February",2004-02-01,"4.7"
"21","Uttarakhand"," Pithoragarh",2004,"February",2004-02-01,"N.A."
"22","Uttarakhand"," Rudraprayag",2004,"February",2004-02-01,"N.A."
"23","Uttarakhand"," Udham Singh Nagar",2004,"February",2004-02-01,"0"
"24","Uttarakhand"," Uttarkashi",2004,"February",2004-02-01,"N.A."
"25","Uttarakhand","Almora",2004,"March",2004-03-01,"0"
"26","Uttarakhand"," Chamoli",2004,"March",2004-03-01,"0"
"27","Uttarakhand"," Champawat",2004,"March",2004-03-01,"N.A."
"28","Uttarakhand"," Dehradun",2004,"March",2004-03-01,"0"
"29","Uttarakhand"," Garhwal Pauri",2004,"March",2004-03-01,"0"
"30","Uttarakhand"," Garhwal Tehri",2004,"March",2004-03-01,"0"
"31","Uttarakhand"," Hardwar",2004,"March",2004-03-01,"N.A."
"32","Uttarakhand"," Nainital",2004,"March",2004-03-01,"0"
"33","Uttarakhand"," Pithoragarh",2004,"March",2004-03-01,"N.A."
"34","Uttarakhand"," Rudraprayag",2004,"March",2004-03-01,"N.A."
"35","Uttarakhand"," Udham Singh Nagar",2004,"March",2004-03-01,"0"
"36","Uttarakhand"," Uttarkashi",2004,"March",2004-03-01,"N.A."
"37","Uttarakhand","Almora",2004,"April",2004-04-01,"81.3"
"38","Uttarakhand"," Chamoli",2004,"April",2004-04-01,"0"
"39","Uttarakhand"," Champawat",2004,"April",2004-04-01,"N.A."
"40","Uttarakhand"," Dehradun",2004,"April",2004-04-01,"21.4"
"41","Uttarakhand"," Garhwal Pauri",2004,"April",2004-04-01,"68.3"
"42","Uttarakhand"," Garhwal Tehri",2004,"April",2004-04-01,"39.4"
"43","Uttarakhand"," Hardwar",2004,"April",2004-04-01,"0"
"44","Uttarakhand"," Nainital",2004,"April",2004-04-01,"27.5"
"45","Uttarakhand"," Pithoragarh",2004,"April",2004-04-01,"12.8"
"46","Uttarakhand"," Rudraprayag",2004,"April",2004-04-01,"N.A."
"47","Uttarakhand"," Udham Singh Nagar",2004,"April",2004-04-01,"33"
"48","Uttarakhand"," Uttarkashi",2004,"April",2004-04-01,"N.A."
"49","Uttarakhand","Almora",2004,"May",2004-05-01,"68.6"
"50","Uttarakhand"," Chamoli",2004,"May",2004-05-01,"26.2"
"51","Uttarakhand"," Champawat",2004,"May",2004-05-01,"N.A."
"52","Uttarakhand"," Dehradun",2004,"May",2004-05-01,"99.4"
"53","Uttarakhand"," Garhwal Pauri",2004,"May",2004-05-01,"66.8"
"54","Uttarakhand"," Garhwal Tehri",2004,"May",2004-05-01,"31.4"
"55","Uttarakhand"," Hardwar",2004,"May",2004-05-01,"12"
"56","Uttarakhand"," Nainital",2004,"May",2004-05-01,"70.8"
"57","Uttarakhand"," Pithoragarh",2004,"May",2004-05-01,"138.7"
"58","Uttarakhand"," Rudraprayag",2004,"May",2004-05-01,"0"
"59","Uttarakhand"," Udham Singh Nagar",2004,"May",2004-05-01,"111.8"
"60","Uttarakhand"," Uttarkashi",2004,"May",2004-05-01,"N.A."
"61","Uttarakhand","Almora",2004,"June",2004-06-01,"266.3"
"62","Uttarakhand"," Chamoli",2004,"June",2004-06-01,"93.1"
"63","Uttarakhand"," Champawat",2004,"June",2004-06-01,"120.8"
"64","Uttarakhand"," Dehradun",2004,"June",2004-06-01,"359.2"
"65","Uttarakhand"," Garhwal Pauri",2004,"June",2004-06-01,"155.6"
"66","Uttarakhand"," Garhwal Tehri",2004,"June",2004-06-01,"69.2"
"67","Uttarakhand"," Hardwar",2004,"June",2004-06-01,"15.1"
"68","Uttarakhand"," Nainital",2004,"June",2004-06-01,"146.4"
"69","Uttarakhand"," Pithoragarh",2004,"June",2004-06-01,"N.A."
"70","Uttarakhand"," Rudraprayag",2004,"June",2004-06-01,"0.2"
"71","Uttarakhand"," Udham Singh Nagar",2004,"June",2004-06-01,"75.2"
"72","Uttarakhand"," Uttarkashi",2004,"June",2004-06-01,"228.3"
"73","Uttarakhand","Almora",2004,"July",2004-07-01,"266.2"
"74","Uttarakhand"," Chamoli",2004,"July",2004-07-01,"407.2"
"75","Uttarakhand"," Champawat",2004,"July",2004-07-01,"808.2"
"76","Uttarakhand"," Dehradun",2004,"July",2004-07-01,"694.7"
"77","Uttarakhand"," Garhwal Pauri",2004,"July",2004-07-01,"680.6"
"78","Uttarakhand"," Garhwal Tehri",2004,"July",2004-07-01,"238.2"
"79","Uttarakhand"," Hardwar",2004,"July",2004-07-01,"201.7"
"80","Uttarakhand"," Nainital",2004,"July",2004-07-01,"260.4"
"81","Uttarakhand"," Pithoragarh",2004,"July",2004-07-01,"661"
"82","Uttarakhand"," Rudraprayag",2004,"July",2004-07-01,"320.7"
"83","Uttarakhand"," Udham Singh Nagar",2004,"July",2004-07-01,"560"
"84","Uttarakhand"," Uttarkashi",2004,"July",2004-07-01,"827.5"
"85","Uttarakhand","Almora",2004,"August",2004-08-01,"354.3"
"86","Uttarakhand"," Chamoli",2004,"August",2004-08-01,"383.3"
"87","Uttarakhand"," Champawat",2004,"August",2004-08-01,"357.8"
"88","Uttarakhand"," Dehradun",2004,"August",2004-08-01,"514.9"
"89","Uttarakhand"," Garhwal Pauri",2004,"August",2004-08-01,"632.2"
"90","Uttarakhand"," Garhwal Tehri",2004,"August",2004-08-01,"244.9"
"91","Uttarakhand"," Hardwar",2004,"August",2004-08-01,"215.9"
"92","Uttarakhand"," Nainital",2004,"August",2004-08-01,"384.5"
"93","Uttarakhand"," Pithoragarh",2004,"August",2004-08-01,"428.3"
"94","Uttarakhand"," Rudraprayag",2004,"August",2004-08-01,"400"
"95","Uttarakhand"," Udham Singh Nagar",2004,"August",2004-08-01,"586.5"
"96","Uttarakhand"," Uttarkashi",2004,"August",2004-08-01,"1115.9"
"97","Uttarakhand","Almora",2004,"September",2004-09-01,"150.4"
"98","Uttarakhand"," Chamoli",2004,"September",2004-09-01,"86.6"
"99","Uttarakhand"," Champawat",2004,"September",2004-09-01,"233.5"
"100","Uttarakhand"," Dehradun",2004,"September",2004-09-01,"159.4"
"101","Uttarakhand"," Garhwal Pauri",2004,"September",2004-09-01,"367.6"
"102","Uttarakhand"," Garhwal Tehri",2004,"September",2004-09-01,"111.1"
"103","Uttarakhand"," Hardwar",2004,"September",2004-09-01,"44.3"
"104","Uttarakhand"," Nainital",2004,"September",2004-09-01,"138.7"
"105","Uttarakhand"," Pithoragarh",2004,"September",2004-09-01,"48"
"106","Uttarakhand"," Rudraprayag",2004,"September",2004-09-01,"107.6"
"107","Uttarakhand"," Udham Singh Nagar",2004,"September",2004-09-01,"500"
"108","Uttarakhand"," Uttarkashi",2004,"September",2004-09-01,"158.3"
"109","Uttarakhand","Almora",2004,"October",2004-10-01,"77.4"
"110","Uttarakhand"," Chamoli",2004,"October",2004-10-01,"36.4"
"111","Uttarakhand"," Champawat",2004,"October",2004-10-01,"40.7"
"112","Uttarakhand"," Dehradun",2004,"October",2004-10-01,"62.8"
"113","Uttarakhand"," Garhwal Pauri",2004,"October",2004-10-01,"212.8"
"114","Uttarakhand"," Garhwal Tehri",2004,"October",2004-10-01,"44.8"
"115","Uttarakhand"," Hardwar",2004,"October",2004-10-01,"100.4"
"116","Uttarakhand"," Nainital",2004,"October",2004-10-01,"71.6"
"117","Uttarakhand"," Pithoragarh",2004,"October",2004-10-01,"N.A."
"118","Uttarakhand"," Rudraprayag",2004,"October",2004-10-01,"72.2"
"119","Uttarakhand"," Udham Singh Nagar",2004,"October",2004-10-01,"60"
"120","Uttarakhand"," Uttarkashi",2004,"October",2004-10-01,"68.4"
