"Sr.No","State","District","Year","Month","Date","Value"
"1","West Bengal","BANKURA",2004,"January",2004-01-01,"0.3"
"2","West Bengal","BIRBHUM",2004,"January",2004-01-01,"7"
"3","West Bengal","BURDWAN",2004,"January",2004-01-01,"7.5"
"4","West Bengal","COOCH BEHAR",2004,"January",2004-01-01,"6.8"
"5","West Bengal","DARJEELING",2004,"January",2004-01-01,"17.2"
"6","West Bengal","HOOGHLY",2004,"January",2004-01-01,"2"
"7","West Bengal","HOWRAH",2004,"January",2004-01-01,"0"
"8","West Bengal","JALPAIGURI",2004,"January",2004-01-01,"20.7"
"9","West Bengal","MALDA",2004,"January",2004-01-01,"28.5"
"10","West Bengal","MIDNAPORE",2004,"January",2004-01-01,"0"
"11","West Bengal","MURSHIDABAD",2004,"January",2004-01-01,"3.3"
"12","West Bengal","NADIA",2004,"January",2004-01-01,"0"
"13","West Bengal","NORTH 24 PARGANAS",2004,"January",2004-01-01,"0.6"
"14","West Bengal","NORTH DINAJPUR",2004,"January",2004-01-01,"N.A."
"15","West Bengal","PURULIA",2004,"January",2004-01-01,"N.A."
"16","West Bengal","SOUTH 24 PARGANAS",2004,"January",2004-01-01,"1.5"
"17","West Bengal","SOUTH DINAJPUR",2004,"January",2004-01-01,"45.9"
"18","West Bengal","BANKURA",2004,"February",2004-02-01,"0"
"19","West Bengal","BIRBHUM",2004,"February",2004-02-01,"1.8"
"20","West Bengal","BURDWAN",2004,"February",2004-02-01,"0"
"21","West Bengal","COOCH BEHAR",2004,"February",2004-02-01,"1"
"22","West Bengal","DARJEELING",2004,"February",2004-02-01,"17.1"
"23","West Bengal","HOOGHLY",2004,"February",2004-02-01,"0"
"24","West Bengal","HOWRAH",2004,"February",2004-02-01,"1"
"25","West Bengal","JALPAIGURI",2004,"February",2004-02-01,"13.7"
"26","West Bengal","MALDA",2004,"February",2004-02-01,"0"
"27","West Bengal","MIDNAPORE",2004,"February",2004-02-01,"2.1"
"28","West Bengal","MURSHIDABAD",2004,"February",2004-02-01,"0"
"29","West Bengal","NADIA",2004,"February",2004-02-01,"0"
"30","West Bengal","NORTH 24 PARGANAS",2004,"February",2004-02-01,"0.1"
"31","West Bengal","NORTH DINAJPUR",2004,"February",2004-02-01,"N.A."
"32","West Bengal","PURULIA",2004,"February",2004-02-01,"N.A."
"33","West Bengal","SOUTH 24 PARGANAS",2004,"February",2004-02-01,"3.6"
"34","West Bengal","SOUTH DINAJPUR",2004,"February",2004-02-01,"0"
"35","West Bengal","BANKURA",2004,"March",2004-03-01,"14"
"36","West Bengal","BIRBHUM",2004,"March",2004-03-01,"51.9"
"37","West Bengal","BURDWAN",2004,"March",2004-03-01,"24.3"
"38","West Bengal","COOCH BEHAR",2004,"March",2004-03-01,"5.1"
"39","West Bengal","DARJEELING",2004,"March",2004-03-01,"45.8"
"40","West Bengal","HOOGHLY",2004,"March",2004-03-01,"13.3"
"41","West Bengal","HOWRAH",2004,"March",2004-03-01,"2"
"42","West Bengal","JALPAIGURI",2004,"March",2004-03-01,"40.2"
"43","West Bengal","MALDA",2004,"March",2004-03-01,"4.1"
"44","West Bengal","MIDNAPORE",2004,"March",2004-03-01,"9.7"
"45","West Bengal","MURSHIDABAD",2004,"March",2004-03-01,"24"
"46","West Bengal","NADIA",2004,"March",2004-03-01,"1"
